First Name,Last Name,Opponent,Week 14 Fantasy Points
Kyler,Murray,Seahawks,19.96
Geno,Smith,Cardinals,13.32
Jordan,Love,Lions,14.54
Jared,Goff,Packers,24.02
Mac,Jones,Titans,7.10
Will,Levis,Jags,7.02
Bryce,Young,Eagles,13.54
Jalen,Hurts,Panthers,24.22
Joe,Burrow,Cowboys,26.56
Cooper,Rush,Bengals,14.82
Justin,Herbert,Chiefs,13.72
Patrick,Mahomes,Chargers,14.10
Jameis,Winston,Steelers,17.28
Russell,Wilson,Browns,16.02
Aaron,Rodgers,Dolphins,18.56
Tua,Tagovailoa,Jets,24.54
Josh,Allen,Rams,52.88
Matthew,Stafford,Bills,21.80
Kirk,Cousins,Vikings,12.76
Sam,Darnold,Falcons,35.58
Caleb,Williams,49ers,14.06
Brock,Purdy,Bears,23.10
Derek,Carr,Giants,12.96
Drew,Lock,Saints,15.98
Baker,Mayfield,Raiders,21.00
Aidan,O'Connell,Bucs,7.76
Desmond,Ridder,Bucs,4.34
