Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
13.000,21.000,167.000,8.000,153.000,74.000,93.000,0.182,8.000,7.970,12.846,89.900,7.364,6.227,-1.000,-1.000,-1.000,-1.000,0.000,0.000,0.048,1.000,1.000,1.000,5.000,0.000,9.580
17.000,26.000,268.000,9.000,170.000,116.000,152.000,0.258,10.300,10.120,15.765,109.100,8.897,8.724,32.000,2.000,32.000,6.400,0.000,0.000,0.077,2.000,1.000,3.000,10.000,0.000,20.920
16.000,25.000,221.000,8.000,263.000,139.000,82.000,0.286,8.800,9.640,13.813,105.600,7.071,7.786,0.000,0.000,0.000,0.000,0.000,0.000,0.040,1.000,0.000,3.000,23.000,0.000,12.840
19.000,32.000,168.000,8.000,155.000,62.000,106.000,0.410,5.300,4.470,8.842,70.800,3.763,3.105,3.000,1.000,2.000,1.000,1.000,0.000,0.031,1.000,1.000,6.000,25.000,3.000,4.020
19.000,30.000,195.000,10.000,222.000,101.000,94.000,0.091,6.500,5.670,10.263,79.200,6.097,5.290,83.000,3.000,72.000,10.300,11.000,1.000,0.033,1.000,1.000,1.000,6.000,1.000,23.100
30.000,52.000,312.000,18.000,452.000,139.000,173.000,0.132,6.000,4.650,10.400,65.500,5.774,4.453,0.000,0.000,0.000,0.000,0.000,0.000,0.019,1.000,2.000,1.000,6.000,0.000,14.480
16.000,27.000,154.000,11.000,212.000,53.000,101.000,0.188,5.700,2.370,9.625,44.400,5.000,1.897,39.000,3.000,5.000,1.000,34.000,1.000,0.000,0.000,2.000,2.000,9.000,0.000,14.060
25.000,38.000,243.000,13.000,337.000,146.000,97.000,0.250,6.400,5.080,9.720,79.200,5.900,4.650,-1.000,0.000,-1.000,-1.000,0.000,0.000,0.053,2.000,2.000,2.000,7.000,0.000,15.620
18.000,29.000,116.000,8.000,157.000,33.000,83.000,0.156,4.000,4.690,6.444,82.000,3.387,4.032,3.000,0.000,0.000,0.000,3.000,0.000,0.034,1.000,0.000,2.000,11.000,3.000,2.940
25.000,32.000,221.000,10.000,222.000,153.000,68.000,0.237,6.900,5.500,8.840,82.400,5.417,4.167,29.000,2.000,29.000,7.300,0.000,1.000,0.000,0.000,1.000,4.000,26.000,1.000,14.740
13.000,23.000,163.000,9.000,279.000,71.000,92.000,0.200,7.100,8.830,12.538,107.700,6.240,7.840,2.000,1.000,1.000,1.000,1.000,0.000,0.087,2.000,0.000,2.000,7.000,0.000,14.720
13.000,17.000,148.000,7.000,109.000,63.000,85.000,0.056,8.700,11.060,11.385,141.300,8.706,11.059,18.000,3.000,11.000,3.700,7.000,1.000,0.118,2.000,0.000,0.000,0.000,0.000,21.720
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
