Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
13.00,21.00,167.00,8.00,153.00,7.30,74.00,5.70,3.50,93.00,7.20,2.00,0.10,4.00,0.19,1.00,2.00,1.00,2.00,4.00,0.18,0.00,0.00,1.00,4.80,1.00,4.80,36.00,8.00,6.76,12.80,82.80,5.00,4.55,7.36,6.23,1.00,-1.00,-1.00,-1.00,0.00,0.00,-1.00,-1.00,0.00,0.00,9.58
17.00,26.00,268.00,9.00,170.00,6.50,116.00,6.80,4.50,152.00,8.90,0.00,0.00,3.00,0.13,3.00,3.00,3.00,2.00,8.00,0.26,2.00,17.00,2.00,7.70,1.00,3.80,97.00,10.30,10.12,15.80,109.10,10.00,10.34,8.90,8.72,5.00,32.00,18.00,6.40,2.00,2.00,32.00,6.40,0.00,0.00,21.42
16.00,25.00,221.00,8.00,263.00,10.50,139.00,8.70,5.60,82.00,5.10,0.00,0.00,3.00,0.14,3.00,7.00,3.00,2.00,8.00,0.29,0.00,0.00,1.00,4.00,0.00,0.00,50.00,8.80,9.64,13.80,105.60,23.00,10.71,7.07,7.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.84
19.00,32.00,168.00,8.00,155.00,4.80,62.00,3.30,1.90,106.00,5.60,3.00,0.09,5.00,0.16,6.00,13.00,4.00,6.00,16.00,0.41,1.00,1.00,1.00,3.10,1.00,3.10,50.00,5.30,4.47,8.80,70.80,25.00,15.79,3.76,3.11,2.00,3.00,2.00,1.50,3.00,1.00,2.00,1.00,1.00,0.50,8.02
19.00,30.00,195.00,10.00,222.00,7.40,101.00,5.30,3.40,94.00,4.90,0.00,0.00,5.00,0.17,1.00,12.00,1.00,1.00,3.00,0.09,2.00,8.00,1.00,3.30,1.00,3.30,34.00,6.50,5.67,10.30,79.20,6.00,3.23,6.10,5.29,7.00,83.00,50.00,11.90,1.00,3.00,72.00,10.30,11.00,1.60,25.10
30.00,52.00,312.00,18.00,452.00,8.70,139.00,4.60,2.70,173.00,5.80,4.00,0.08,7.00,0.14,1.00,4.00,2.00,4.00,7.00,0.13,0.00,0.00,1.00,1.90,2.00,3.80,37.00,6.00,4.65,10.40,65.50,6.00,1.89,5.77,4.45,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.48
16.00,27.00,154.00,11.00,212.00,7.90,53.00,3.30,2.00,101.00,6.30,1.00,0.04,5.00,0.20,2.00,3.00,0.00,4.00,6.00,0.19,3.00,13.70,0.00,0.00,2.00,7.40,26.00,5.70,2.37,9.60,44.40,9.00,6.90,5.00,1.90,5.00,39.00,33.00,7.80,0.00,3.00,5.00,1.00,34.00,1.00,14.06
25.00,38.00,243.00,13.00,337.00,8.90,146.00,5.80,3.80,97.00,3.90,1.00,0.03,7.00,0.19,2.00,4.00,2.00,6.00,10.00,0.25,0.00,0.00,2.00,5.30,2.00,5.30,29.00,6.40,5.08,9.70,79.20,7.00,5.00,5.90,4.65,1.00,-1.00,0.00,-1.00,0.00,0.00,-1.00,-1.00,0.00,0.00,15.62
18.00,29.00,116.00,8.00,157.00,5.40,33.00,1.80,1.10,83.00,4.60,1.00,0.03,5.00,0.17,2.00,8.00,3.00,0.00,5.00,0.16,1.00,3.00,1.00,3.40,0.00,0.00,15.00,4.00,4.69,6.40,82.00,11.00,6.45,3.39,4.03,3.00,3.00,3.00,1.00,3.00,2.00,32.00,6.40,0.00,0.00,8.94
25.00,32.00,221.00,10.00,222.00,6.90,153.00,6.10,4.80,68.00,2.70,1.00,0.03,3.00,0.10,4.00,1.00,3.00,2.00,9.00,0.24,2.00,14.50,0.00,0.00,1.00,3.10,26.00,6.90,5.50,8.80,82.40,26.00,11.10,5.42,4.17,4.00,29.00,16.00,7.30,1.00,2.00,29.00,7.30,0.00,0.00,16.74
