Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points,,,,,,,,,,,,,,,,,,,,,
19.000,32.000,127.000,6.000,225.000,77.000,50.000,0.395,4.000,1.780,6.684,52.500,2.971,0.971,36.000,2.000,22.000,5.500,14.000,0.000,0.031,1.000,2.000,3.000,23.000,1.000,8.680,,,,,,,,,,,,,,,,,,,,,
23.000,36.000,260.000,11.000,272.000,128.000,132.000,0.231,7.200,7.780,7.222,94.700,6.026,6.538,-1.000,0.000,-1.000,-1.000,0.000,0.000,0.028,1.000,0.000,3.000,25.000,0.000,14.300,,,,,,,,,,,,,,,,,,,,,
10.000,20.000,167.000,4.000,193.000,69.000,98.000,0.273,8.400,3.850,8.350,39.000,7.429,3.143,24.000,1.000,18.000,2.300,6.000,0.000,0.000,0.000,2.000,1.000,11.000,0.000,7.080,,,,,,,,,,,,,,,,,,,,,
20.000,29.000,224.000,11.000,201.000,137.000,87.000,0.250,7.700,6.170,7.724,77.400,6.344,4.938,-1.000,0.000,-1.000,-1.000,0.000,0.000,0.000,0.000,1.000,3.000,21.000,1.000,5.860,,,,,,,,,,,,,,,,,,,,,
18.000,28.000,136.000,6.000,212.000,85.000,51.000,0.250,4.900,3.250,4.857,61.000,3.742,2.290,3.000,0.000,3.000,3.000,0.000,0.000,0.000,0.000,1.000,3.000,20.000,2.000,0.740,,,,,,,,,,,,,,,,,,,,,
4.000,7.000,58.000,3.000,59.000,35.000,23.000,0.333,8.300,8.290,8.286,84.200,7.000,7.000,8.000,0.000,8.000,8.000,0.000,0.000,0.000,0.000,0.000,1.000,2.000,0.000,3.120,,,,,,,,,,,,,,,,,,,,,
23.000,35.000,234.000,14.000,300.000,113.000,121.000,0.146,6.700,6.540,6.686,91.800,5.632,5.500,17.000,1.000,6.000,1.500,11.000,0.000,0.057,2.000,1.000,3.000,20.000,0.000,18.060,,,,,,,,,,,,,,,,,,,,,
21.000,38.000,326.000,15.000,448.000,224.000,102.000,0.304,8.600,9.110,8.579,92.700,7.825,8.325,52.000,2.000,49.000,6.100,3.000,0.000,0.026,1.000,0.000,2.000,13.000,0.000,22.240,,,,,,,,,,,,,,,,,,,,,
13.000,20.000,154.000,7.000,126.000,58.000,96.000,0.217,7.700,7.700,7.700,88.300,5.957,5.957,6.000,1.000,6.000,3.000,0.000,0.000,0.000,0.000,0.000,3.000,17.000,1.000,4.760,,,,,,,,,,,,,,,,,,,,,
15.000,25.000,184.000,9.000,208.000,85.000,99.000,0.310,7.400,6.360,7.360,79.400,7.077,6.115,24.000,1.000,19.000,4.800,5.000,0.000,0.040,1.000,1.000,1.000,0.000,0.000,12.760,,,,,,,,,,,,,,,,,,,,,
13.000,17.000,261.000,10.000,142.000,118.000,143.000,0.150,15.400,13.880,15.353,113.000,14.444,13.056,18.000,2.000,12.000,3.000,6.000,1.000,0.059,1.000,1.000,1.000,1.000,0.000,21.240,,,,,,,,,,,,,,,,,,,,,
22.000,34.000,330.000,12.000,286.000,199.000,131.000,0.351,9.700,10.880,9.706,116.100,8.486,9.568,-1.000,0.000,-1.000,-0.500,0.000,0.000,0.059,2.000,0.000,3.000,16.000,0.000,21.100,,,,,,,,,,,,,,,,,,,,,
21.000,34.000,221.000,12.000,203.000,82.000,139.000,0.114,6.500,7.680,6.500,100.200,6.057,7.200,1.000,1.000,0.000,0.000,1.000,0.000,0.059,2.000,0.000,1.000,9.000,0.000,16.940,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
