Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
19.00,32.00,127.00,6.00,17.10,225.00,7.00,77.00,4.10,2.40,50.00,2.60,2.00,0.07,8.00,0.28,3.00,5.00,5.00,7.00,15.00,0.40,3.00,7.00,3.10,2.00,6.30,22.00,4.00,1.78,6.70,52.50,23.00,8.57,2.97,0.97,4.00,36.00,15.00,9.00,1.00,2.00,22.00,5.50,14.00,3.50,8.68
23.00,36.00,260.00,11.00,28.20,272.00,7.60,128.00,5.60,3.60,132.00,5.70,1.00,0.03,5.00,0.15,3.00,9.00,5.00,1.00,9.00,0.23,0.00,0.00,2.80,0.00,0.00,28.00,7.20,7.78,11.30,94.70,25.00,7.69,6.03,6.54,1.00,-1.00,0.00,-1.00,0.00,0.00,-1.00,-1.00,0.00,0.00,14.30
10.00,20.00,167.00,4.00,19.00,193.00,9.70,69.00,6.90,3.50,98.00,9.80,2.00,0.11,3.00,0.17,1.00,3.00,3.00,2.00,6.00,0.27,1.00,8.00,0.00,2.00,10.00,44.00,8.40,3.85,16.70,39.00,11.00,4.76,7.43,3.14,8.00,24.00,13.00,3.00,0.00,1.00,18.00,2.30,6.00,0.80,7.08
20.00,29.00,224.00,11.00,34.40,201.00,6.90,137.00,6.90,4.70,87.00,4.40,0.00,0.00,6.00,0.21,3.00,11.00,1.00,4.00,8.00,0.25,0.00,0.00,0.00,1.00,3.40,25.00,7.70,6.17,11.20,77.40,21.00,9.38,6.34,4.94,1.00,-1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,0.00,0.00,5.86
18.00,28.00,136.00,6.00,19.40,212.00,7.60,85.00,4.70,3.00,51.00,2.80,1.00,0.04,5.00,0.18,3.00,9.00,1.00,4.00,8.00,0.25,1.00,3.00,0.00,1.00,3.60,31.00,4.90,3.25,7.60,61.00,20.00,9.68,3.74,2.29,1.00,3.00,3.00,3.00,2.00,0.00,3.00,3.00,0.00,0.00,4.74
4.00,7.00,58.00,3.00,37.50,59.00,8.40,35.00,8.80,5.00,23.00,5.80,0.00,0.00,1.00,0.14,1.00,1.00,2.00,0.00,3.00,0.33,1.00,8.00,0.00,0.00,0.00,27.00,8.30,8.29,14.50,84.20,2.00,12.50,7.00,7.00,1.00,8.00,8.00,8.00,0.00,0.00,8.00,8.00,0.00,0.00,3.12
23.00,35.00,234.00,14.00,36.80,300.00,8.60,113.00,4.90,3.20,121.00,5.30,3.00,0.09,3.00,0.09,3.00,9.00,0.00,3.00,6.00,0.15,3.00,6.00,5.70,1.00,2.90,24.00,6.70,6.54,10.20,91.80,20.00,7.89,5.63,5.50,4.00,17.00,10.00,4.30,0.00,1.00,6.00,1.50,11.00,2.80,19.06
1.00,1.00,6.00,0.00,0.00,6.00,6.00,6.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,6.00,6.00,6.00,6.00,91.70,10.00,50.00,-2.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24
21.00,38.00,326.00,15.00,37.50,448.00,11.80,224.00,10.70,5.90,102.00,4.90,2.00,0.06,9.00,0.27,2.00,12.00,6.00,6.00,14.00,0.30,6.00,8.00,2.60,0.00,0.00,61.00,8.60,9.11,15.50,92.70,13.00,5.00,7.83,8.33,8.00,52.00,13.00,6.50,0.00,2.00,49.00,6.10,3.00,0.40,23.24
13.00,20.00,154.00,7.00,30.40,126.00,6.30,58.00,4.50,2.90,96.00,7.40,1.00,0.05,2.00,0.11,3.00,3.00,2.00,0.00,5.00,0.22,0.00,0.00,0.00,0.00,0.00,23.00,7.70,7.70,11.80,88.30,17.00,13.04,5.96,5.96,2.00,6.00,6.00,3.00,1.00,1.00,6.00,3.00,0.00,0.00,4.76
15.00,25.00,184.00,9.00,34.60,208.00,8.30,85.00,5.70,3.40,99.00,6.60,1.00,0.04,4.00,0.17,1.00,6.00,2.00,6.00,9.00,0.31,3.00,8.30,4.00,1.00,4.00,28.00,7.40,6.36,12.30,79.40,0.00,3.85,7.08,6.12,4.00,24.00,19.00,6.00,0.00,1.00,19.00,4.80,5.00,1.30,12.76
