Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
15.000,24.000,121.000,6.000,154.000,67.000,54.000,0.276,5.000,5.040,8.067,75.200,4.800,4.800,32.000,3.000,27.000,3.900,5.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,8.040
18.000,25.000,151.000,7.000,104.000,22.000,129.000,0.129,6.000,4.040,8.389,80.600,5.074,3.222,29.000,1.000,28.000,7.000,1.000,0.000,0.080,2.000,2.000,2.000,14.000,0.000,14.940
21.000,23.000,254.000,13.000,215.000,156.000,98.000,0.133,11.000,12.780,12.095,141.700,9.920,11.520,39.000,5.000,21.000,1.800,18.000,1.000,0.087,2.000,0.000,2.000,6.000,0.000,28.060
25.000,40.000,220.000,12.000,295.000,113.000,107.000,0.071,5.500,5.380,8.800,83.300,5.500,5.375,9.000,1.000,9.000,3.000,0.000,0.000,0.050,2.000,1.000,0.000,0.000,0.000,16.700
26.000,42.000,348.000,18.000,384.000,182.000,166.000,0.255,8.300,10.190,13.385,119.900,8.023,9.884,55.000,1.000,43.000,3.600,12.000,0.000,0.095,4.000,0.000,1.000,3.000,2.000,31.420
22.000,41.000,205.000,10.000,278.000,78.000,127.000,0.178,5.000,3.900,9.318,57.500,4.419,3.372,56.000,6.000,52.000,4.700,4.000,0.000,0.000,0.000,1.000,2.000,15.000,0.000,12.800
11.000,24.000,82.000,3.000,130.000,36.000,46.000,0.400,3.400,-0.330,7.455,19.800,3.160,-0.440,44.000,2.000,36.000,12.000,8.000,0.000,0.000,0.000,2.000,1.000,3.000,1.000,3.680
15.000,17.000,128.000,5.000,111.000,78.000,50.000,0.263,7.500,7.530,8.533,98.000,6.053,6.053,0.000,1.000,-1.000,-0.500,1.000,0.000,0.000,0.000,0.000,2.000,13.000,0.000,5.120
5.000,11.000,67.000,4.000,116.000,51.000,16.000,0.167,6.100,7.910,13.400,95.600,5.417,7.083,0.000,0.000,0.000,0.000,0.000,0.000,0.091,1.000,0.000,1.000,2.000,0.000,6.680
16.000,20.000,236.000,10.000,173.000,159.000,77.000,0.048,11.800,12.800,14.750,132.500,11.800,12.800,37.000,7.000,24.000,2.400,13.000,3.000,0.050,1.000,0.000,0.000,0.000,0.000,35.140
10.000,17.000,124.000,6.000,170.000,59.000,65.000,0.500,7.300,7.290,12.400,81.500,6.500,6.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,7.000,1.000,2.960
11.000,16.000,74.000,4.000,87.000,52.000,22.000,0.429,4.600,5.880,6.727,99.500,2.000,3.000,2.000,0.000,2.000,2.000,0.000,0.000,0.063,1.000,0.000,4.000,34.000,1.000,5.160
25.000,33.000,290.000,14.000,239.000,108.000,182.000,0.054,8.800,11.210,11.600,141.400,8.788,11.212,33.000,2.000,14.000,2.000,19.000,0.000,0.121,4.000,0.000,0.000,0.000,0.000,30.900
17.000,36.000,297.000,14.000,463.000,232.000,65.000,0.143,8.300,9.360,17.471,94.300,7.368,8.421,65.000,3.000,65.000,13.000,0.000,0.000,0.056,2.000,0.000,2.000,17.000,1.000,24.380
29.000,38.000,414.000,18.000,163.000,150.000,264.000,0.415,10.900,11.290,14.276,126.400,10.250,10.625,3.000,0.000,3.000,1.000,0.000,0.000,0.079,3.000,1.000,2.000,4.000,0.000,27.860
