Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
15.00,24.00,121.00,6.00,154.00,6.40,67.00,4.50,2.80,54.00,3.60,0.00,0.000,6.00,0.261,1.00,5.00,1.00,6.00,8.00,0.28,4.00,8.50,0.00,0.00,0.00,0.00,17.00,5.00,5.04,8.10,75.20,1.00,4.00,4.80,4.80,7.00,32.00,16.00,4.60,0.00,3.00,27.00,3.90,5.00,0.70,8.04
18.00,25.00,151.00,7.00,104.00,4.20,22.00,1.20,0.90,129.00,7.20,0.00,0.000,4.00,0.174,2.00,5.00,0.00,2.00,4.00,0.13,4.00,7.30,2.00,8.00,2.00,8.00,44.00,6.00,4.04,8.40,80.60,14.00,7.41,5.07,3.22,4.00,29.00,9.00,7.30,0.00,1.00,28.00,7.00,1.00,0.30,14.94
21.00,23.00,254.00,13.00,215.00,9.30,156.00,7.40,6.80,98.00,4.70,0.00,0.000,2.00,0.087,2.00,8.00,1.00,1.00,4.00,0.13,5.00,4.60,2.00,8.70,0.00,0.00,55.00,11.00,12.78,12.10,141.70,6.00,8.00,9.92,11.52,12.00,39.00,7.00,3.30,0.00,5.00,21.00,1.80,18.00,1.50,28.06
25.00,40.00,220.00,12.00,295.00,7.40,113.00,4.50,2.80,107.00,4.30,3.00,0.077,6.00,0.154,0.00,12.00,1.00,2.00,3.00,0.07,2.00,5.00,2.00,5.00,1.00,2.50,39.00,5.50,5.38,8.80,83.30,0.00,0.00,5.50,5.38,3.00,9.00,6.00,3.00,0.00,1.00,9.00,3.00,0.00,0.00,16.70
26.00,42.00,348.00,18.00,384.00,9.10,182.00,7.00,4.30,166.00,6.40,1.00,0.024,13.00,0.310,1.00,19.00,5.00,6.00,12.00,0.26,4.00,6.50,4.00,9.50,0.00,0.00,55.00,8.30,10.19,13.40,119.90,1.00,2.33,8.02,9.88,12.00,55.00,18.00,4.60,2.00,1.00,43.00,3.60,12.00,1.00,34.42
22.00,41.00,205.00,10.00,278.00,6.80,78.00,3.50,1.90,127.00,5.80,1.00,0.027,7.00,0.189,2.00,14.00,2.00,4.00,8.00,0.18,2.00,7.00,0.00,0.00,1.00,2.40,15.00,5.00,3.90,9.30,57.50,15.00,4.65,4.42,3.37,11.00,56.00,13.00,5.10,0.00,6.00,52.00,4.70,4.00,0.40,12.80
11.00,24.00,82.00,3.00,130.00,5.40,36.00,3.30,1.50,46.00,4.20,1.00,0.050,3.00,0.150,1.00,8.00,3.00,6.00,10.00,0.40,0.00,0.00,0.00,0.00,2.00,8.30,16.00,3.40,-0.33,7.50,19.80,3.00,4.00,3.16,-0.44,3.00,44.00,34.00,14.70,1.00,2.00,36.00,12.00,8.00,2.70,5.68
15.00,17.00,128.00,5.00,111.00,6.50,78.00,5.20,4.60,50.00,3.30,0.00,0.000,2.00,0.118,2.00,2.00,2.00,1.00,5.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,21.00,7.50,7.53,8.50,98.00,13.00,10.53,6.05,6.05,2.00,0.00,2.00,0.00,0.00,1.00,-1.00,-0.50,1.00,0.50,5.12
5.00,11.00,67.00,4.00,116.00,10.50,51.00,10.20,4.60,16.00,3.20,1.00,0.091,2.00,0.182,1.00,0.00,1.00,0.00,2.00,0.17,0.00,0.00,1.00,9.10,0.00,0.00,25.00,6.10,7.91,13.40,95.60,2.00,8.33,5.42,7.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.68
16.00,20.00,236.00,10.00,173.00,8.70,159.00,9.90,8.00,77.00,4.80,0.00,0.000,1.00,0.053,0.00,5.00,0.00,1.00,1.00,0.05,1.00,7.00,1.00,5.00,0.00,0.00,45.00,11.80,12.80,14.80,132.50,0.00,0.00,11.80,12.80,10.00,37.00,12.00,3.70,0.00,7.00,24.00,2.40,13.00,1.30,35.14
10.00,17.00,124.00,6.00,170.00,10.00,59.00,5.90,3.50,65.00,6.50,1.00,0.063,3.00,0.188,1.00,6.00,4.00,4.00,9.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,23.00,7.30,7.29,12.40,81.50,7.00,5.56,6.50,6.50,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.96
11.00,16.00,74.00,4.00,87.00,5.40,52.00,4.70,3.30,22.00,2.00,1.00,0.063,3.00,0.188,4.00,5.00,2.00,3.00,9.00,0.43,1.00,2.00,1.00,6.30,0.00,0.00,22.00,4.60,5.88,6.70,99.50,34.00,20.00,2.00,3.00,1.00,2.00,2.00,2.00,1.00,0.00,2.00,2.00,0.00,0.00,5.16
25.00,33.00,290.00,14.00,239.00,7.20,108.00,4.30,3.30,182.00,7.30,2.00,0.061,2.00,0.061,0.00,3.00,1.00,1.00,2.00,0.05,4.00,6.00,4.00,12.10,0.00,0.00,84.00,8.80,11.21,11.60,141.40,0.00,0.00,8.79,11.21,7.00,33.00,10.00,4.70,0.00,2.00,14.00,2.00,19.00,2.70,32.90
17.00,36.00,297.00,14.00,463.00,12.90,232.00,13.60,6.40,65.00,3.80,2.00,0.061,5.00,0.152,2.00,9.00,1.00,3.00,6.00,0.14,4.00,16.50,2.00,5.60,0.00,0.00,29.00,8.30,9.36,17.50,94.30,17.00,5.26,7.37,8.42,5.00,65.00,30.00,13.00,1.00,3.00,65.00,13.00,0.00,0.00,24.38
29.00,38.00,414.00,18.00,163.00,4.30,150.00,5.20,3.90,264.00,9.10,1.00,0.028,5.00,0.139,2.00,10.00,8.00,7.00,17.00,0.42,1.00,5.00,3.00,7.90,1.00,2.60,43.00,10.90,11.29,14.30,126.40,4.00,5.00,10.25,10.63,3.00,3.00,5.00,1.00,0.00,0.00,3.00,1.00,0.00,0.00,30.86
