Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
21.000,31.000,162.000,10.000,197.000,62.000,100.000,0.263,5.200,5.870,7.714,91.100,4.171,4.743,57.000,3.000,38.000,7.600,19.000,0.000,0.032,1.000,0.000,4.000,16.000,1.000,14.180
17.000,25.000,145.000,8.000,181.000,31.000,114.000,0.071,5.800,1.200,8.529,56.700,5.346,0.923,17.000,2.000,17.000,8.500,0.000,0.000,0.040,1.000,3.000,1.000,6.000,0.000,8.500
8.000,14.000,80.000,4.000,128.000,41.000,39.000,0.188,5.700,5.710,10.000,73.500,4.867,4.867,4.000,0.000,4.000,4.000,0.000,0.000,0.000,0.000,0.000,1.000,7.000,0.000,3.600
21.000,38.000,178.000,9.000,302.000,133.000,45.000,0.233,4.700,4.030,8.476,65.500,3.381,2.786,3.000,1.000,1.000,0.500,2.000,0.000,0.026,1.000,1.000,4.000,36.000,0.000,10.420
5.000,8.000,22.000,1.000,13.000,-3.000,25.000,0.111,2.800,2.750,4.400,66.700,0.556,0.556,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,17.000,1.000,-1.120
13.000,18.000,156.000,9.000,115.000,64.000,92.000,0.105,8.700,10.890,12.000,135.400,8.158,10.263,54.000,2.000,42.000,7.000,12.000,1.000,0.111,2.000,0.000,1.000,1.000,1.000,23.640
28.000,38.000,331.000,13.000,241.000,150.000,181.000,0.190,8.700,8.050,11.821,97.600,8.487,7.846,27.000,2.000,11.000,3.700,16.000,0.000,0.026,1.000,1.000,1.000,0.000,1.000,16.940
23.000,35.000,294.000,12.000,259.000,156.000,138.000,0.184,8.400,8.260,12.783,99.000,7.158,7.026,0.000,0.000,0.000,0.000,0.000,0.000,0.057,2.000,1.000,3.000,22.000,1.000,16.760
25.000,40.000,215.000,13.000,225.000,104.000,111.000,0.273,5.400,4.750,8.600,74.500,4.651,4.070,13.000,1.000,12.000,2.400,1.000,0.000,0.025,1.000,1.000,3.000,15.000,3.000,6.900
21.000,29.000,212.000,13.000,85.000,76.000,136.000,0.188,7.300,5.760,10.095,78.500,6.700,5.200,16.000,1.000,16.000,3.200,0.000,0.000,0.000,0.000,1.000,1.000,11.000,1.000,7.080
25.000,28.000,231.000,14.000,137.000,109.000,122.000,0.100,8.300,9.680,9.240,124.900,7.724,9.103,3.000,1.000,3.000,1.500,0.000,0.000,0.071,2.000,0.000,1.000,7.000,0.000,17.540
26.000,35.000,272.000,14.000,276.000,206.000,66.000,0.256,7.800,5.060,10.462,79.700,6.154,3.718,0.000,0.000,0.000,0.000,0.000,0.000,0.057,2.000,3.000,4.000,32.000,1.000,13.880
23.000,33.000,196.000,15.000,228.000,91.000,105.000,0.486,5.900,5.030,8.522,90.000,5.171,4.314,0.000,0.000,0.000,0.000,0.000,0.000,0.091,3.000,2.000,2.000,15.000,0.000,17.840
11.000,18.000,94.000,4.000,92.000,31.000,63.000,0.091,5.200,5.220,8.545,74.800,4.300,4.300,4.000,0.000,3.000,1.500,1.000,0.000,0.000,0.000,0.000,2.000,8.000,1.000,2.160
