Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
21.00,31.00,162.00,10.00,197.00,6.40,62.00,3.00,2.00,100.00,4.80,4.00,0.13,3.00,0.10,4.00,9.00,4.00,2.00,10.00,0.26,3.00,15.70,1.00,3.20,0.00,0.00,24.00,5.20,5.87,7.70,91.10,16.00,11.43,4.17,4.74,5.00,57.00,29.00,11.40,1.00,3.00,38.00,7.60,19.00,3.80,14.18
17.00,25.00,145.00,8.00,181.00,7.20,31.00,1.80,1.20,114.00,6.70,0.00,0.00,7.00,0.28,1.00,0.00,0.00,1.00,2.00,0.07,2.00,8.50,1.00,4.00,3.00,12.00,21.00,5.80,1.20,8.50,56.70,6.00,3.85,5.35,0.92,2.00,17.00,11.00,8.50,0.00,2.00,17.00,8.50,0.00,0.00,8.50
8.00,14.00,80.00,4.00,128.00,9.10,41.00,5.10,2.90,39.00,4.90,1.00,0.07,4.00,0.29,1.00,1.00,0.00,2.00,3.00,0.19,1.00,4.00,0.00,0.00,0.00,0.00,16.00,5.70,5.71,10.00,73.50,7.00,6.67,4.87,4.87,1.00,4.00,4.00,4.00,0.00,0.00,4.00,4.00,0.00,0.00,3.60
21.00,38.00,178.00,9.00,302.00,7.90,133.00,6.30,3.50,45.00,2.10,2.00,0.06,8.00,0.22,4.00,8.00,3.00,3.00,10.00,0.23,1.00,1.00,1.00,2.60,1.00,2.60,24.00,4.70,4.03,8.50,65.50,36.00,9.52,3.38,2.79,2.00,3.00,2.00,1.50,0.00,1.00,1.00,0.50,2.00,1.00,10.42
5.00,8.00,22.00,1.00,13.00,1.60,-3.00,-0.60,-0.40,25.00,5.00,0.00,0.00,1.00,0.13,1.00,0.00,0.00,0.00,1.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,9.00,2.80,2.75,4.40,66.70,17.00,11.11,0.56,0.56,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.12
13.00,18.00,156.00,9.00,47.40,115.00,6.40,64.00,4.90,3.60,92.00,7.10,4.00,0.24,0.00,0.00,1.00,3.00,0.00,1.00,2.00,0.11,0.00,2.00,11.10,0.00,0.00,26.00,8.70,10.89,12.00,135.40,1.00,5.26,8.16,10.26,6.00,54.00,19.00,9.00,1.00,2.00,42.00,7.00,12.00,2.00,23.64
1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,2.00,79.20,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
28.00,38.00,331.00,13.00,241.00,6.30,150.00,5.40,3.90,181.00,6.50,4.00,0.11,2.00,0.06,1.00,9.00,1.00,6.00,8.00,0.19,3.00,9.00,1.00,2.60,1.00,2.60,67.00,8.70,8.05,11.80,97.60,0.00,2.56,8.49,7.85,3.00,27.00,13.00,9.00,1.00,2.00,11.00,3.70,16.00,5.30,17.94
23.00,35.00,294.00,12.00,259.00,7.40,156.00,6.80,4.50,138.00,6.00,3.00,0.09,1.00,0.03,3.00,6.00,2.00,2.00,7.00,0.18,0.00,0.00,2.00,5.70,1.00,2.90,52.00,8.40,8.26,12.80,99.00,22.00,7.89,7.16,7.03,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,18.76
25.00,40.00,215.00,13.00,225.00,5.60,104.00,4.20,2.60,111.00,4.40,2.00,0.05,8.00,0.21,3.00,12.00,2.00,7.00,12.00,0.27,1.00,8.00,1.00,2.50,1.00,2.50,26.00,5.40,4.75,8.60,74.50,15.00,6.98,4.65,4.07,5.00,13.00,8.00,2.60,3.00,1.00,12.00,2.40,1.00,0.20,10.90
21.00,29.00,212.00,13.00,85.00,2.90,76.00,3.60,2.60,136.00,6.50,0.00,0.00,1.00,0.04,1.00,5.00,1.00,4.00,6.00,0.19,2.00,11.50,0.00,0.00,1.00,3.40,20.00,7.30,5.76,10.10,78.50,11.00,3.33,6.70,5.20,5.00,16.00,13.00,3.20,1.00,1.00,16.00,3.20,0.00,0.00,9.08
25.00,28.00,231.00,14.00,137.00,4.90,109.00,4.40,3.90,122.00,4.90,0.00,0.00,1.00,0.04,1.00,2.00,1.00,1.00,3.00,0.10,1.00,4.00,2.00,7.10,0.00,0.00,28.00,8.30,9.68,9.20,124.90,7.00,3.45,7.72,9.10,2.00,3.00,4.00,1.50,0.00,1.00,3.00,1.50,0.00,0.00,17.54
26.00,35.00,272.00,14.00,276.00,7.90,206.00,7.90,5.90,66.00,2.50,3.00,0.09,4.00,0.11,4.00,9.00,4.00,2.00,10.00,0.26,0.00,0.00,2.00,5.70,3.00,8.60,32.00,7.80,5.06,10.50,79.70,32.00,10.26,6.15,3.72,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,13.88
23.00,33.00,196.00,15.00,228.00,6.90,91.00,4.00,2.80,105.00,4.60,1.00,0.03,3.00,0.10,2.00,10.00,10.00,5.00,17.00,0.49,0.00,0.00,3.00,9.10,2.00,6.10,31.00,5.90,5.03,8.50,90.00,15.00,5.71,5.17,4.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.84
11,18,94,4,92,5.1,31,2.8,1.7,63,5.7,2,11.80%,3,17.60%,2,1,0,0,2,9.10%,2,2,0.00,0.00,0.00,0.00,26.00,5.20,5.22,8.50,74.80,8.00,10.00,4.30,4.30,2.00,4.00,3.00,2.00,1.00,0.00,3.00,1.50,1.00,0.50,2.16
