Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
18.000,25.000,171.000,11.000,167.000,104.000,67.000,0.286,6.800,5.840,9.500,87.200,5.852,4.926,30.000,1.000,30.000,7.500,0.000,1.000,0.040,1.000,1.000,2.000,13.000,0.000,18.840
13.000,20.000,117.000,7.000,145.000,65.000,52.000,0.231,5.900,6.850,9.000,97.300,5.000,5.909,27.000,1.000,25.000,3.100,2.000,0.000,0.050,1.000,0.000,2.000,7.000,1.000,9.380
25.000,36.000,216.000,11.000,113.000,54.000,109.000,0.375,4.900,4.180,8.640,83.300,6.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.640
24.000,42.000,225.000,10.000,306.000,129.000,96.000,0.275,5.400,5.360,9.375,72.000,3.915,3.915,26.000,1.000,25.000,5.000,1.000,0.000,0.000,0.000,0.000,5.000,41.000,0.000,11.600
10.000,20.000,94.000,6.000,184.000,62.000,32.000,0.524,4.700,2.450,9.400,42.500,4.143,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,7.000,0.000,2.760
12.000,17.000,137.000,7.000,131.000,43.000,94.000,0.095,8.100,3.940,11.417,74.500,6.737,3.053,22.000,2.000,15.000,7.500,7.000,0.000,0.059,1.000,2.000,2.000,9.000,0.000,9.680
21.000,34.000,237.000,10.000,283.000,114.000,123.000,0.237,7.000,7.560,11.286,92.400,6.000,6.541,2.000,0.000,-3.000,-0.800,5.000,0.000,0.029,1.000,0.000,3.000,15.000,1.000,11.680
25.000,35.000,172.000,5.000,248.000,85.000,87.000,0.227,4.900,4.910,6.880,82.100,3.317,3.317,34.000,2.000,6.000,1.200,28.000,0.000,0.000,0.000,0.000,6.000,36.000,2.000,6.280
3.000,4.000,38.000,2.000,26.000,24.000,14.000,0.000,9.500,14.500,12.667,143.700,9.500,14.500,0.000,0.000,0.000,0.000,0.000,0.000,0.250,1.000,0.000,0.000,0.000,0.000,5.520
24.000,37.000,224.000,11.000,302.000,116.000,108.000,0.268,6.100,4.700,9.333,76.900,5.513,4.231,6.000,0.000,6.000,2.000,0.000,0.000,0.054,2.000,2.000,2.000,9.000,0.000,15.560
16.000,19.000,280.000,12.000,150.000,141.000,139.000,0.045,14.700,17.890,17.500,158.300,13.450,16.450,4.000,1.000,3.000,1.000,1.000,0.000,0.158,3.000,0.000,1.000,11.000,1.000,21.600
28.000,42.000,266.000,13.000,184.000,78.000,188.000,0.265,6.300,6.810,9.500,92.000,5.283,5.717,19.000,1.000,15.000,5.000,4.000,0.000,0.024,1.000,0.000,4.000,23.000,0.000,16.540
18.000,27.000,173.000,8.000,183.000,83.000,90.000,0.200,6.400,4.740,9.611,68.900,5.067,3.567,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,3.000,21.000,1.000,3.920
25.000,42.000,230.000,11.000,215.000,137.000,93.000,0.261,5.500,4.880,9.200,72.500,4.844,4.289,5.000,0.000,5.000,2.500,0.000,0.000,0.024,1.000,1.000,3.000,12.000,1.000,10.700
34.000,58.000,497.000,24.000,492.000,300.000,197.000,0.258,8.600,7.620,14.618,88.100,7.787,6.885,11.000,1.000,11.000,3.700,0.000,0.000,0.069,4.000,3.000,3.000,22.000,0.000,33.980
