Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
18.00,25.00,171.00,11.00,167.00,6.70,104.00,5.80,4.20,67.00,3.70,0.00,0.000,7.00,0.280,2.00,10.00,1.00,5.00,8.00,0.29,1.00,34.00,1.00,4.00,1.00,4.00,30.00,6.80,5.84,9.50,87.20,13.00,7.41,5.85,4.93,4.00,30.00,34.00,7.50,0.00,1.00,30.00,7.50,0.00,0.00,18.84
13.00,20.00,117.00,7.00,145.00,7.30,65.00,5.00,3.30,52.00,4.00,0.00,0.000,4.00,0.222,2.00,12.00,0.00,4.00,6.00,0.23,4.00,6.80,1.00,5.00,0.00,0.00,16.00,5.90,6.85,9.00,97.30,7.00,9.09,5.00,5.91,8.00,27.00,16.00,3.40,1.00,1.00,25.00,3.10,2.00,0.30,11.38
25.00,33.00,163.00,11.00,113.00,3.40,54.00,2.20,1.60,109.00,4.40,2.00,0.063,3.00,0.094,7.00,17.00,6.00,2.00,15.00,0.38,0.00,0.00,1.00,3.00,1.00,3.00,13.00,4.90,4.18,6.50,83.30,31.00,17.50,3.30,2.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52
24.00,42.00,225.00,10.00,306.00,7.30,129.00,5.40,3.10,96.00,4.00,2.00,0.049,11.00,0.268,5.00,21.00,1.00,8.00,14.00,0.28,4.00,4.50,0.00,0.00,0.00,0.00,25.00,5.40,5.36,9.40,72.00,41.00,10.64,3.91,3.91,5.00,26.00,14.00,5.20,0.00,1.00,25.00,5.00,1.00,0.20,11.60
10.00,20.00,94.00,6.00,184.00,9.20,62.00,6.20,3.10,32.00,3.20,1.00,0.053,7.00,0.368,1.00,2.00,7.00,3.00,11.00,0.52,0.00,0.00,0.00,0.00,1.00,5.00,21.00,4.70,2.45,9.40,42.50,7.00,4.76,4.14,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76
12.00,17.00,137.00,7.00,131.00,7.70,43.00,3.60,2.50,94.00,7.80,0.00,0.000,3.00,0.176,2.00,8.00,0.00,0.00,2.00,0.10,2.00,11.00,1.00,5.90,2.00,11.80,57.00,8.10,3.94,11.40,74.50,9.00,10.53,6.74,3.05,2.00,22.00,11.00,11.00,0.00,2.00,15.00,7.50,7.00,3.50,9.68
21.00,34.00,237.00,10.00,283.00,8.30,114.00,5.40,3.40,123.00,5.90,0.00,0.000,4.00,0.129,3.00,18.00,3.00,3.00,9.00,0.24,1.00,5.00,1.00,2.90,0.00,0.00,38.00,7.00,7.56,11.30,92.40,15.00,8.11,6.00,6.54,4.00,2.00,5.00,0.50,1.00,0.00,-3.00,-0.80,5.00,1.30,13.68
25.00,35.00,172.00,5.00,248.00,7.10,85.00,3.40,2.40,87.00,3.50,3.00,0.086,4.00,0.114,6.00,6.00,0.00,4.00,10.00,0.23,3.00,11.30,0.00,0.00,0.00,0.00,32.00,4.90,4.91,6.90,82.10,36.00,14.63,3.32,3.32,5.00,34.00,28.00,6.80,2.00,2.00,6.00,1.20,28.00,5.60,6.28
3.00,4.00,38.00,2.00,26.00,6.50,24.00,8.00,6.00,14.00,4.70,1.00,0.250,0.00,0.000,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,25.00,0.00,0.00,17.00,9.50,14.50,12.70,143.70,0.00,0.00,9.50,14.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.52
24.00,37.00,224.00,11.00,302.00,8.20,116.00,4.80,3.10,108.00,4.50,1.00,0.029,7.00,0.206,2.00,11.00,5.00,4.00,11.00,0.27,2.00,4.00,2.00,5.40,2.00,5.40,29.00,6.10,4.70,9.30,76.90,9.00,5.13,5.51,4.23,3.00,6.00,4.00,2.00,0.00,0.00,6.00,2.00,0.00,0.00,15.56
