Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
19.000,32.000,179.000,8.000,290.000,79.000,100.000,0.257,5.600,6.220,9.421,85.300,4.657,5.229,3.000,1.000,2.000,2.000,1.000,0.000,0.031,1.000,0.000,3.000,16.000,1.000,9.460
14.000,30.000,220.000,9.000,364.000,145.000,75.000,0.250,7.300,7.330,15.714,71.500,5.765,5.765,45.000,2.000,43.000,21.500,2.000,0.000,0.000,0.000,0.000,4.000,24.000,1.000,11.300
24.000,34.000,236.000,13.000,227.000,73.000,163.000,0.263,6.900,8.120,9.833,109.400,6.333,7.444,20.000,1.000,12.000,1.500,8.000,0.000,0.059,2.000,0.000,2.000,8.000,1.000,17.440
14.000,24.000,130.000,7.000,154.000,55.000,75.000,0.192,5.400,5.420,9.286,73.300,4.462,4.462,-2.000,0.000,-2.000,-1.000,0.000,0.000,0.000,0.000,0.000,2.000,14.000,0.000,5.000
14.000,25.000,238.000,8.000,301.000,148.000,90.000,0.088,9.500,8.520,17.000,85.100,7.893,7.000,82.000,4.000,51.000,4.600,31.000,0.000,0.040,1.000,1.000,3.000,17.000,0.000,20.720
16.000,25.000,264.000,11.000,255.000,129.000,135.000,0.192,10.600,12.160,16.500,126.100,9.846,11.385,33.000,5.000,25.000,1.800,8.000,0.000,0.080,2.000,0.000,1.000,8.000,0.000,21.860
15.000,25.000,181.000,8.000,264.000,89.000,92.000,0.250,7.200,8.840,12.067,108.900,5.857,7.286,-3.000,0.000,-3.000,-1.000,0.000,0.000,0.080,2.000,0.000,3.000,17.000,0.000,14.940
23.000,38.000,289.000,14.000,354.000,157.000,132.000,0.349,7.600,8.660,12.565,101.800,6.415,7.390,46.000,2.000,32.000,4.000,14.000,0.000,0.053,2.000,0.000,3.000,26.000,0.000,24.160
18.000,27.000,282.000,10.000,270.000,153.000,129.000,0.441,10.400,11.930,15.667,125.800,7.455,8.667,2.000,0.000,-1.000,-0.300,3.000,0.000,0.074,2.000,0.000,6.000,36.000,0.000,19.480
21.000,27.000,248.000,10.000,153.000,80.000,168.000,0.321,9.200,10.670,11.810,129.600,8.607,10.036,8.000,1.000,6.000,6.000,2.000,0.000,0.074,2.000,0.000,1.000,7.000,1.000,16.720
21.000,28.000,270.000,10.000,309.000,184.000,86.000,0.333,9.600,10.360,12.857,116.700,7.750,8.375,10.000,0.000,10.000,3.300,0.000,0.000,0.036,1.000,0.000,4.000,22.000,1.000,13.800
18.000,35.000,294.000,11.000,402.000,141.000,153.000,0.194,8.400,6.400,16.333,65.700,8.400,6.400,4.000,0.000,4.000,1.300,0.000,0.000,0.029,1.000,2.000,0.000,0.000,0.000,14.160
