Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points,,,,,,,,,,,,,,,,,,,,,
17.000,24.000,184.000,7.000,125.000,30.000,154.000,0.182,7.700,7.670,10.824,93.100,6.192,6.192,88.000,8.000,73.000,4.600,15.000,2.000,0.000,0.000,0.000,2.000,23.000,3.000,22.160,,,,,,,,,,,,,,,,,,,,,
34.000,55.000,307.000,15.000,368.000,168.000,139.000,0.228,5.600,3.950,9.029,61.700,5.582,3.945,5.000,1.000,5.000,2.500,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,10.780,,,,,,,,,,,,,,,,,,,,,
25.000,36.000,216.000,8.000,248.000,117.000,99.000,0.205,6.000,6.000,8.640,85.000,6.000,6.000,47.000,6.000,41.000,4.600,6.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,19.340,,,,,,,,,,,,,,,,,,,,,
18.000,30.000,158.000,6.000,281.000,96.000,62.000,0.324,5.300,5.930,8.778,85.100,3.167,3.722,20.000,6.000,10.000,1.300,10.000,1.000,0.033,1.000,0.000,6.000,44.000,2.000,14.320,,,,,,,,,,,,,,,,,,,,,
42.000,58.000,509.000,24.000,424.000,271.000,238.000,0.161,8.800,9.380,12.119,114.800,7.694,8.258,0.000,0.000,0.000,0.000,0.000,0.000,0.069,4.000,1.000,4.000,32.000,0.000,35.360,,,,,,,,,,,,,,,,,,,,,
22.000,40.000,243.000,13.000,326.000,134.000,109.000,0.208,6.100,4.330,11.045,60.700,4.933,3.378,27.000,1.000,11.000,2.800,16.000,0.000,0.025,1.000,2.000,5.000,21.000,1.000,12.420,,,,,,,,,,,,,,,,,,,,,
17.000,22.000,281.000,12.000,184.000,141.000,140.000,0.111,12.800,17.320,16.529,158.100,11.000,15.167,52.000,3.000,35.000,3.900,17.000,0.000,0.227,5.000,0.000,2.000,17.000,1.000,34.440,,,,,,,,,,,,,,,,,,,,,
23.000,29.000,276.000,11.000,198.000,109.000,167.000,0.219,9.500,12.280,12.000,145.900,8.548,11.129,16.000,1.000,12.000,4.000,4.000,0.000,0.138,4.000,0.000,2.000,11.000,1.000,26.640,,,,,,,,,,,,,,,,,,,,,
34.000,44.000,291.000,19.000,260.000,149.000,142.000,0.140,6.600,7.980,8.559,116.800,5.417,6.667,9.000,1.000,9.000,4.500,0.000,0.000,0.068,3.000,0.000,4.000,31.000,0.000,24.540,,,,,,,,,,,,,,,,,,,,,
25.000,36.000,353.000,17.000,252.000,181.000,172.000,0.238,9.800,10.920,14.120,119.300,8.667,9.692,17.000,1.000,17.000,4.300,0.000,0.000,0.056,2.000,0.000,3.000,15.000,1.000,21.820,,,,,,,,,,,,,,,,,,,,,
21.000,31.000,189.000,11.000,201.000,103.000,86.000,0.205,6.100,6.100,9.000,83.900,4.743,4.743,32.000,1.000,28.000,4.000,4.000,0.000,0.000,0.000,0.000,4.000,23.000,0.000,10.760,,,,,,,,,,,,,,,,,,,,,
26.000,46.000,298.000,14.000,434.000,186.000,112.000,0.280,6.500,6.910,11.462,83.400,6.149,6.574,17.000,1.000,12.000,4.000,5.000,1.000,0.022,1.000,0.000,1.000,9.000,0.000,23.620,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
