Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
18.000,23.000,232.000,11.000,166.000,107.000,125.000,0.138,10.100,11.830,12.889,137.700,8.880,10.480,39.000,4.000,28.000,3.100,11.000,2.000,0.087,2.000,0.000,2.000,10.000,1.000,31.180
19.000,27.000,216.000,9.000,159.000,112.000,104.000,0.313,8.000,8.000,11.368,94.100,6.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,24.000,1.000,6.640
18.000,23.000,199.000,11.000,179.000,98.000,101.000,0.077,8.700,8.430,11.056,113.600,7.440,7.240,6.000,1.000,6.000,2.000,0.000,0.000,0.087,2.000,1.000,2.000,13.000,0.000,15.560
26.000,30.000,233.000,14.000,174.000,111.000,122.000,0.028,7.800,6.930,8.962,96.300,7.767,6.933,47.000,3.000,40.000,5.000,7.000,1.000,0.033,1.000,1.000,0.000,0.000,0.000,23.020
19.000,35.000,244.000,13.000,300.000,141.000,103.000,0.171,7.000,4.970,12.842,62.100,6.243,4.351,33.000,3.000,32.000,8.000,1.000,0.000,0.029,1.000,2.000,2.000,13.000,0.000,15.060
22.000,32.000,258.000,15.000,192.000,120.000,138.000,0.143,8.100,9.160,11.727,119.500,8.063,9.156,13.000,2.000,13.000,2.600,0.000,0.000,0.125,4.000,1.000,0.000,0.000,0.000,26.620
27.000,39.000,349.000,14.000,336.000,224.000,125.000,0.159,8.900,8.950,12.926,97.100,8.000,8.000,8.000,0.000,8.000,4.000,0.000,0.000,0.000,0.000,0.000,3.000,13.000,0.000,14.760
28.000,38.000,234.000,15.000,192.000,104.000,130.000,0.125,6.200,6.680,8.357,97.900,5.821,6.333,13.000,1.000,13.000,4.300,0.000,0.000,0.026,1.000,0.000,1.000,7.000,3.000,8.660
22.000,41.000,217.000,10.000,369.000,130.000,87.000,0.340,5.300,5.290,9.864,68.900,3.660,3.660,5.000,0.000,5.000,1.300,0.000,0.000,0.000,0.000,0.000,6.000,45.000,0.000,9.180
22.000,35.000,151.000,10.000,215.000,68.000,83.000,0.237,4.300,4.310,6.864,72.400,3.368,3.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,23.000,1.000,4.040
22.000,31.000,254.000,12.000,187.000,84.000,170.000,0.189,8.200,7.390,11.545,92.700,6.111,5.417,2.000,0.000,2.000,0.700,0.000,0.000,0.032,1.000,1.000,5.000,34.000,1.000,11.360
21.000,31.000,235.000,13.000,213.000,119.000,116.000,0.205,7.600,8.870,11.190,111.600,5.694,6.806,22.000,1.000,17.000,4.300,5.000,0.000,0.065,2.000,0.000,5.000,30.000,0.000,19.600
