Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
18.00,23.00,232.00,11.00,166.00,7.20,107.00,5.90,4.70,125.00,6.90,0.00,0.000,3.00,0.130,2.00,7.00,1.00,1.00,4.00,0.14,4.00,6.50,2.00,8.70,0.00,0.00,28.00,10.10,11.83,12.90,137.70,10.00,8.00,8.88,10.48,9.00,39.00,9.00,4.30,1.00,4.00,28.00,3.10,11.00,1.20,31.18
19.00,27.00,216.00,9.00,159.00,5.90,112.00,5.90,4.10,104.00,5.50,2.00,0.074,5.00,0.185,5.00,6.00,1.00,4.00,10.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,42.00,8.00,8.00,11.40,94.10,24.00,15.63,6.00,6.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,6.64
18.00,23.00,199.00,11.00,179.00,7.80,98.00,5.40,4.30,101.00,5.60,0.00,0.000,4.00,0.174,2.00,7.00,0.00,0.00,2.00,0.08,1.00,8.00,2.00,8.70,1.00,4.30,24.00,8.70,8.43,11.10,113.60,13.00,8.00,7.44,7.24,3.00,6.00,8.00,2.00,0.00,1.00,6.00,2.00,0.00,0.00,15.56
26.00,30.00,233.00,14.00,174.00,5.80,111.00,4.30,3.70,122.00,4.70,0.00,0.000,3.00,0.100,0.00,5.00,0.00,1.00,1.00,0.03,6.00,5.00,1.00,3.30,1.00,3.30,27.00,7.80,6.93,9.00,96.20,0.00,0.00,7.77,6.93,8.00,47.00,10.00,5.90,0.00,3.00,40.00,5.00,7.00,0.90,25.02
19.00,35.00,244.00,13.00,300.00,8.60,141.00,7.40,4.00,103.00,5.40,2.00,0.063,5.00,0.156,2.00,5.00,2.00,3.00,7.00,0.17,4.00,8.30,1.00,2.90,2.00,5.70,53.00,7.00,4.97,12.80,62.10,13.00,5.41,6.24,4.35,4.00,33.00,12.00,8.30,0.00,3.00,32.00,8.00,1.00,0.30,15.06
22.00,32.00,258.00,15.00,192.00,6.00,120.00,5.50,3.80,138.00,6.30,1.00,0.031,5.00,0.156,0.00,9.00,3.00,2.00,5.00,0.14,3.00,5.00,4.00,12.50,1.00,3.10,44.00,8.10,9.16,11.70,119.50,0.00,0.00,8.06,9.16,5.00,13.00,6.00,2.60,0.00,2.00,13.00,2.60,0.00,0.00,26.62
27.00,39.00,349.00,14.00,336.00,8.60,224.00,8.30,5.70,125.00,4.60,5.00,0.135,3.00,0.081,3.00,8.00,0.00,4.00,7.00,0.16,2.00,4.00,0.00,0.00,0.00,0.00,41.00,8.90,8.95,12.90,97.10,13.00,7.14,8.00,8.00,2.00,8.00,4.00,4.00,0.00,0.00,8.00,4.00,0.00,0.00,14.76
28.00,38.00,234.00,15.00,192.00,5.10,104.00,3.70,2.70,130.00,4.60,3.00,0.079,3.00,0.079,1.00,2.00,1.00,3.00,5.00,0.13,1.00,13.00,1.00,2.60,0.00,0.00,30.00,6.20,6.68,8.40,97.90,7.00,2.56,5.82,6.33,3.00,13.00,13.00,4.30,3.00,1.00,13.00,4.30,0.00,0.00,14.66
22.00,41.00,217.00,10.00,369.00,9.00,130.00,5.90,3.20,87.00,4.00,2.00,0.056,8.00,0.222,6.00,13.00,8.00,3.00,17.00,0.34,3.00,2.00,0.00,4.30,0.00,0.00,44.00,5.30,5.29,9.90,68.90,45.00,12.77,3.66,3.66,4.00,5.00,2.00,1.30,0.00,0.00,5.00,1.30,0.00,0.00,9.18
22.00,35.00,151.00,10.00,215.00,6.10,68.00,3.10,1.90,83.00,3.80,1.00,0.030,5.00,0.152,3.00,8.00,4.00,2.00,9.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,15.00,4.30,4.31,6.90,72.40,23.00,7.89,3.37,3.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.04
22.00,31.00,254.00,12.00,187.00,6.00,84.00,3.80,2.70,170.00,7.70,0.00,0.000,2.00,0.071,5.00,8.00,0.00,2.00,7.00,0.19,1.00,4.00,1.00,3.20,1.00,3.20,46.00,8.20,7.39,11.50,92.70,34.00,13.89,6.11,5.42,3.00,2.00,4.00,0.70,1.00,0.00,2.00,0.70,0.00,0.00,13.36
21.0,31.0,235.0,13.0,213.0,6.9,119.0,5.7,3.8,116.0,5.5,1.0,0.033,5.0,0.167,5.0,10.0,0.0,3.0,8.0,0.2,3.0,7.7,2.0,6.5,0.0,0.0,30.0,7.6,8.9,11.2,111.6,30.0,13.9,6.8,6.8,4.0,22.0,12.0,5.5,0.0,1.0,17.0,4.3,5.0,1.3,19.60
