Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points,,,,,,,,,,,,,,,,,,,,,
25.000,33.000,257.000,12.000,149.000,119.000,138.000,0.175,7.800,7.030,10.280,95.100,6.081,5.405,5.000,0.000,0.000,0.000,5.000,0.000,0.030,1.000,1.000,4.000,32.000,1.000,11.780,,,,,,,,,,,,,,,,,,,,,
18.000,26.000,84.000,3.000,61.000,22.000,62.000,0.069,3.200,1.500,4.667,57.200,2.464,0.857,6.000,0.000,6.000,6.000,0.000,0.000,0.000,0.000,1.000,2.000,15.000,0.000,2.960,,,,,,,,,,,,,,,,,,,,,
25.000,32.000,245.000,9.000,176.000,101.000,144.000,0.171,7.700,6.880,9.800,96.000,6.824,6.088,6.000,1.000,6.000,1.000,0.000,1.000,0.031,1.000,1.000,2.000,13.000,0.000,19.400,,,,,,,,,,,,,,,,,,,,,
19.000,29.000,245.000,8.000,197.000,154.000,91.000,0.176,8.400,7.590,12.895,89.000,7.125,6.344,12.000,1.000,10.000,2.000,2.000,0.000,0.034,1.000,1.000,3.000,17.000,0.000,14.000,,,,,,,,,,,,,,,,,,,,,
19.000,33.000,216.000,10.000,330.000,151.000,65.000,0.146,6.500,6.390,11.368,84.900,5.886,5.743,61.000,5.000,33.000,5.500,28.000,0.000,0.061,2.000,1.000,2.000,10.000,0.000,21.740,,,,,,,,,,,,,,,,,,,,,
14.000,26.000,145.000,10.000,143.000,58.000,87.000,0.069,5.600,4.620,10.357,67.000,5.577,4.615,64.000,2.000,64.000,10.700,0.000,1.000,0.038,1.000,1.000,0.000,0.000,0.000,21.200,,,,,,,,,,,,,,,,,,,,,
12.000,24.000,156.000,5.000,135.000,70.000,86.000,0.148,6.500,6.500,13.000,70.800,5.185,5.185,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,16.000,0.000,6.240,,,,,,,,,,,,,,,,,,,,,
9.000,17.000,122.000,4.000,171.000,92.000,30.000,0.190,7.200,7.180,13.556,76.100,5.579,5.579,10.000,0.000,10.000,5.000,0.000,0.000,0.000,0.000,0.000,2.000,16.000,0.000,5.880,,,,,,,,,,,,,,,,,,,,,
26.000,46.000,235.000,14.000,410.000,189.000,46.000,0.179,5.100,2.610,9.038,50.500,4.096,1.885,27.000,4.000,23.000,4.600,4.000,0.000,0.022,1.000,3.000,6.000,22.000,1.000,11.100,,,,,,,,,,,,,,,,,,,,,
18.000,23.000,175.000,10.000,190.000,104.000,71.000,0.303,7.600,9.350,9.722,127.400,5.233,6.567,41.000,4.000,30.000,6.000,11.000,0.000,0.087,2.000,0.000,7.000,18.000,1.000,17.100,,,,,,,,,,,,,,,,,,,,,
28.000,50.000,356.000,14.000,512.000,245.000,111.000,0.291,7.100,8.320,12.714,98.400,6.453,7.585,28.000,2.000,9.000,4.500,19.000,0.000,0.060,3.000,0.000,3.000,14.000,0.000,29.040,,,,,,,,,,,,,,,,,,,,,
16.000,22.000,177.000,6.000,231.000,114.000,63.000,0.261,8.000,9.860,11.063,126.500,7.696,9.435,15.000,1.000,10.000,1.300,5.000,1.000,0.091,2.000,0.000,1.000,0.000,0.000,22.580,,,,,,,,,,,,,,,,,,,,,
24.000,39.000,245.000,13.000,308.000,93.000,152.000,0.200,6.300,1.670,10.208,40.000,5.850,1.350,3.000,1.000,2.000,2.000,1.000,0.000,0.000,0.000,4.000,1.000,11.000,1.000,4.100,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
