Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points,,,,,,,,,,,,,,,,,,,,,
26.000,41.000,273.000,11.000,271.000,107.000,166.000,0.235,6.700,7.150,10.500,90.800,6.357,6.833,122.000,7.000,87.000,5.400,35.000,0.000,0.024,1.000,0.000,1.000,6.000,1.000,25.120,,,,,,,,,,,,,,,,,,,,,
23.000,26.000,258.000,11.000,225.000,136.000,122.000,0.146,7.200,8.280,11.217,103.700,8.483,9.862,9.000,3.000,3.000,0.500,6.000,0.000,0.077,2.000,0.000,3.000,12.000,2.000,15.220,,,,,,,,,,,,,,,,,,,,,
20.000,29.000,230.000,11.000,163.000,86.000,144.000,0.419,7.900,7.070,11.500,89.700,7.387,6.581,-1.000,0.000,-1.000,-1.000,0.000,0.000,0.034,1.000,1.000,2.000,1.000,2.000,8.100,,,,,,,,,,,,,,,,,,,,,
16.000,27.000,179.000,9.000,193.000,51.000,128.000,0.379,6.600,7.370,11.188,91.400,5.828,6.517,0.000,1.000,-1.000,-0.300,1.000,0.000,0.037,1.000,0.000,2.000,10.000,1.000,9.160,,,,,,,,,,,,,,,,,,,,,
18.000,28.000,165.000,9.000,350.000,120.000,45.000,0.379,5.900,5.710,9.167,89.100,5.414,5.241,0.000,0.000,0.000,0.000,0.000,0.000,0.071,2.000,1.000,1.000,8.000,0.000,13.600,,,,,,,,,,,,,,,,,,,,,
2.000,7.000,17.000,2.000,54.000,7.000,10.000,0.556,2.400,2.430,8.500,39.600,2.429,2.429,11.000,0.000,11.000,5.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.780,,,,,,,,,,,,,,,,,,,,,
17.000,31.000,212.000,8.000,280.000,135.000,77.000,0.162,6.800,2.480,12.471,36.700,6.531,2.313,27.000,4.000,15.000,1.900,12.000,2.000,0.000,0.000,3.000,1.000,3.000,0.000,20.180,,,,,,,,,,,,,,,,,,,,,
24.000,30.000,209.000,13.000,138.000,108.000,101.000,0.250,7.000,8.300,8.708,117.900,5.571,6.714,6.000,0.000,6.000,3.000,0.000,0.000,0.067,2.000,0.000,5.000,14.000,1.000,14.960,,,,,,,,,,,,,,,,,,,,,
23.000,31.000,200.000,8.000,129.000,75.000,125.000,0.108,6.500,7.740,8.696,112.300,5.727,6.939,20.000,1.000,16.000,4.000,4.000,0.000,0.065,2.000,0.000,2.000,11.000,0.000,18.000,,,,,,,,,,,,,,,,,,,,,
22.000,30.000,215.000,12.000,229.000,94.000,121.000,0.212,7.200,8.500,9.773,115.300,5.688,6.938,-5.000,0.000,-5.000,-1.700,0.000,0.000,0.067,2.000,0.000,2.000,33.000,1.000,14.100,,,,,,,,,,,,,,,,,,,,,
27.000,40.000,262.000,13.000,280.000,118.000,144.000,0.222,6.600,5.930,9.704,83.500,6.550,5.925,55.000,4.000,29.000,2.400,26.000,1.000,0.025,1.000,1.000,0.000,0.000,0.000,24.980,,,,,,,,,,,,,,,,,,,,,
21.000,35.000,263.000,13.000,290.000,162.000,101.000,0.225,7.500,8.090,12.524,92.900,6.730,7.270,20.000,1.000,16.000,5.300,4.000,0.000,0.029,1.000,0.000,2.000,14.000,1.000,14.520,,,,,,,,,,,,,,,,,,,,,
23.000,35.000,340.000,13.000,265.000,186.000,154.000,0.211,9.700,10.860,14.783,116.400,8.368,9.421,0.000,0.000,0.000,0.000,0.000,0.000,0.057,2.000,0.000,3.000,22.000,1.000,19.600,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
