Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
26.00,41.00,273.00,11.00,271.00,6.60,107.00,4.10,2.60,166.00,6.40,0.00,0.000,11.00,0.275,1.00,13.00,10.00,1.00,12.00,0.24,9.00,7.80,1.00,2.40,0.00,0.00,49.00,6.70,7.15,10.50,90.80,6.00,2.38,6.36,6.83,16.00,122.00,16.00,7.60,1.00,7.00,87.00,5.40,35.00,2.20,26.12
23.00,36.00,258.00,11.00,225.00,6.30,136.00,5.90,3.80,122.00,5.30,3.00,0.088,5.00,0.147,3.00,15.00,0.00,3.00,6.00,0.15,2.00,3.50,2.00,5.60,0.00,0.00,47.00,7.20,8.28,11.20,103.70,12.00,7.69,6.31,7.33,6.00,9.00,4.00,1.50,2.00,3.00,3.00,0.50,6.00,1.00,17.22
20.00,29.00,230.00,11.00,163.00,5.60,86.00,4.30,3.00,144.00,7.20,0.00,0.000,4.00,0.148,2.00,12.00,3.00,8.00,13.00,0.42,0.00,0.00,1.00,3.40,1.00,3.40,50.00,7.90,7.07,11.50,89.70,1.00,6.45,7.39,6.58,1.00,-1.00,0.00,-1.00,2.00,0.00,-1.00,-1.00,0.00,0.00,12.10
16.00,27.00,179.00,9.00,193.00,7.10,51.00,3.20,1.90,128.00,8.00,4.00,0.148,5.00,0.185,2.00,8.00,1.00,8.00,11.00,0.38,0.00,0.00,1.00,3.70,0.00,0.00,37.00,6.60,7.37,112.00,91.40,10.00,6.90,5.83,6.52,3.00,0.00,2.00,0.00,1.00,1.00,-1.00,-0.30,1.00,0.30,11.16
18.00,28.00,165.00,9.00,350.00,12.50,120.00,6.70,4.30,45.00,2.50,1.00,0.038,6.00,0.231,1.00,11.00,6.00,4.00,11.00,0.38,0.00,0.00,2.00,7.10,1.00,3.60,43.00,5.90,5.71,9.20,89.10,8.00,3.45,5.41,5.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.60
2.00,7.00,17.00,2.00,54.00,7.70,7.00,3.50,1.00,10.00,5.00,1.00,0.167,1.00,0.167,0.00,3.00,1.00,4.00,5.00,0.56,2.00,5.50,0.00,0.00,0.00,0.00,11.00,2.40,2.43,8.50,39.60,0.00,0.00,2.43,2.43,2.00,11.00,9.00,5.50,0.00,0.00,11.00,5.50,0.00,0.00,1.78
17.00,31.00,212.00,8.00,280.00,9.00,135.00,7.90,4.40,77.00,4.50,1.00,0.032,8.00,0.258,1.00,8.00,0.00,5.00,6.00,0.16,5.00,4.80,0.00,0.00,3.00,9.70,41.00,6.80,2.48,12.50,36.70,3.00,3.13,6.53,2.31,8.00,27.00,9.00,3.40,0.00,4.00,15.00,1.90,12.00,1.50,20.18
24.00,30.00,209.00,13.00,138.00,4.60,108.00,4.50,3.60,101.00,4.20,0.00,0.000,1.00,0.037,5.00,18.00,1.00,3.00,9.00,0.25,1.00,7.00,2.00,6.70,0.00,0.00,20.00,7.00,8.30,8.70,117.90,14.00,14.29,5.57,6.71,2.00,6.00,7.00,3.00,1.00,0.00,6.00,3.00,0.00,0.00,14.96
23.00,31.00,200.00,8.00,129.00,4.20,75.00,3.30,2.40,125.00,5.40,2.00,0.065,2.00,0.065,2.00,12.00,0.00,2.00,4.00,0.11,4.00,5.00,2.00,6.50,0.00,0.00,19.00,6.50,7.74,8.70,112.30,11.00,6.06,5.73,6.94,4.00,20.00,10.00,5.00,0.00,1.00,16.00,4.00,4.00,1.00,18.00
22.00,30.00,215.00,12.00,229.00,7.60,94.00,4.30,3.10,121.00,5.50,2.00,0.071,4.00,0.143,2.00,10.00,2.00,3.00,7.00,0.21,1.00,3.00,2.00,6.70,0.00,0.00,34.00,7.20,8.50,9.80,115.30,33.00,6.25,5.69,6.94,3.00,-5.00,3.00,-1.70,1.00,0.00,-5.00,-1.70,0.00,0.00,16.10
27.00,40.00,262.00,13.00,280.00,7.00,118.00,4.40,3.00,144.00,5.30,0.00,0.000,10.00,0.263,0.00,15.00,6.00,4.00,10.00,0.22,5.00,9.00,1.00,2.50,1.00,2.50,30.00,6.60,5.93,9.70,83.50,0.00,0.00,6.55,5.93,12.00,55.00,26.00,4.60,0.00,4.00,29.00,2.40,26.00,2.20,24.98
21.00,35.00,263.00,13.00,290.00,8.30,162.00,7.70,4.60,101.00,4.80,3.00,0.091,7.00,0.212,2.00,15.00,3.00,4.00,9.00,0.23,3.00,6.70,1.00,2.90,0.00,0.00,36.00,7.50,8.09,12.50,92.90,14.00,5.41,6.73,7.27,3.00,20.00,11.00,6.70,1.00,1.00,16.00,5.30,4.00,1.30,16.52
23.00,35.00,340.00,13.00,265.00,7.60,186.00,8.10,5.30,154.00,6.70,0.00,0.000,5.00,0.147,3.00,11.00,4.00,1.00,8.00,0.21,0.00,0.00,2.00,5.70,0.00,0.00,58.00,9.70,10.86,14.80,116.40,22.00,7.89,8.37,9.42,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,20.60
