Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
24.000,32.000,234.000,13.000,252.000,155.000,79.000,0.342,7.300,8.560,9.750,115.900,5.667,6.778,13.000,0.000,0.000,0.000,13.000,0.000,0.063,2.000,0.000,4.000,30.000,0.000,18.660
12.000,14.000,122.000,6.000,81.000,64.000,58.000,0.063,8.700,10.140,10.167,126.800,8.714,10.143,41.000,1.000,40.000,6.700,1.000,0.000,0.071,1.000,0.000,0.000,0.000,0.000,12.980
33.000,52.000,363.000,18.000,516.000,243.000,120.000,0.214,7.000,6.020,11.000,80.800,5.929,5.036,8.000,1.000,8.000,8.000,0.000,0.000,0.038,2.000,2.000,4.000,31.000,1.000,19.320
22.000,34.000,312.000,11.000,240.000,156.000,156.000,0.262,9.200,9.760,14.182,104.000,7.421,7.947,55.000,4.000,35.000,3.500,20.000,2.000,0.029,1.000,0.000,4.000,30.000,2.000,29.980
28.000,34.000,371.000,13.000,225.000,150.000,221.000,0.000,10.900,10.760,13.250,119.500,10.912,10.765,4.000,2.000,2.000,1.000,2.000,0.000,0.059,2.000,1.000,0.000,0.000,0.000,22.240
16.000,27.000,95.000,7.000,200.000,53.000,42.000,0.133,3.500,2.590,5.938,63.000,3.519,2.593,15.000,1.000,12.000,4.000,3.000,0.000,0.037,1.000,1.000,0.000,0.000,0.000,8.300
7.000,13.000,87.000,5.000,144.000,50.000,37.000,0.471,6.700,8.230,12.429,100.500,5.000,6.333,20.000,2.000,19.000,3.800,1.000,0.000,0.077,1.000,0.000,2.000,12.000,0.000,9.480
8.000,13.000,74.000,3.000,70.000,34.000,40.000,0.143,5.700,5.690,9.250,77.100,5.692,5.692,4.000,1.000,3.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.360
25.000,37.000,285.000,15.000,278.000,166.000,119.000,0.333,7.700,8.240,11.400,99.500,6.846,7.359,-10.000,0.000,-10.000,-10.000,0.000,0.000,0.027,1.000,0.000,2.000,18.000,1.000,12.400
28.000,34.000,290.000,16.000,240.000,192.000,98.000,0.282,8.500,7.650,10.357,107.100,6.842,6.053,14.000,3.000,0.000,0.000,14.000,0.000,0.088,3.000,2.000,4.000,30.000,1.000,21.000
22.000,37.000,280.000,11.000,258.000,150.000,130.000,0.244,7.600,5.140,12.727,60.600,7.179,4.872,50.000,5.000,36.000,4.500,14.000,1.000,0.000,0.000,2.000,2.000,0.000,0.000,20.200
22.000,29.000,184.000,7.000,124.000,62.000,122.000,0.152,6.300,7.720,8.364,114.700,5.063,6.313,7.000,0.000,7.000,7.000,0.000,0.000,0.069,2.000,0.000,3.000,22.000,1.000,14.060
26.000,36.000,269.000,15.000,205.000,94.000,175.000,0.450,7.500,7.470,10.346,93.400,6.487,6.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,16.000,1.000,8.760
24.000,30.000,238.000,14.000,198.000,135.000,103.000,0.128,7.900,7.100,9.917,96.900,6.529,5.794,59.000,2.000,36.000,7.200,23.000,0.000,0.033,1.000,1.000,4.000,16.000,0.000,18.420
