Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
24.00,32.00,234.00,13.00,252.00,7.90,155.00,6.50,4.80,79.00,3.30,1.00,0.032,5.00,0.161,4.00,9.00,5.00,4.00,13.00,0.34,2.00,7.50,2.00,6.30,0.00,0.00,55.00,7.30,8.56,9.80,115.90,30.00,11.11,5.67,6.78,4.00,13.00,13.00,3.30,0.00,0.00,0.00,0.00,13.00,3.30,18.66
12.00,14.00,122.00,6.00,81.00,5.80,64.00,5.30,4.60,58.00,4.80,0.00,0.000,1.00,0.071,0.00,6.00,1.00,0.00,1.00,0.06,2.00,11.00,1.00,7.10,0.00,0.00,39.00,8.70,10.14,10.20,126.80,0.00,0.00,8.71,10.14,6.00,41.00,19.00,6.80,0.00,1.00,40.00,6.70,1.00,0.20,12.98
33.00,52.00,363.00,18.00,516.00,9.90,243.00,7.40,4.70,120.00,3.60,1.00,0.021,11.00,0.229,4.00,6.00,7.00,1.00,12.00,0.21,0.00,0.00,2.00,3.80,2.00,3.80,47.00,7.00,6.02,11.00,80.80,31.00,7.14,5.93,5.04,1.00,8.00,8.00,8.00,1.00,1.00,8.00,8.00,0.00,0.00,20.32
22.00,34.00,312.00,11.00,240.00,7.10,156.00,7.10,4.60,156.00,7.10,2.00,0.063,3.00,0.094,4.00,5.00,4.00,3.00,11.00,0.26,4.00,4.00,1.00,2.90,0.00,0.00,38.00,9.20,9.76,14.20,104.00,30.00,10.53,7.42,7.95,10.00,55.00,12.00,5.50,2.00,4.00,35.00,3.50,20.00,2.00,32.98
28.00,34.00,371.00,13.00,225.00,6.60,150.00,5.40,4.40,221.00,7.90,0.00,0.000,1.00,0.029,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,5.90,1.00,2.90,85.00,10.90,10.76,13.30,119.50,0.00,0.00,10.91,10.76,2.00,4.00,2.00,2.00,0.00,2.00,2.00,1.00,2.00,1.00,23.24
16.00,27.00,95.00,7.00,200.00,7.40,53.00,3.30,2.00,42.00,2.60,0.00,0.000,4.00,0.148,0.00,10.00,0.00,4.00,4.00,0.13,3.00,5.00,1.00,3.70,1.00,3.70,23.00,3.50,2.59,5.90,63.00,0.00,0.00,3.52,2.59,3.00,15.00,7.00,5.00,0.00,1.00,12.00,4.00,3.00,1.00,8.30
8.00,13.00,74.00,3.00,70.00,5.40,34.00,4.30,2.60,40.00,5.00,1.00,0.091,1.00,0.091,0.00,0.00,1.00,1.00,2.00,0.14,1.00,4.00,0.00,0.00,0.00,0.00,18.00,5.70,5.69,9.30,77.10,0.00,0.00,5.69,5.69,1.00,4.00,4.00,4.00,0.00,1.00,3.00,3.00,1.00,1.00,3.36
7.00,13.00,87.00,5.00,144.00,11.10,50.00,7.10,3.80,37.00,5.30,1.00,0.091,2.00,0.182,2.00,1.00,4.00,2.00,8.00,0.47,2.00,3.50,1.00,7.70,0.00,0.00,25.00,6.70,8.23,12.40,100.50,12.00,13.33,5.00,6.33,5.00,20.00,6.00,4.00,0.00,2.00,19.00,3.80,1.00,0.20,9.48
25.00,37.00,285.00,15.00,278.00,7.50,166.00,6.60,4.50,119.00,4.80,1.00,0.028,8.00,0.222,2.00,14.00,4.00,7.00,13.00,0.33,0.00,0.00,1.00,2.70,0.00,0.00,49.00,7.70,8.24,11.40,99.50,18.00,5.13,6.85,7.36,1.00,-10.00,0.00,-10.00,1.00,0.00,-10.00,-10.00,0.00,0.00,12.40
28.00,34.00,290.00,16.00,240.00,7.10,192.00,6.90,5.60,98.00,3.50,1.00,0.031,1.00,0.031,4.00,6.00,3.00,4.00,11.00,0.28,1.00,11.00,3.00,8.80,2.00,5.90,41.00,8.50,7.65,10.40,107.10,30.00,10.53,6.84,6.05,4.00,14.00,11.00,3.50,1.00,3.00,0.00,0.00,14.00,3.50,21.00
22.00,37.00,280.00,11.00,258.00,7.00,150.00,6.80,4.10,130.00,5.90,0.00,0.000,10.00,0.286,2.00,8.00,5.00,3.00,10.00,0.24,2.00,10.50,0.00,0.00,2.00,5.40,44.00,7.60,5.14,12.70,60.60,0.00,5.13,7.18,4.87,8.00,50.00,21.00,6.30,0.00,5.00,3.60,4.50,14.00,1.80,20.20
22.00,29.00,184.00,7.00,124.00,4.30,62.00,2.80,2.10,122.00,5.50,1.00,0.034,4.00,0.138,3.00,7.00,0.00,2.00,5.00,0.15,1.00,7.00,2.00,6.90,0.00,0.00,29.00,6.30,7.72,8.40,114.70,22.00,9.38,5.06,6.31,1.00,7.00,7.00,7.00,1.00,0.00,7.00,7.00,0.00,0.00,16.06
26.00,36.00,269.00,15.00,205.00,5.70,94.00,3.60,2.60,175.00,6.70,0.00,0.000,6.00,0.182,3.00,3.00,9.00,6.00,18.00,0.45,1.00,1.00,0.00,0.00,0.00,0.00,27.00,7.50,7.47,10.30,93.40,16.00,7.69,6.49,6.49,2.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,10.76
24.00,30.00,238.00,14.00,198.00,6.60,135.00,5.60,4.50,103.00,4.30,0.00,0.000,4.00,0.133,4.00,6.00,1.00,0.00,5.00,0.13,5.00,11.80,1.00,3.30,1.00,3.30,29.00,7.90,7.10,9.90,96.90,16.00,11.76,6.53,5.79,5.00,59.00,41.00,11.80,0.00,2.00,36.00,7.20,23.00,4.60,20.42
