Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points,,,,,,,,,,,,,,,,,,,,,
24.000,30.000,289.000,15.000,160.000,102.000,187.000,0.235,9.600,12.300,12.042,146.400,9.032,11.613,21.000,1.000,11.000,3.700,10.000,0.000,0.133,4.000,0.000,1.000,9.000,0.000,29.660,,,,,,,,,,,,,,,,,,,,,
16.000,28.000,178.000,11.000,220.000,79.000,99.000,0.200,6.400,7.790,11.125,100.000,6.034,7.414,32.000,1.000,20.000,4.000,12.000,0.000,0.071,2.000,0.000,1.000,3.000,0.000,18.320,,,,,,,,,,,,,,,,,,,,,
29.000,38.000,324.000,18.000,283.000,204.000,120.000,0.098,8.500,10.110,11.172,127.500,7.800,9.300,4.000,1.000,4.000,4.000,0.000,0.000,0.079,3.000,0.000,2.000,12.000,0.000,25.360,,,,,,,,,,,,,,,,,,,,,
16.000,22.000,142.000,5.000,139.000,79.000,63.000,0.259,6.500,7.360,8.875,104.700,4.423,5.192,3.000,0.000,3.000,3.000,0.000,0.000,0.045,1.000,0.000,4.000,27.000,0.000,9.980,,,,,,,,,,,,,,,,,,,,,
15.000,28.000,125.000,6.000,209.000,63.000,62.000,0.289,4.500,5.180,8.333,77.200,2.629,3.200,14.000,0.000,10.000,3.300,4.000,0.000,0.036,1.000,0.000,7.000,33.000,1.000,8.400,,,,,,,,,,,,,,,,,,,,,
20.000,26.000,323.000,16.000,244.000,174.000,149.000,0.300,12.400,11.460,16.150,114.700,11.000,10.107,40.000,3.000,30.000,2.700,10.000,0.000,0.038,1.000,1.000,2.000,15.000,0.000,19.920,,,,,,,,,,,,,,,,,,,,,
11.000,19.000,93.000,5.000,76.000,57.000,36.000,0.316,5.800,0.190,8.455,44.000,4.238,-0.048,3.000,0.000,3.000,1.500,0.000,0.000,0.000,0.000,2.000,2.000,4.000,0.000,2.020,,,,,,,,,,,,,,,,,,,,,
10.000,24.000,131.000,6.000,314.000,92.000,39.000,0.394,5.500,5.460,13.100,59.500,3.889,3.889,47.000,2.000,41.000,4.600,6.000,0.000,0.000,0.000,0.000,3.000,26.000,1.000,7.940,,,,,,,,,,,,,,,,,,,,,
20.000,26.000,174.000,10.000,193.000,133.000,41.000,0.138,6.700,8.230,8.700,119.700,5.786,7.214,56.000,6.000,33.000,4.700,21.000,1.000,0.077,2.000,0.000,2.000,12.000,1.000,24.560,,,,,,,,,,,,,,,,,,,,,
14.000,28.000,195.000,9.000,347.000,114.000,81.000,0.188,7.000,7.500,13.929,93.600,5.548,6.032,3.000,1.000,1.000,0.300,2.000,0.000,0.107,3.000,1.000,3.000,23.000,0.000,19.100,,,,,,,,,,,,,,,,,,,,,
18.000,28.000,221.000,9.000,184.000,88.000,133.000,0.118,7.900,7.890,12.278,88.500,6.867,6.867,39.000,4.000,27.000,2.700,12.000,1.000,0.000,0.000,0.000,2.000,15.000,0.000,18.740,,,,,,,,,,,,,,,,,,,,,
24.000,32.000,247.000,12.000,193.000,132.000,115.000,0.091,7.700,8.970,10.292,117.600,7.303,8.515,1.000,0.000,1.000,0.300,0.000,0.000,0.063,2.000,0.000,1.000,6.000,1.000,15.980,,,,,,,,,,,,,,,,,,,,,
18.000,37.000,212.000,9.000,386.000,152.000,60.000,0.282,5.700,6.810,11.778,84.500,5.385,6.410,-3.000,0.000,-3.000,-1.500,0.000,0.000,0.054,2.000,0.000,2.000,2.000,1.000,14.180,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
