Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points,,,,,,,,,,,,,,,,,,,,,
24.000,45.000,169.000,8.000,395.000,67.000,102.000,0.446,3.800,2.200,7.042,51.100,2.686,1.314,39.000,2.000,25.000,5.000,14.000,0.000,0.022,1.000,2.000,6.000,32.000,1.000,10.660,,,,,,,,,,,,,,,,,,,,,
11.000,16.000,243.000,8.000,135.000,110.000,133.000,0.529,15.200,14.880,22.091,125.000,14.235,13.941,1.000,1.000,1.000,1.000,1.000,1.000,0.125,2.000,1.000,1.000,1.000,0.000,22.820,,,,,,,,,,,,,,,,,,,,,
12.000,15.000,182.000,8.000,47.000,31.000,151.000,0.059,12.100,13.470,15.167,139.400,12.133,13.467,87.000,6.000,58.000,4.100,29.000,1.000,0.067,1.000,0.000,0.000,0.000,0.000,25.980,,,,,,,,,,,,,,,,,,,,,
29.000,40.000,281.000,12.000,399.000,161.000,120.000,0.073,7.000,5.900,9.690,81.400,6.756,5.659,0.300,1.000,1.000,0.300,2.000,0.000,0.000,0.000,1.000,1.000,4.000,0.000,10.270,,,,,,,,,,,,,,,,,,,,,
15.000,27.000,131.000,6.000,300.000,61.000,70.000,0.333,4.900,6.330,8.733,93.300,3.833,5.167,27.000,2.000,22.000,3.700,5.000,0.000,0.074,2.000,0.000,3.000,16.000,1.000,13.940,,,,,,,,,,,,,,,,,,,,,
18.000,25.000,315.000,13.000,256.000,148.000,167.000,0.241,12.600,15.000,17.500,153.700,11.037,13.259,5.000,0.000,4.000,1.300,1.000,0.000,0.120,3.000,0.000,2.000,17.000,0.000,25.100,,,,,,,,,,,,,,,,,,,,,
18.000,26.000,260.000,9.000,184.000,114.000,146.000,0.152,10.000,10.770,14.444,114.300,8.786,9.500,56.000,5.000,47.000,5.900,9.000,1.000,0.038,1.000,0.000,2.000,14.000,1.000,24.000,,,,,,,,,,,,,,,,,,,,,
19.000,24.000,222.000,12.000,136.000,78.000,144.000,0.269,9.300,11.750,11.684,144.800,8.077,10.385,-11.000,0.000,-11.000,-2.800,0.000,0.000,0.125,3.000,0.000,2.000,12.000,2.000,15.780,,,,,,,,,,,,,,,,,,,,,
14.000,20.000,202.000,9.000,227.000,120.000,82.000,0.357,10.100,9.850,14.429,115.000,6.240,6.040,56.000,4.000,53.000,7.600,3.000,2.000,0.100,2.000,1.000,5.000,46.000,1.000,30.680,,,,,,,,,,,,,,,,,,,,,
23.000,34.000,257.000,13.000,168.000,101.000,156.000,0.184,7.600,6.240,11.174,77.700,7.143,5.857,26.000,1.000,26.000,8.700,0.000,0.000,0.000,0.000,1.000,1.000,7.000,0.000,11.880,,,,,,,,,,,,,,,,,,,,,
25.000,38.000,275.000,11.000,346.000,153.000,122.000,0.364,7.200,5.920,11.000,82.700,4.500,3.310,74.000,4.000,71.000,10.100,3.000,1.000,0.053,2.000,2.000,4.000,86.000,0.000,30.400,,,,,,,,,,,,,,,,,,,,,
21.000,32.000,178.000,8.000,180.000,84.000,94.000,0.317,5.600,4.160,8.476,66.900,3.447,2.263,57.000,3.000,29.000,7.300,28.000,1.000,0.000,0.000,1.000,6.000,47.000,1.000,15.820,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
