Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
24.00,45.00,169.00,8.00,395.00,8.80,67.00,2.80,1.50,102.00,4.30,5.00,0.1160,10.00,0.2330,6.00,12.00,7.00,12.00,25.00,0.45,5.00,7.80,1.00,2.20,2.00,4.40,29.00,3.80,2.20,7.00,51.10,32.00,11.76,2.69,1.31,5.00,39.00,16.00,7.80,1.00,2.00,25.00,5.00,14.00,2.80,12.66
11.00,16.00,243.00,8.00,135.00,8.40,110.00,10.00,6.90,133.00,12.10,1.00,0.0670,1.00,0.0670,1.00,7.00,7.00,1.00,9.00,0.53,0.00,0.00,2.00,12.50,1.00,6.30,70.00,15.20,14.88,22.10,125.00,1.00,5.88,14.24,13.94,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,22.82
12.00,15.00,182.00,8.00,47.00,3.10,31.00,2.60,2.10,151.00,12.60,0.00,0.0000,3.00,0.2000,0.00,6.00,0.00,1.00,1.00,0.06,2.00,3.00,1.00,6.70,0.00,0.00,56.00,12.10,13.47,15.20,139.40,0.00,0.00,12.13,13.47,14.00,87.00,16.00,6.20,0.00,6.00,58.00,4.10,29.00,2.10,25.98
29.00,40.00,281.00,12.00,399.00,10.00,161.00,5.60,4.00,120.00,4.10,2.00,0.0500,3.00,0.0750,1.00,11.00,0.00,2.00,3.00,0.07,0.00,0.00,0.00,0.00,1.00,2.50,39.00,7.00,5.90,9.70,81.40,4.00,2.44,6.76,5.66,4.00,3.00,5.00,0.80,0.00,1.00,1.00,0.30,2.00,0.50,10.54
15.00,27.00,131.00,6.00,300.00,11.10,61.00,4.10,2.30,70.00,4.70,2.00,0.0800,4.00,0.1600,3.00,7.00,4.00,3.00,10.00,0.33,0.00,0.00,2.00,7.40,0.00,0.00,21.00,4.90,6.33,8.70,93.30,16.00,10.00,3.83,5.17,6.00,27.00,8.00,4.50,1.00,2.00,22.00,3.70,5.00,0.80,15.94
18.00,25.00,315.00,13.00,256.00,10.20,148.00,8.20,5.90,167.00,9.30,1.00,0.0400,5.00,0.2000,2.00,10.00,2.00,3.00,7.00,0.24,2.00,3.00,3.00,12.00,0.00,0.00,52.00,12.60,15.00,17.50,153.70,17.00,7.41,11.04,13.26,3.00,5.00,5.00,1.70,0.00,0.00,4.00,1.30,1.00,0.30,26.10
18.00,26.00,260.00,9.00,184.00,7.10,114.00,6.30,4.40,146.00,8.10,2.00,0.0800,4.00,0.1600,2.00,11.00,2.00,1.00,5.00,0.15,5.00,10.20,1.00,3.80,0.00,0.00,47.00,10.00,10.77,14.40,114.30,14.00,7.14,8.79,9.50,8.00,56.00,16.00,7.00,1.00,5.00,47.00,5.90,9.00,1.10,26.00
19.00,24.00,222.00,12.00,136.00,5.70,78.00,4.10,3.30,144.00,7.60,0.00,0.0000,2.00,0.0830,2.00,11.00,3.00,2.00,7.00,0.27,0.00,0.00,3.00,12.50,0.00,0.00,36.00,9.30,11.75,11.70,144.80,12.00,7.69,8.08,10.38,4.00,-11.00,0.00,-2.80,2.00,0.00,-11.00,-2.80,0.00,0.00,17.78
14.00,20.00,202.00,9.00,227.00,11.40,120.00,8.60,6.00,82.00,5.90,0.00,0.0000,1.00,0.0560,5.00,11.00,3.00,2.00,10.00,0.36,3.00,15.30,2.00,10.00,1.00,5.00,44.00,10.10,9.85,14.40,115.00,46.00,20.00,6.24,6.04,7.00,56.00,24.00,8.00,1.00,4.00,53.00,7.60,3.00,0.40,30.68
23.00,34.00,257.00,13.00,168.00,4.90,101.00,4.40,3.00,156.00,6.80,2.00,0.0610,4.00,0.1210,1.00,8.00,6.00,0.00,7.00,0.18,3.00,8.70,0.00,0.00,1.00,2.90,37.00,7.60,6.24,11.20,77.70,7.00,2.86,7.14,5.86,3.00,26.00,20.00,8.70,0.00,1.00,26.00,8.70,0.00,0.00,11.88
25.00,38.00,275.00,11.00,346.00,9.10,153.00,6.10,4.00,122.00,4.90,2.00,0.0570,4.00,0.1140,4.00,14.00,9.00,6.00,19.00,0.43,2.00,12.50,2.00,5.30,2.00,5.30,86.00,7.20,5.92,11.00,82.70,8.00,9.52,6.36,5.17,7.00,74.00,23.00,10.60,0.00,4.00,71.00,10.10,3.00,0.40,32.90
21.00,32.00,178.00,8.00,180.00,5.60,84.00,4.00,2.60,94.00,4.50,2.00,0.063,4.00,0.125,6.00,3.00,0.00,7.00,13.00,0.32,3.00,19.00,0.00,0.00,1.00,3.10,18.00,5.60,4.16,8.50,66.90,47.00,15.79,3.45,2.26,4.00,57.00,28.00,14.30,1.00,3.00,29.00,7.30,28.00,7.00,15.82
