Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points,,,,,,,,,,,,,,,,,,,,,
12.000,21.000,162.000,8.000,194.000,122.000,40.000,0.200,7.700,8.670,13.500,97.700,5.792,6.625,8.000,1.000,8.000,8.000,0.000,0.000,0.048,1.000,0.000,3.000,23.000,0.000,11.280,,,,,,,,,,,,,,,,,,,,,
13.000,19.000,139.000,5.000,139.000,53.000,86.000,0.100,7.300,8.370,10.692,107.100,7.316,8.368,2.000,0.000,2.000,1.000,0.000,0.000,0.053,1.000,0.000,0.000,0.000,1.000,7.760,,,,,,,,,,,,,,,,,,,,,
26.000,34.000,289.000,13.000,186.000,137.000,152.000,0.270,8.500,6.440,11.115,86.500,7.297,5.405,-2.000,0.000,-2.000,-1.000,0.000,0.000,0.029,1.000,2.000,3.000,19.000,1.000,11.360,,,,,,,,,,,,,,,,,,,,,
9.000,17.000,85.000,5.000,68.000,45.000,40.000,0.222,5.000,5.000,9.444,67.000,4.278,4.278,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,8.000,0.000,3.400,,,,,,,,,,,,,,,,,,,,,
3.000,4.000,25.000,0.000,18.000,12.000,13.000,0.200,6.300,-5.000,8.333,51.000,6.250,-5.000,5.000,1.000,1.000,0.500,4.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.500,,,,,,,,,,,,,,,,,,,,,
18.000,34.000,160.000,8.000,285.000,82.000,78.000,0.270,4.700,4.710,8.889,65.800,4.111,4.111,10.000,0.000,10.000,10.000,0.000,0.000,0.000,0.000,0.000,2.000,12.000,0.000,7.400,,,,,,,,,,,,,,,,,,,,,
10.000,24.000,129.000,6.000,241.000,75.000,54.000,0.276,5.400,5.380,12.900,59.200,5.375,5.375,56.000,3.000,46.000,3.300,10.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,8.760,,,,,,,,,,,,,,,,,,,,,
26.000,36.000,307.000,15.000,283.000,211.000,96.000,0.211,8.500,9.640,11.808,116.300,8.528,9.639,19.000,1.000,9.000,1.800,10.000,0.000,0.056,2.000,0.000,0.000,0.000,1.000,20.180,,,,,,,,,,,,,,,,,,,,,
25.000,39.000,235.000,15.000,140.000,53.000,182.000,0.098,6.000,6.410,9.400,95.600,5.775,6.150,7.000,1.000,2.000,1.000,5.000,0.000,0.077,3.000,1.000,1.000,4.000,0.000,21.100,,,,,,,,,,,,,,,,,,,,,
32.000,46.000,293.000,16.000,236.000,173.000,120.000,0.200,6.400,5.390,9.156,77.500,5.140,4.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,4.000,36.000,2.000,6.720,,,,,,,,,,,,,,,,,,,,,
30.000,43.000,282.000,17.000,191.000,94.000,188.000,0.125,6.600,6.440,9.400,93.400,5.826,5.717,7.000,1.000,7.000,3.500,0.000,0.000,0.047,2.000,1.000,3.000,14.000,0.000,18.980,,,,,,,,,,,,,,,,,,,,,
22.000,37.000,222.000,8.000,292.000,115.000,107.000,0.200,6.000,5.320,10.091,74.400,4.463,3.854,26.000,0.000,19.000,3.800,7.000,0.000,0.027,1.000,1.000,4.000,39.000,1.000,12.480,,,,,,,,,,,,,,,,,,,,,
21.000,28.000,274.000,11.000,201.000,100.000,174.000,0.179,9.800,11.210,13.048,129.200,9.786,11.214,0.000,0.000,0.000,0.000,0.000,0.000,0.071,2.000,0.000,0.000,0.000,0.000,18.960,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
