Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
17.000,34.000,260.000,9.000,312.000,122.000,138.000,0.171,7.600,7.500,15.294,83.000,7.286,7.143,0.000,0.000,0.000,0.000,0.000,0.000,0.059,2.000,1.000,1.000,5.000,0.000,17.400
20.000,29.000,241.000,11.000,235.000,140.000,101.000,0.161,8.300,9.690,12.050,117.200,7.767,9.100,-1.000,0.000,-2.000,-0.500,1.000,0.000,0.069,2.000,0.000,1.000,8.000,1.000,15.540
14.000,25.000,142.000,7.000,168.000,92.000,50.000,0.222,5.700,4.680,10.143,69.100,5.000,4.038,3.000,0.000,3.000,1.500,0.000,0.000,0.040,1.000,1.000,1.000,12.000,0.000,8.980
30.000,47.000,347.000,18.000,302.000,152.000,195.000,0.080,7.400,8.230,11.567,100.200,6.816,7.633,10.000,2.000,9.000,2.300,1.000,1.000,0.043,2.000,0.000,2.000,13.000,1.000,26.880
16.000,23.000,168.000,7.000,130.000,41.000,127.000,0.267,7.300,7.300,10.500,90.500,5.143,5.143,17.000,1.000,17.000,4.300,0.000,0.000,0.000,0.000,0.000,5.000,24.000,0.000,8.420
14.000,21.000,99.000,6.000,128.000,48.000,51.000,0.333,4.700,4.710,7.071,77.300,1.536,1.536,20.000,1.000,15.000,3.000,5.000,0.000,0.000,0.000,0.000,7.000,56.000,0.000,5.960
3.000,8.000,6.000,0.000,71.000,-3.000,9.000,0.100,0.800,0.750,2.000,45.800,0.000,0.000,13.000,1.000,13.000,13.000,0.000,0.000,0.000,0.000,0.000,1.000,6.000,2.000,-2.460
26.000,37.000,234.000,15.000,287.000,141.000,93.000,0.125,6.300,5.650,9.000,84.700,5.842,5.184,15.000,1.000,15.000,5.000,0.000,0.000,0.027,1.000,1.000,1.000,12.000,0.000,13.860
16.000,31.000,169.000,9.000,286.000,121.000,48.000,0.200,5.500,2.550,10.563,40.900,4.697,1.970,8.000,2.000,7.000,1.400,1.000,2.000,0.000,0.000,2.000,2.000,14.000,0.000,17.560
13.000,23.000,45.000,3.000,148.000,15.000,30.000,0.167,2.000,1.960,3.462,61.700,1.458,1.458,2.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,10.000,2.000,-2.000
4.000,6.000,21.000,1.000,48.000,13.000,8.000,0.500,3.500,-4.000,5.250,32.600,1.750,-3.875,17.000,2.000,12.000,4.000,5.000,0.000,0.000,0.000,1.000,2.000,7.000,0.000,1.540
22.000,32.000,191.000,10.000,114.000,45.000,146.000,0.077,6.000,5.190,8.682,81.600,4.486,3.771,18.000,1.000,11.000,1.600,7.000,0.000,0.031,1.000,1.000,3.000,34.000,0.000,12.440
24.000,36.000,243.000,13.000,233.000,136.000,107.000,0.262,6.800,7.860,10.125,104.300,4.829,5.805,15.000,1.000,15.000,15.000,0.000,0.000,0.056,2.000,0.000,5.000,45.000,1.000,17.220
23.000,36.000,237.000,11.000,362.000,138.000,99.000,0.159,6.600,7.690,10.304,101.300,5.282,6.308,79.000,5.000,47.000,5.900,32.000,0.000,0.056,2.000,0.000,3.000,31.000,2.000,21.380
