Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
17.00,34.00,260.00,9.00,312.00,9.20,122.00,7.20,3.60,138.00,8.10,4.00,0.12900,6.00,0.19400,1.00,10.00,2.00,3.00,6.00,0.17,0.00,0.00,2.00,5.90,1.00,2.90,70.00,7.60,7.50,15.30,83.00,5.00,2.86,7.29,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.40
20.00,29.00,241.00,11.00,235.00,8.10,140.00,7.00,4.80,101.00,5.10,1.00,0.03400,4.00,0.13800,1.00,6.00,3.00,1.00,5.00,0.16,1.00,1.00,2.00,6.90,0.00,0.00,41.00,8.30,9.69,12.10,117.20,8.00,3.33,7.77,9.10,4.00,-1.00,1.00,-0.30,1.00,0.00,-2.00,-0.50,1.00,0.30,17.54
14.00,25.00,142.00,7.00,168.00,6.70,92.00,6.60,3.70,50.00,3.60,0.00,0.00000,1.00,0.04300,1.00,6.00,2.00,3.00,6.00,0.22,1.00,4.00,1.00,4.00,1.00,4.00,29.00,5.70,4.68,10.10,69.10,12.00,3.85,5.00,4.04,2.00,3.00,4.00,1.50,0.00,0.00,3.00,1.50,0.00,0.00,8.98
30.00,47.00,347.00,18.00,302.00,6.40,152.00,5.10,3.20,195.00,6.50,3.00,0.06400,6.00,0.12800,2.00,12.00,1.00,1.00,4.00,0.08,1.00,10.00,2.00,4.30,0.00,0.00,30.00,7.40,8.23,11.60,100.20,13.00,4.08,6.82,7.63,4.00,10.00,10.00,2.50,1.00,2.00,9.00,2.30,1.00,0.30,29.88
16.00,23.00,168.00,7.00,130.00,5.70,41.00,2.60,1.80,127.00,7.90,1.00,0.04300,4.00,0.17400,5.00,11.00,1.00,2.00,8.00,0.27,2.00,6.00,0.00,0.00,0.00,0.00,35.00,7.30,7.30,10.50,90.50,24.00,17.86,5.14,5.14,4.00,17.00,6.00,4.30,0.00,1.00,17.00,4.30,0.00,0.00,8.42
14.00,21.00,99.00,6.00,128.00,6.10,48.00,3.40,2.30,51.00,3.60,0.00,0.00000,3.00,0.15800,7.00,0.00,0.00,3.00,10.00,0.33,2.00,5.50,0.00,0.00,0.00,0.00,14.00,4.70,4.71,7.10,77.30,56.00,25.00,1.54,1.54,5.00,20.00,9.00,4.00,0.00,1.00,15.00,3.00,5.00,1.00,5.96
3.00,8.00,6.00,0.00,71.00,8.90,-3.00,-1.00,-0.40,9.00,3.00,1.00,0.12500,2.00,0.25000,1.00,0.00,0.00,0.00,1.00,0.10,1.00,13.00,0.00,0.00,0.00,0.00,5.00,0.80,0.75,2.00,45.80,6.00,11.11,0.00,0.00,1.00,13.00,13.00,13.00,2.00,1.00,13.00,13.00,0.00,0.00,1.54
26.00,37.00,234.00,15.00,287.00,7.80,141.00,5.40,3.80,93.00,3.60,1.00,0.02700,5.00,0.13500,1.00,11.00,2.00,2.00,5.00,0.13,2.00,8.00,1.00,2.70,1.00,2.70,41.00,6.30,5.65,9.00,84.70,12.00,2.63,5.84,5.18,3.00,15.00,8.00,5.00,0.00,1.00,15.00,5.00,0.00,0.00,13.86
16.00,31.00,169.00,9.00,286.00,9.20,121.00,7.60,3.90,48.00,3.00,2.00,0.06700,5.00,0.16700,2.00,6.00,4.00,1.00,7.00,0.20,2.00,4.00,0.00,0.00,2.00,6.50,24.00,5.50,2.55,10.60,40.90,14.00,6.06,4.70,1.97,5.00,8.00,4.00,1.60,0.00,2.00,7.00,1.40,1.00,0.20,21.56
13.00,23.00,45.00,3.00,148.00,6.40,15.00,1.20,0.70,30.00,2.30,0.00,0.00000,4.00,0.17400,1.00,4.00,0.00,3.00,4.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,10.00,2.00,1.96,3.50,61.70,10.00,4.17,1.46,1.46,2.00,2.00,2.00,1.00,2.00,1.00,0.00,0.00,2.00,1.00,-2.00
