Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
17.000,23.000,156.000,6.000,122.000,102.000,54.000,0.138,6.800,6.780,9.176,91.900,5.320,5.320,57.000,5.000,20.000,1.400,37.000,0.000,0.000,0.000,0.000,2.000,23.000,1.000,9.940
23.000,30.000,183.000,12.000,185.000,126.000,57.000,0.229,6.100,5.270,7.957,88.600,5.774,4.968,85.000,7.000,63.000,4.800,22.000,1.000,0.033,1.000,1.000,1.000,4.000,0.000,24.820
26.000,39.000,217.000,13.000,206.000,77.000,140.000,0.190,5.600,5.440,8.346,87.200,5.564,5.436,17.000,1.000,13.000,2.200,4.000,0.000,0.051,2.000,1.000,0.000,0.000,0.000,17.380
28.000,36.000,239.000,11.000,193.000,127.000,112.000,0.105,6.600,5.390,8.536,82.800,6.351,5.135,5.000,0.000,5.000,1.700,0.000,0.000,0.000,0.000,1.000,1.000,4.000,0.000,9.060
19.000,24.000,180.000,12.000,121.000,68.000,112.000,0.033,7.500,10.000,9.474,137.500,6.920,9.320,42.000,2.000,41.000,6.800,1.000,0.000,0.125,3.000,0.000,1.000,7.000,0.000,23.400
26.000,38.000,221.000,12.000,265.000,147.000,74.000,0.100,5.800,4.500,8.500,78.900,5.816,4.500,21.000,1.000,2.000,0.700,19.000,0.000,0.053,2.000,2.000,0.000,0.000,0.000,16.940
18.000,28.000,207.000,11.000,337.000,141.000,66.000,0.344,7.400,8.820,11.500,110.300,6.931,8.310,15.000,0.000,15.000,3.800,0.000,0.000,0.071,2.000,0.000,1.000,6.000,1.000,15.780
37.000,50.000,330.000,16.000,363.000,139.000,191.000,0.039,6.600,6.000,8.919,94.600,6.600,6.000,11.000,2.000,6.000,2.000,5.000,0.000,0.060,3.000,2.000,0.000,0.000,1.000,22.300
13.000,25.000,115.000,7.000,204.000,69.000,46.000,0.240,4.600,5.400,8.846,77.900,4.600,5.400,4.000,1.000,4.000,4.000,0.000,0.000,0.040,1.000,0.000,0.000,0.000,1.000,7.000
18.000,24.000,133.000,6.000,90.000,49.000,84.000,0.276,5.500,6.380,7.389,101.600,4.667,5.407,30.000,2.000,27.000,9.000,3.000,0.000,0.042,1.000,0.000,3.000,7.000,0.000,12.320
16.000,25.000,269.000,8.000,195.000,104.000,165.000,0.259,10.800,12.360,16.813,126.900,10.760,12.360,17.000,0.000,17.000,4.300,0.000,0.000,0.080,2.000,0.000,0.000,0.000,1.000,18.460
28.000,33.000,307.000,14.000,139.000,108.000,199.000,0.200,9.300,11.730,10.964,145.000,8.676,11.029,5.000,0.000,5.000,2.500,0.000,0.000,0.121,4.000,0.000,1.000,12.000,0.000,28.780
16.000,23.000,147.000,5.000,170.000,84.000,63.000,0.393,6.400,6.390,9.188,86.700,4.571,4.571,1.000,2.000,-2.000,-0.400,3.000,0.000,0.000,0.000,0.000,5.000,19.000,0.000,5.980
