Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
23.000,37.000,338.000,11.000,238.000,95.000,243.000,0.146,9.100,9.680,14.696,101.000,7.975,8.475,11.000,1.000,11.000,11.000,0.000,0.000,0.027,1.000,0.000,3.000,19.000,0.000,18.620
22.000,34.000,186.000,7.000,217.000,119.000,67.000,0.316,5.500,5.470,8.455,78.800,4.778,4.778,20.000,1.000,13.000,2.600,7.000,1.000,0.000,0.000,0.000,2.000,14.000,0.000,15.440
23.000,30.000,263.000,15.000,172.000,83.000,180.000,0.059,8.800,11.430,11.435,142.100,8.767,11.433,44.000,5.000,34.000,5.700,10.000,0.000,0.133,4.000,0.000,0.000,0.000,0.000,30.920
27.000,40.000,345.000,20.000,325.000,180.000,165.000,0.311,8.600,9.630,12.778,110.900,7.952,8.905,17.000,2.000,17.000,5.700,0.000,0.000,0.050,2.000,0.000,2.000,11.000,0.000,23.500
33.000,44.000,359.000,16.000,334.000,232.000,127.000,0.143,8.200,9.520,10.879,121.300,6.750,8.000,22.000,2.000,21.000,7.000,1.000,0.000,0.068,3.000,0.000,4.000,35.000,1.000,26.560
23.000,29.000,226.000,14.000,107.000,78.000,148.000,0.147,7.800,9.000,9.826,124.400,6.906,8.000,56.000,3.000,35.000,8.800,21.000,0.000,0.138,4.000,1.000,3.000,5.000,0.000,29.640
26.000,37.000,276.000,13.000,280.000,134.000,142.000,0.095,7.500,8.540,10.615,109.700,6.590,7.615,18.000,1.000,14.000,4.700,4.000,0.000,0.054,2.000,0.000,2.000,19.000,0.000,20.840
14.000,22.000,196.000,8.000,248.000,114.000,82.000,0.136,8.900,6.860,14.000,73.300,8.909,6.864,-1.000,0.000,-1.000,-1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,6.740
4.000,5.000,56.000,3.000,30.000,18.000,38.000,0.125,11.200,15.200,14.000,152.900,9.333,12.667,23.000,1.000,-1.000,-0.300,24.000,0.000,0.200,1.000,0.000,1.000,0.000,0.000,8.540
18.000,24.000,230.000,11.000,236.000,170.000,60.000,0.152,9.600,11.250,12.778,132.300,7.778,9.259,67.000,4.000,61.000,4.700,6.000,1.000,0.083,2.000,0.000,3.000,20.000,0.000,29.900
24.000,38.000,241.000,15.000,348.000,146.000,95.000,0.143,6.300,2.790,10.042,48.200,5.974,2.513,28.000,3.000,4.000,0.600,24.000,0.000,0.000,0.000,3.000,1.000,8.000,0.000,9.440
24.000,29.000,412.000,20.000,211.000,185.000,227.000,0.125,14.200,16.970,17.167,158.300,14.207,16.966,21.000,2.000,21.000,5.300,0.000,0.000,0.138,4.000,0.000,0.000,0.000,0.000,34.580
22.000,34.000,242.000,10.000,293.000,131.000,111.000,0.132,7.100,7.710,11.000,95.500,6.056,6.611,7.000,0.000,4.000,0.800,3.000,0.000,0.029,1.000,0.000,2.000,24.000,0.000,14.380
