Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
23.00,37.00,338.00,11.00,238.00,6.40,95.00,4.10,2.60,243.00,10.60,1.00,0.028,7.00,0.194,3.00,11.00,2.00,1.00,6.00,0.15,1.00,11.00,1.00,4.80,0.00,0.00,30.00,7.70,8.67,13.50,97.70,23.00,12.50,5.79,6.63,1.00,8.00,8.00,8.00,0.00,1.00,11.00,11.00,0.00,0.00,19.62
22.00,34.00,186.00,7.00,217.00,6.40,119.00,5.40,3.50,67.00,3.00,5.00,0.147,3.00,0.088,2.00,9.00,4.00,6.00,12.00,0.32,2.00,4.00,0.00,0.00,0.00,0.00,30.00,5.50,5.47,8.50,78.80,14.00,5.56,4.78,4.78,5.00,20.00,9.00,4.00,0.00,1.00,13.00,2.60,7.00,1.40,15.44
23.00,30.00,263.00,15.00,172.00,5.70,83.00,3.60,2.80,180.00,7.80,1.00,0.034,2.00,0.069,0.00,9.00,1.00,1.00,2.00,0.06,4.00,8.30,4.00,13.30,0.00,0.00,28.00,8.80,11.43,11.40,142.10,0.00,0.00,8.77,11.43,6.00,44.00,13.00,7.30,0.00,5.00,34.00,5.70,10.00,1.70,30.92
27.00,40.00,345.00,20.00,325.00,8.10,180.00,6.70,4.50,165.00,6.10,2.00,0.051,7.00,0.179,2.00,2.00,7.00,5.00,14.00,0.31,3.00,5.70,2.00,5.00,0.00,0.00,31.00,8.60,9.63,12.80,110.90,11.00,4.76,7.95,8.90,3.00,17.00,11.00,5.70,0.00,2.00,17.00,5.70,0.00,0.00,24.50
33.00,44.00,359.00,16.00,334.00,7.60,232.00,7.00,5.30,127.00,3.80,2.00,0.045,5.00,0.114,4.00,6.00,1.00,2.00,7.00,0.14,1.00,21.00,3.00,6.80,0.00,0.00,65.00,8.20,9.52,10.90,121.30,35.00,8.33,6.75,8.00,3.00,22.00,21.00,7.30,1.00,2.00,21.00,7.00,1.00,0.30,28.06
23.00,29.00,226.00,14.00,107.00,3.70,78.00,3.40,2.70,148.00,6.40,0.00,0.000,2.00,0.077,3.00,5.00,1.00,1.00,5.00,0.15,2.00,21.00,4.00,13.80,1.00,3.40,31.00,7.80,9.00,9.80,124.40,5.00,9.38,6.91,8.00,4.00,56.00,23.00,14.00,0.00,3.00,35.00,8.80,21.00,5.30,29.64
26.00,37.00,276.00,13.00,280.00,7.60,134.00,5.20,3.60,142.00,5.50,2.00,0.056,4.00,0.111,2.00,4.00,1.00,1.00,4.00,0.10,3.00,6.00,2.00,5.40,0.00,0.00,33.00,7.50,8.54,10.60,109.70,19.00,5.13,6.59,7.62,3.00,18.00,15.00,6.00,0.00,1.00,14.00,4.70,4.00,1.30,20.84
14.00,22.00,196.00,8.00,248.00,11.30,114.00,8.10,5.20,82.00,5.90,1.00,0.050,5.00,0.250,0.00,1.00,1.00,2.00,3.00,0.14,0.00,0.00,0.00,0.00,1.00,4.50,67.00,8.90,6.86,14.00,73.30,0.00,0.00,8.91,6.86,1.00,-1.00,0.00,-1.00,0.00,0.00,-1.00,-1.00,0.00,0.00,6.74
4.00,5.00,56.00,3.00,30.00,6.00,18.00,4.50,3.60,38.00,9.50,1.00,0.200,0.00,0.000,1.00,0.00,0.00,0.00,1.00,0.13,2.00,12.50,1.00,20.00,0.00,0.00,51.00,11.20,15.20,14.00,152.90,0.00,16.67,9.33,12.67,4.00,23.00,20.00,5.80,0.00,1.00,-1.00,-0.30,24.00,6.00,8.54
18.00,24.00,230.00,11.00,236.00,9.80,170.00,9.40,7.10,60.00,3.30,1.00,0.043,2.00,0.087,3.00,5.00,2.00,0.00,5.00,0.15,6.00,7.70,2.00,8.30,0.00,0.00,46.00,9.60,11.25,12.80,132.30,20.00,11.11,7.78,9.26,13.00,67.00,21.00,5.20,0.00,4.00,61.00,4.70,6.00,0.50,29.90
24.00,38.00,241.00,15.00,348.00,9.20,146.00,6.10,3.80,95.00,4.00,2.00,0.054,6.00,0.162,1.00,1.00,3.00,2.00,6.00,0.14,3.00,9.00,0.00,0.00,3.00,7.90,28.00,6.30,2.79,10.00,48.20,8.00,2.56,5.97,2.51,7.00,28.00,11.00,4.00,0.00,3.00,4.00,0.60,24.00,3.40,9.44
24.00,29.00,412.00,20.00,211.00,7.30,185.00,7.70,6.40,227.00,9.50,1.00,0.037,1.00,0.037,0.00,2.00,2.00,2.00,4.00,0.13,3.00,6.00,4.00,13.80,0.00,0.00,64.00,14.20,16.97,17.20,158.30,0.00,0.00,14.21,16.97,4.00,21.00,8.00,5.30,0.00,2.00,21.00,5.30,0.00,0.00,37.58
3.00,4.00,37.00,2.00,33.00,8.30,27.00,9.00,6.80,10.00,3.30,1.00,0.250,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,21.00,9.30,9.25,12.30,103.10,0.00,0.00,9.25,9.25,4.00,3.00,3.00,0.80,0.00,1.00,3.00,0.80,0.00,0.00,1.78
22.00,34.00,242.00,10.00,293.00,8.60,131.00,6.00,3.90,111.00,5.00,2.00,0.061,3.00,0.091,2.00,11.00,2.00,1.00,5.00,0.13,2.00,4.50,2.00,2.90,0.00,0.00,40.00,7.10,7.71,11.00,95.50,24.00,5.56,6.06,6.61,5.00,7.00,6.00,1.40,0.00,0.00,4.00,0.80,3.00,0.60,14.38
