Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
