Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
19.000,29.000,231.000,12.000,264.000,166.000,65.000,0.188,8.000,7.970,12.158,89.900,7.258,7.258,11.000,1.000,11.000,11.000,0.000,0.000,0.000,0.000,0.000,2.000,6.000,0.000,10.340
19.000,28.000,192.000,7.000,284.000,110.000,82.000,0.171,6.900,5.960,10.105,84.200,5.313,4.531,38.000,3.000,24.000,6.000,14.000,0.000,0.036,1.000,1.000,4.000,22.000,1.000,12.480
12.000,18.000,98.000,4.000,120.000,47.000,51.000,0.478,5.400,5.440,8.167,80.300,2.261,2.261,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,46.000,0.000,3.920
4.000,8.000,22.000,2.000,25.000,8.000,14.000,0.250,2.800,2.750,5.500,56.200,0.900,0.900,12.000,1.000,12.000,6.000,0.000,0.000,0.000,0.000,0.000,2.000,13.000,0.000,2.080
12.000,25.000,60.000,3.000,245.000,26.000,34.000,0.259,2.400,3.200,5.000,67.900,2.400,3.200,3.000,0.000,3.000,0.600,0.000,0.000,0.040,1.000,0.000,0.000,0.000,0.000,6.700
14.000,31.000,179.000,7.000,402.000,125.000,54.000,0.333,5.800,4.320,12.786,50.300,4.200,2.914,10.000,2.000,10.000,2.000,1.000,0.000,0.000,0.000,1.000,4.000,32.000,1.000,5.160
19.000,25.000,215.000,10.000,203.000,131.000,84.000,0.233,8.600,10.200,11.316,127.900,7.778,9.259,18.000,3.000,10.000,1.100,8.000,1.000,0.080,2.000,0.000,2.000,5.000,1.000,22.400
16.000,29.000,264.000,12.000,238.000,149.000,115.000,0.323,9.100,10.480,16.500,109.000,8.667,10.000,3.000,2.000,0.000,0.000,3.000,1.000,0.069,2.000,0.000,1.000,4.000,0.000,24.860
15.000,24.000,132.000,6.000,178.000,70.000,62.000,0.115,5.500,5.500,8.800,77.100,4.840,4.840,11.000,1.000,6.000,2.000,5.000,0.000,0.000,0.000,0.000,1.000,11.000,1.000,4.380
3.000,6.000,23.000,1.000,65.000,7.000,16.000,0.100,3.800,3.830,7.667,59.700,3.833,3.833,3.000,46.000,31.000,10.300,15.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,7.220
11.000,30.000,191.000,6.000,474.000,130.000,61.000,0.333,6.400,6.370,17.364,59.200,3.553,3.553,59.000,3.000,58.000,7.300,1.000,0.000,0.000,0.000,0.000,8.000,56.000,1.000,11.540
22.000,24.000,266.000,15.000,111.000,86.000,180.000,0.120,11.100,11.920,12.091,126.700,10.360,11.160,21.000,3.000,13.000,4.300,8.000,2.000,0.042,1.000,0.000,1.000,7.000,1.000,26.740
20.000,30.000,272.000,13.000,315.000,181.000,91.000,0.188,9.100,9.730,13.600,106.500,7.531,8.156,32.000,3.000,11.000,1.100,21.000,2.000,0.033,1.000,0.000,2.000,31.000,2.000,26.080
20.000,31.000,206.000,7.000,186.000,131.000,75.000,0.229,6.600,7.290,10.300,94.300,5.147,5.735,2.000,0.000,2.000,1.000,0.000,0.000,0.032,1.000,0.000,3.000,31.000,0.000,12.440
