Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
34.000,49.000,317.000,15.000,290.000,146.000,171.000,0.314,6.500,5.960,9.324,85.200,5.961,5.471,0.000,0.000,0.000,0.000,0.000,0.000,0.020,1.000,1.000,2.000,13.000,0.000,15.680
12.000,19.000,185.000,9.000,152.000,95.000,90.000,0.286,9.700,8.420,15.417,90.900,6.083,5.042,34.000,3.000,30.000,6.000,4.000,1.000,0.053,1.000,1.000,5.000,39.000,2.000,15.800
21.000,34.000,207.000,10.000,409.000,145.000,62.000,0.189,6.100,5.350,9.857,76.500,5.714,5.000,45.000,2.000,43.000,8.600,2.000,0.000,0.029,1.000,1.000,1.000,7.000,0.000,15.780
38.000,56.000,395.000,22.000,305.000,181.000,214.000,0.210,7.100,6.610,10.395,86.500,6.492,6.068,38.000,4.000,34.000,6.800,4.000,0.000,0.018,1.000,1.000,3.000,12.000,0.000,22.600
17.000,33.000,178.000,6.000,292.000,96.000,82.000,0.500,5.400,2.670,10.471,42.200,4.108,1.676,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,2.000,4.000,26.000,0.000,5.220
8.000,11.000,46.000,4.000,43.000,22.000,24.000,0.091,4.200,0.009,5.750,42.200,4.182,0.091,2.000,1.000,2.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.040
22.000,27.000,259.000,10.000,215.000,170.000,89.000,0.171,9.600,8.670,11.773,103.500,7.871,7.065,39.000,1.000,39.000,9.800,0.000,0.000,0.037,1.000,1.000,4.000,15.000,0.000,17.260
22.000,38.000,266.000,12.000,335.000,187.000,79.000,0.220,7.000,5.160,12.091,66.300,6.615,4.821,29.000,3.000,27.000,6.800,2.000,1.000,0.026,1.000,2.000,1.000,8.000,0.000,21.540
23.000,39.000,273.000,10.000,364.000,182.000,91.000,0.205,7.000,5.850,11.870,69.700,7.000,5.846,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,3.000,3.920
19.000,33.000,232.000,12.000,254.000,115.000,117.000,0.342,7.000,4.910,12.211,64.200,5.189,3.297,5.000,0.000,5.000,5.000,0.000,0.000,0.030,1.000,2.000,4.000,40.000,1.000,9.780
17.000,29.000,138.000,7.000,354.000,66.000,72.000,0.129,4.800,3.210,8.118,56.400,4.300,2.800,7.000,1.000,7.000,3.500,0.000,0.000,0.000,0.000,1.000,1.000,9.000,0.000,5.220
11.000,28.000,172.000,7.000,373.000,97.000,75.000,0.333,6.100,6.140,15.636,60.400,6.143,6.143,61.000,3.000,39.000,3.900,22.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,10.980
20.000,39.000,256.000,11.000,524.000,155.000,101.000,0.188,6.600,8.100,12.800,97.800,5.114,6.477,39.000,1.000,35.000,8.800,4.000,0.000,0.077,3.000,0.000,5.000,31.000,0.000,26.140
