Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
34.00,49.00,317.00,15.00,290.00,5.90,146.00,4.30,3.00,171.00,5.00,4.00,0.083,6.00,0.125,2.00,14.00,5.00,9.00,16.00,0.31,0.00,0.00,1.00,2.00,1.00,2.00,63.00,6.50,5.96,9.30,85.20,13.00,3.92,5.96,5.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.68
12.00,19.00,185.00,9.00,152.00,8.00,95.00,7.90,5.00,90.00,7.50,1.00,0.053,3.00,0.158,5.00,11.00,3.00,0.00,8.00,0.29,4.00,8.80,1.00,5.30,1.00,5.30,41.00,9.70,8.42,15.40,90.90,39.00,20.83,6.08,5.04,5.00,34.00,12.00,6.80,2.00,3.00,30.00,6.00,4.00,0.80,19.80
21.00,34.00,207.00,10.00,409.00,12.00,145.00,6.90,4.30,62.00,3.00,0.00,0.000,8.00,0.235,1.00,8.00,3.00,3.00,7.00,0.19,2.00,12.00,1.00,2.90,1.00,2.90,28.00,6.10,5.35,9.90,76.50,7.00,2.86,5.71,5.00,5.00,45.00,21.00,9.00,0.00,2.00,43.00,8.60,2.00,0.40,15.78
38.00,56.00,395.00,22.00,305.00,5.40,181.00,4.80,3.20,214.00,5.60,2.00,0.038,4.00,0.075,3.00,21.00,5.00,5.00,13.00,0.21,3.00,8.00,1.00,1.80,1.00,1.80,29.00,7.10,6.61,10.40,86.50,12.00,5.08,6.49,6.07,5.00,38.00,12.00,7.60,0.00,4.00,34.00,6.80,4.00,0.80,23.60
17.00,33.00,178.00,6.00,292.00,8.80,96.00,5.60,2.90,82.00,4.80,1.00,0.031,9.00,0.281,4.00,12.00,8.00,7.00,19.00,0.50,1.00,1.00,0.00,0.00,2.00,6.10,27.00,5.40,2.67,10.50,42.20,26.00,10.81,4.11,1.68,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,5.22
8.00,11.00,46.00,4.00,43.00,3.90,22.00,2.80,2.00,24.00,3.00,0.00,0.000,3.00,0.273,0.00,2.00,1.00,0.00,1.00,0.09,0.00,0.00,0.00,0.00,1.00,9.10,15.00,4.20,0.09,5.80,42.20,0.00,0.00,4.18,0.09,1.00,2.00,2.00,2.00,0.00,1.00,2.00,2.00,0.00,0.00,1.04
22.00,27.00,259.00,10.00,215.00,8.00,170.00,7.70,6.30,89.00,4.00,1.00,0.038,1.00,0.038,4.00,15.00,1.00,1.00,6.00,0.17,4.00,9.80,1.00,3.70,1.00,3.70,51.00,9.60,8.67,11.80,103.50,15.00,12.90,7.87,7.06,4.00,39.00,19.00,9.80,0.00,1.00,39.00,9.80,0.00,0.00,17.26
22.00,38.00,266.00,12.00,335.00,8.80,187.00,8.50,4.90,79.00,3.60,1.00,0.026,13.00,0.342,1.00,8.00,4.00,4.00,9.00,0.22,2.00,12.50,1.00,2.60,2.00,5.30,47.00,7.00,5.16,12.10,66.30,8.00,2.56,6.62,4.82,4.00,29.00,14.00,7.30,0.00,3.00,27.00,6.80,2.00,0.50,21.54
23.00,39.00,273.00,10.00,364.00,9.30,182.00,7.90,4.70,91.00,4.00,5.00,0.135,7.00,0.189,0.00,8.00,6.00,2.00,8.00,0.21,0.00,0.00,0.00,0.00,1.00,2.60,41.00,7.00,5.85,11.90,69.70,0.00,0.00,7.00,5.85,3.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,11.92
19.00,33.00,232.00,12.00,254.00,7.70,115.00,6.10,3.50,117.00,6.20,2.00,0.063,5.00,0.156,4.00,16.00,6.00,3.00,13.00,0.34,1.00,5.00,1.00,3.00,2.00,6.10,36.00,7.00,4.91,12.20,64.20,40.00,10.81,5.19,3.30,1.00,5.00,5.00,5.00,1.00,0.00,5.00,5.00,0.00,0.00,11.78
17.00,29.00,138.00,7.00,354.00,12.20,66.00,3.90,2.30,72.00,4.20,0.00,0.000,9.00,0.321,1.00,15.00,2.00,1.00,4.00,0.13,1.00,5.00,0.00,0.00,1.00,3.40,24.00,4.80,3.21,8.10,56.40,9.00,3.33,4.30,2.80,2.00,7.00,5.00,3.50,0.00,1.00,7.00,3.50,0.00,0.00,5.22
11.00,28.00,172.00,7.00,373.00,13.30,97.00,8.80,3.50,75.00,6.80,1.00,0.040,11.00,0.440,0.00,12.00,4.00,6.00,10.00,0.33,2.00,2.50,0.00,0.00,0.00,0.00,39.00,6.10,6.14,15.60,60.40,0.00,0.00,6.14,6.14,10.00,61.00,17.00,6.10,1.00,3.00,39.00,3.90,22.00,2.20,12.98
20.00,39.00,256.00,11.00,524.00,13.40,155.00,7.80,4.00,101.00,5.10,2.00,0.056,9.00,0.250,5.00,8.00,0.00,4.00,9.00,0.19,4.00,9.80,3.00,7.70,0.00,0.00,31.00,6.60,8.10,12.80,97.80,33.00,11.36,5.07,6.43,4.00,39.00,13.00,9.80,0.00,1.00,35.00,8.80,4.00,1.00,26.14
