Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points,,,,,,,,,,,,,,,,,,,,,
20.000,34.000,278.000,14.000,242.000,108.000,170.000,0.231,8.200,6.710,13.900,80.300,7.389,6.000,33.000,2.000,17.000,1.300,16.000,0.000,0.059,2.000,2.000,2.000,12.000,2.000,16.420,,,,,,,,,,,,,,,,,,,,,
17.000,34.000,204.000,10.000,415.000,130.000,74.000,0.189,6.000,2.620,12.000,41.800,5.657,2.371,37.000,2.000,37.000,9.300,0.000,0.000,0.029,1.000,3.000,1.000,6.000,2.000,8.860,,,,,,,,,,,,,,,,,,,,,
26.000,34.000,260.000,14.000,231.000,125.000,135.000,0.227,7.600,6.180,10.000,92.800,4.857,3.667,12.000,2.000,10.000,3.300,2.000,0.000,0.059,2.000,2.000,8.000,56.000,1.000,15.600,,,,,,,,,,,,,,,,,,,,,
20.000,28.000,275.000,11.000,289.000,160.000,115.000,0.273,9.800,10.360,13.750,123.400,8.467,8.967,15.000,2.000,13.000,1.900,2.000,0.000,0.107,3.000,1.000,2.000,21.000,1.000,21.500,,,,,,,,,,,,,,,,,,,,,
29.000,45.000,260.000,11.000,277.000,143.000,117.000,0.292,5.800,5.220,8.966,78.000,4.917,4.396,0.000,0.000,0.000,0.000,0.000,0.000,0.022,1.000,1.000,3.000,24.000,0.000,13.400,,,,,,,,,,,,,,,,,,,,,
22.000,32.000,214.000,8.000,194.000,116.000,98.000,0.167,6.700,7.310,9.727,97.700,6.688,7.313,14.000,0.000,14.000,2.000,0.000,0.000,0.031,1.000,0.000,0.000,0.000,1.000,11.960,,,,,,,,,,,,,,,,,,,,,
10.000,21.000,86.000,6.000,153.000,40.000,46.000,0.414,4.100,4.100,8.600,58.800,2.200,2.200,19.000,2.000,14.000,2.800,5.000,0.000,0.000,0.000,0.000,4.000,31.000,0.000,5.340,,,,,,,,,,,,,,,,,,,,,
21.000,32.000,308.000,14.000,311.000,182.000,126.000,0.147,9.600,9.470,14.667,104.700,9.061,8.909,10.000,2.000,1.000,0.300,9.000,1.000,0.063,2.000,1.000,1.000,9.000,1.000,24.320,,,,,,,,,,,,,,,,,,,,,
18.000,22.000,145.000,8.000,81.000,58.000,87.000,0.174,6.600,7.500,8.056,109.300,5.957,6.826,-2.000,0.000,-2.000,-0.700,0.000,0.000,0.045,1.000,0.000,1.000,8.000,0.000,9.600,,,,,,,,,,,,,,,,,,,,,
23.000,31.000,231.000,12.000,212.000,111.000,120.000,0.154,7.500,7.450,10.043,95.000,6.235,6.235,70.000,5.000,64.000,7.100,6.000,0.000,0.000,0.000,0.000,3.000,19.000,0.000,16.240,,,,,,,,,,,,,,,,,,,,,
17.000,29.000,199.000,8.000,214.000,83.000,116.000,0.219,6.900,6.000,11.706,76.700,6.355,5.548,5.000,0.000,5.000,2.500,0.000,0.000,0.034,1.000,1.000,2.000,2.000,2.000,7.460,,,,,,,,,,,,,,,,,,,,,
37.000,46.000,365.000,20.000,312.000,219.000,146.000,0.173,7.900,8.800,9.865,114.200,6.588,7.373,6.000,0.000,6.000,3.000,0.000,0.000,0.043,2.000,0.000,5.000,29.000,0.000,23.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
