Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
20.00,34.00,278.00,14.00,242.00,7.10,108.00,5.40,3.20,170.00,8.50,0.00,0.000,5.00,0.172,2.00,7.00,4.00,3.00,9.00,0.23,3.00,7.30,2.00,5.90,2.00,5.90,67.00,8.20,6.71,13.90,80.30,12.00,5.56,7.39,6.00,13.00,33.00,8.00,2.50,2.00,2.00,17.00,1.30,16.00,1.20,18.42
17.00,34.00,204.00,10.00,415.00,12.20,130.00,7.60,3.80,74.00,4.40,1.00,0.031,8.00,0.250,1.00,4.00,4.00,2.00,7.00,0.19,2.00,16.00,1.00,2.90,3.00,8.80,30.00,6.00,2.62,12.00,41.80,6.00,2.86,5.66,2.37,4.00,37.00,21.00,9.30,2.00,2.00,37.00,9.30,0.00,0.00,12.86
26.00,34.00,260.00,14.00,231.00,6.80,125.00,4.80,3.70,135.00,5.20,3.00,0.091,4.00,0.121,8.00,7.00,0.00,2.00,10.00,0.23,2.00,5.50,2.00,5.90,2.00,5.90,29.00,7.60,6.18,10.00,92.80,56.00,19.05,4.86,3.67,3.00,12.00,8.00,4.00,1.00,2.00,10.00,3.30,2.00,0.70,15.60
20.00,28.00,275.00,11.00,289.00,10.30,160.00,8.00,5.70,115.00,5.80,0.00,0.000,6.00,0.222,2.00,7.00,6.00,1.00,9.00,0.27,3.00,7.70,3.00,10.70,1.00,3.60,31.00,9.80,10.36,13.80,123.40,21.00,6.67,8.47,8.97,7.00,15.00,12.00,2.10,1.00,2.00,13.00,1.90,2.00,0.30,21.50
29.00,45.00,260.00,11.00,277.00,6.20,143.00,4.90,3.20,117.00,4.00,0.00,0.000,11.00,0.244,3.00,14.00,5.00,6.00,14.00,0.29,0.00,0.00,1.00,2.20,1.00,2.20,31.00,5.80,5.22,9.00,78.00,24.00,6.25,4.92,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.40
22.00,32.00,214.00,8.00,194.00,6.10,116.00,5.30,3.60,98.00,4.50,1.00,0.031,8.00,0.250,0.00,6.00,5.00,1.00,6.00,0.17,4.00,2.80,1.00,3.10,0.00,0.00,27.00,6.70,7.31,97.00,97.70,0.00,0.00,6.69,7.31,7.00,14.00,5.00,2.00,1.00,0.00,14.00,2.00,0.00,0.00,11.96
10.00,21.00,86.00,6.00,153.00,7.30,40.00,4.00,1.90,46.00,4.60,3.00,0.158,5.00,0.263,4.00,5.00,5.00,3.00,12.00,0.41,4.00,5.00,0.00,0.00,0.00,0.00,28.00,4.10,4.10,8.60,58.80,31.00,16.00,2.20,2.20,5.00,19.00,10.00,3.80,0.00,2.00,14.00,2.80,5.00,1.00,5.34
21.00,32.00,308.00,14.00,311.00,9.70,182.00,8.70,5.70,126.00,6.00,0.00,0.000,5.00,0.167,1.00,5.00,1.00,3.00,5.00,0.15,1.00,2.00,2.00,6.30,1.00,3.10,33.00,9.60,9.47,14.70,104.70,9.00,3.03,9.06,8.91,4.00,10.00,6.00,2.50,1.00,2.00,1.00,0.30,9.00,2.30,25.32
18.00,22.00,145.00,8.00,81.00,3.70,58.00,3.20,2.60,87.00,4.80,0.00,0.000,2.00,0.100,1.00,6.00,1.00,2.00,4.00,0.17,0.00,0.00,1.00,4.50,0.00,0.00,26.00,6.60,7.50,8.10,109.30,8.00,4.35,5.96,6.83,3.00,-2.00,0.00,-0.70,0.00,0.00,-2.00,-7.00,0.00,0.00,9.60
23.00,31.00,231.00,12.00,212.00,6.80,111.00,4.80,3.60,120.00,5.20,1.00,0.032,6.00,0.194,3.00,8.00,0.00,3.00,6.00,0.15,5.00,9.80,0.00,0.00,0.00,0.00,25.00,7.50,7.45,10.00,95.00,19.00,8.82,6.24,6.24,9.00,70.00,16.00,7.80,0.00,5.00,64.00,7.10,6.00,0.70,16.24
17.00,29.00,199.00,8.00,214.00,7.40,83.00,4.90,2.90,116.00,6.80,4.00,0.154,4.00,0.154,2.00,6.00,3.00,2.00,7.00,0.22,1.00,6.00,1.00,3.40,1.00,3.40,31.00,6.90,6.00,11.70,76.60,2.00,6.45,6.35,5.55,2.00,5.00,6.00,2.50,2.00,0.00,5.00,2.50,0.00,0.00,10.46
37.00,46.00,365.00,20.00,312.00,6.80,219.00,5.90,4.80,146.00,3.90,1.00,0.022,5.00,0.109,5.00,4.00,3.00,1.00,9.00,0.17,1.00,9.00,2.00,4.30,0.00,0.00,30.00,7.90,8.80,9.90,114.20,29.00,9.80,6.59,7.37,2.00,6.00,9.00,3.00,0.00,0.00,6.00,3.00,0.00,0.00,26.20
