Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
21.000,29.000,164.000,7.000,162.000,97.000,67.000,0.086,5.700,5.660,7.810,86.000,4.813,4.813,15.000,1.000,13.000,3.300,2.000,0.000,0.000,0.000,0.000,3.000,10.000,1.000,6.060
33.000,44.000,327.000,11.000,363.000,166.000,161.000,0.229,7.400,7.890,9.909,103.100,6.638,7.064,6.000,3.000,6.000,1.200,2.000,0.000,0.023,1.000,0.000,3.000,15.000,0.000,17.680
27.000,35.000,281.000,16.000,226.000,129.000,152.000,0.100,8.000,9.170,10.407,118.900,7.216,8.297,18.000,2.000,18.000,6.000,0.000,0.000,0.057,2.000,0.000,2.000,14.000,0.000,21.040
15.000,27.000,288.000,12.000,382.000,197.000,91.000,0.200,10.700,9.740,19.200,89.700,10.107,9.214,11.000,2.000,9.000,1.800,2.000,0.000,0.037,1.000,1.000,1.000,5.000,2.000,11.620
18.000,31.000,194.000,10.000,286.000,123.000,71.000,0.139,6.300,4.810,10.778,63.100,5.265,3.941,7.000,1.000,7.000,2.300,0.000,0.000,0.000,0.000,1.000,3.000,15.000,0.000,7.460
20.000,31.000,192.000,13.000,261.000,130.000,62.000,0.353,6.200,6.680,9.600,100.500,5.333,5.788,7.000,1.000,7.000,2.300,0.000,0.000,0.097,3.000,1.000,2.000,16.000,1.000,17.380
15.000,20.000,193.000,9.000,111.000,105.000,88.000,0.000,9.700,10.650,12.867,121.500,9.650,10.650,13.000,2.000,12.000,6.000,1.000,0.000,0.050,1.000,0.000,0.000,0.000,0.000,13.020
17.000,28.000,233.000,12.000,274.000,166.000,67.000,0.241,8.300,9.750,13.706,111.200,7.724,9.103,0.000,0.000,0.000,0.000,0.000,0.000,0.071,2.000,0.000,1.000,9.000,0.000,17.320
20.000,33.000,240.000,13.000,309.000,159.000,81.000,0.250,7.300,7.120,12.000,90.500,6.853,6.706,19.000,2.000,14.000,3.500,5.000,0.000,0.061,2.000,1.000,1.000,7.000,1.000,16.500
16.000,30.000,120.000,6.000,187.000,72.000,48.000,0.341,4.000,4.000,7.500,63.200,1.769,1.769,15.000,2.000,8.000,4.000,7.000,0.000,0.000,0.000,0.000,9.000,51.000,0.000,6.300
18.000,27.000,295.000,13.000,289.000,169.000,126.000,0.148,10.900,13.890,16.389,142.700,10.926,13.889,0.000,1.000,0.000,0.000,0.000,0.000,0.148,4.000,0.000,0.000,0.000,0.000,27.800
29.000,40.000,317.000,19.000,227.000,150.000,167.000,0.119,7.900,9.930,10.931,128.900,7.333,9.238,-2.000,0.000,-2.000,-0.700,0.000,0.000,0.100,4.000,0.000,2.000,9.000,0.000,28.480
12.000,24.000,109.000,5.000,388.000,62.000,47.000,0.120,4.500,2.460,9.083,55.700,4.542,2.458,48.000,5.000,33.000,3.700,15.000,1.000,0.083,2.000,2.000,0.000,0.000,0.000,21.160
