Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points,,,,,,,,,,,,,,,,,,,,,
17.000,26.000,144.000,6.000,163.000,67.000,77.000,0.179,5.500,6.310,8.471,92.500,5.185,5.926,6.000,0.000,6.000,1.500,0.000,0.000,0.038,1.000,0.000,1.000,4.000,0.000,10.360,,,,,,,,,,,,,,,,,,,,,
21.000,34.000,247.000,14.000,265.000,148.000,99.000,0.105,7.300,6.530,11.762,81.400,6.444,5.750,45.000,1.000,40.000,8.000,5.000,0.000,0.029,1.000,1.000,2.000,15.000,0.000,17.380,,,,,,,,,,,,,,,,,,,,,
26.000,37.000,319.000,15.000,214.000,128.000,191.000,0.179,8.600,10.240,12.269,123.600,7.846,9.385,-2.000,0.000,-2.000,-1.000,0.000,0.000,0.081,3.000,0.000,2.000,13.000,0.000,24.560,,,,,,,,,,,,,,,,,,,,,
24.000,32.000,176.000,9.000,172.000,74.000,102.000,0.262,5.500,4.720,7.333,84.900,4.257,3.543,32.000,1.000,30.000,3.800,2.000,0.000,0.031,1.000,1.000,3.000,27.000,1.000,11.240,,,,,,,,,,,,,,,,,,,,,
19.000,27.000,206.000,9.000,144.000,59.000,147.000,0.156,7.600,9.110,10.842,117.200,6.000,7.333,9.000,2.000,9.000,1.100,0.000,1.000,0.074,2.000,0.000,3.000,26.000,0.000,23.140,,,,,,,,,,,,,,,,,,,,,
14.000,24.000,145.000,6.000,217.000,101.000,44.000,0.194,6.000,6.040,10.357,75.900,4.074,4.074,59.000,4.000,48.000,4.400,11.000,2.000,0.000,0.000,0.000,3.000,35.000,1.000,21.700,,,,,,,,,,,,,,,,,,,,,
14.000,23.000,154.000,6.000,143.000,48.000,106.000,0.083,6.700,4.740,11.000,62.600,6.000,4.125,-2.000,0.000,-2.000,-1.000,0.000,0.000,0.000,0.000,1.000,1.000,10.000,0.000,4.960,,,,,,,,,,,,,,,,,,,,,
27.000,38.000,262.000,17.000,255.000,158.000,104.000,0.143,6.900,6.760,9.704,96.600,6.462,6.333,17.000,2.000,17.000,2.800,0.000,0.000,0.053,2.000,1.000,1.000,10.000,0.000,19.180,,,,,,,,,,,,,,,,,,,,,
27.000,39.000,251.000,18.000,206.000,96.000,155.000,0.390,6.400,7.850,9.296,115.500,6.075,7.450,11.000,2.000,10.000,3.300,1.000,0.000,0.128,5.000,1.000,1.000,8.000,0.000,30.140,,,,,,,,,,,,,,,,,,,,,
28.000,36.000,288.000,18.000,178.000,129.000,159.000,0.079,8.000,9.670,10.286,127.800,7.132,8.711,0.000,0.000,0.000,0.000,0.000,0.000,0.083,3.000,0.000,2.000,17.000,1.000,21.520,,,,,,,,,,,,,,,,,,,,,
25.000,42.000,273.000,13.000,298.000,153.000,120.000,0.159,6.500,7.450,10.920,94.600,6.093,7.023,5.000,0.000,5.000,5.000,0.000,0.000,0.048,2.000,0.000,1.000,11.000,0.000,19.420,,,,,,,,,,,,,,,,,,,,,
26.000,46.000,306.000,14.000,385.000,161.000,145.000,0.365,6.700,7.090,11.769,84.100,5.216,5.608,4.000,0.000,3.000,1.500,1.000,0.000,0.022,1.000,0.000,5.000,40.000,1.000,14.640,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
