Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
17.00,26.00,144.00,6.00,163.00,6.30,67.00,3.90,2.60,77.00,4.50,3.00,0.115,4.00,0.154,1.00,12.00,0.00,4.00,5.00,0.18,1.00,8.00,1.00,3.80,0.00,0.00,27.00,5.50,6.31,8.50,92.50,4.00,3.70,5.19,5.93,4.00,6.00,8.00,1.50,0.00,0.00,6.00,1.50,0.00,0.00,11.78
21.00,34.00,247.00,14.00,265.00,7.80,148.00,7.00,4.40,99.00,4.70,0.00,0.000,4.00,0.129,2.00,5.00,2.00,0.00,4.00,0.11,2.00,8.50,1.00,2.90,1.00,2.90,21.00,7.30,6.53,11.80,81.40,15.00,5.56,6.44,5.74,5.00,45.00,25.00,9.00,0.00,1.00,40.00,8.00,5.00,1.00,17.38
26.00,37.00,319.00,15.00,214.00,5.80,128.00,4.90,3.50,191.00,7.30,2.00,0.054,4.00,0.108,2.00,22.00,3.00,2.00,7.00,0.18,0.00,0.00,3.00,8.10,0.00,0.00,35.00,8.60,10.24,12.30,123.60,13.00,5.13,7.85,9.38,2.00,-2.00,0.00,-1.00,0.00,0.00,-2.00,-1.00,0.00,0.00,25.56
24.00,32.00,176.00,9.00,172.00,5.40,74.00,3.10,2.30,102.00,4.30,3.00,0.094,2.00,0.063,3.00,7.00,1.00,7.00,11.00,0.26,7.00,4.60,1.00,3.10,1.00,3.10,19.00,5.50,4.72,7.30,84.90,27.00,8.57,4.26,3.54,8.00,32.00,8.00,4.00,1.00,1.00,30.00,3.80,2.00,0.30,13.24
19.00,27.00,206.00,9.00,144.00,5.30,59.00,3.10,2.20,147.00,7.70,1.00,0.038,3.00,0.115,3.00,10.00,1.00,1.00,5.00,0.16,2.00,6.00,2.00,7.40,0.00,0.00,27.00,7.60,9.11,10.80,117.20,26.00,10.00,6.00,7.33,8.00,9.00,11.00,1.10,0.00,2.00,9.00,1.10,0.00,0.00,23.14
14.00,24.00,145.00,6.00,217.00,9.00,101.00,7.20,4.20,44.00,3.10,1.00,0.043,5.00,0.217,3.00,10.00,1.00,2.00,6.00,0.19,4.00,8.50,0.00,0.00,0.00,0.00,31.00,6.00,6.04,10.40,75.90,35.00,11.11,4.07,4.07,11.00,59.00,18.00,5.40,1.00,4.00,48.00,4.40,11.00,1.00,23.70
14.00,23.00,154.00,6.00,143.00,6.20,48.00,3.40,2.10,106.00,7.60,1.00,0.045,4.00,0.182,1.00,10.00,0.00,1.00,2.00,0.08,0.00,0.00,0.00,0.00,1.00,4.30,37.00,6.70,4.74,11.00,62.60,10.00,4.17,6.00,4.13,2.00,-2.00,0.00,-1.00,0.00,0.00,-2.00,-1.00,0.00,0.00,4.96
27.00,38.00,262.00,17.00,255.00,6.70,158.00,5.90,4.20,104.00,3.90,2.00,0.057,3.00,0.086,1.00,9.00,3.00,2.00,6.00,0.14,3.00,6.70,2.00,5.30,1.00,2.60,25.00,6.90,6.76,9.70,96.60,10.00,2.56,6.46,6.33,6.00,17.00,14.00,2.80,0.00,2.00,17.00,2.80,0.00,0.00,19.18
27.00,39.00,251.00,18.00,206.00,5.30,96.00,3.60,2.50,155.00,5.70,2.00,0.054,3.00,0.081,1.00,7.00,10.00,5.00,16.00,0.39,1.00,10.00,5.00,12.80,1.00,2.60,47.00,6.40,7.85,9.30,115.50,8.00,2.50,6.08,7.45,3.00,11.00,10.00,3.70,0.00,2.00,10.00,3.30,1.00,0.30,30.14
28.00,36.00,288.00,18.00,178.00,4.90,129.00,4.60,3.60,159.00,5.70,2.00,0.057,3.00,0.086,2.00,6.00,1.00,0.00,3.00,0.08,0.00,0.00,3.00,8.30,0.00,0.00,57.00,8.00,9.67,10.30,127.80,17.00,5.26,7.13,8.71,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,23.52
25.00,42.00,273.00,13.00,298.00,7.10,153.00,6.10,3.60,120.00,4.80,3.00,0.077,4.00,0.103,1.00,17.00,5.00,1.00,7.00,0.16,1.00,5.00,2.00,4.80,0.00,0.00,37.00,6.50,7.45,10.90,94.60,11.00,2.33,6.09,7.02,1.00,5.00,5.00,5.00,0.00,0.00,5.00,5.00,0.00,0.00,19.42
26.00,46.00,306.00,14.00,385.00,8.40,161.00,6.20,3.50,145.00,5.60,3.00,0.067,13.00,0.289,5.00,13.00,7.00,7.00,19.00,0.37,1.00,5.00,1.00,2.20,0.00,0.00,34.00,6.70,7.09,11.80,84.10,40.00,9.80,5.22,5.61,2.00,4.00,5.00,2.00,1.00,0.00,3.00,1.50,1.00,0.50,17.64
