Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
18.000,28.000,217.000,7.000,187.000,69.000,148.000,0.161,7.800,6.860,12.056,85.000,6.667,5.833,7.000,1.000,6.000,6.000,1.000,0.000,0.036,1.000,1.000,2.000,17.000,0.000,12.380
17.000,21.000,266.000,9.000,214.000,165.000,101.000,0.115,12.700,15.520,15.647,158.300,11.727,14.455,59.000,2.000,24.000,4.800,35.000,0.000,0.143,3.000,0.000,1.000,8.000,0.000,28.540
22.000,30.000,292.000,13.000,328.000,228.000,64.000,0.237,9.700,11.730,13.273,137.100,9.290,11.226,41.000,4.000,30.000,3.000,11.000,0.000,0.100,3.000,0.000,1.000,4.000,1.000,25.780
17.000,23.000,157.000,7.000,144.000,56.000,101.000,0.231,6.800,7.700,9.235,106.600,5.115,5.885,12.000,1.000,10.000,2.000,2.000,0.000,0.043,1.000,0.000,3.000,24.000,1.000,9.480
15.000,26.000,224.000,8.000,157.000,101.000,123.000,0.241,8.600,8.420,14.933,95.700,7.214,7.036,10.000,1.000,-2.000,-0.700,12.000,0.000,0.077,2.000,1.000,2.000,22.000,1.000,14.960
15.000,34.000,154.000,9.000,226.000,41.000,113.000,0.389,4.500,0.560,10.267,21.000,3.972,0.222,2.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,3.000,2.000,11.000,1.000,1.360
6.000,10.000,52.000,3.000,94.000,23.000,29.000,0.300,5.200,5.200,8.667,73.700,5.200,5.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.080
18.000,25.000,240.000,14.000,223.000,170.000,70.000,0.379,9.600,11.200,13.333,128.700,7.571,9.000,6.000,1.000,5.000,1.700,1.000,0.000,0.080,2.000,0.000,3.000,28.000,0.000,18.200
21.000,34.000,363.000,14.000,355.000,220.000,143.000,0.256,10.700,8.470,17.286,90.700,7.732,5.902,16.000,1.000,12.000,2.000,4.000,0.000,0.088,3.000,3.000,7.000,46.000,1.000,23.120
20.000,28.000,207.000,11.000,153.000,86.000,121.000,0.226,7.400,6.500,10.350,89.400,5.516,4.710,-1.000,0.000,-1.000,-1.000,0.000,0.000,0.036,1.000,1.000,3.000,36.000,1.000,9.180
29.000,39.000,282.000,16.000,258.000,122.000,160.000,0.111,7.200,7.100,9.724,100.600,6.119,6.000,27.000,1.000,27.000,9.000,0.000,0.000,0.051,2.000,1.000,3.000,25.000,1.000,18.980
15.000,22.000,179.000,10.000,142.000,71.000,108.000,0.231,8.100,9.050,11.933,108.000,7.261,8.130,39.000,4.000,25.000,2.100,14.000,0.000,0.045,1.000,0.000,1.000,12.000,0.000,15.060
24.000,37.000,184.000,11.000,258.000,120.000,64.000,0.205,5.000,5.510,7.667,85.900,4.973,5.514,12.000,1.000,12.000,6.000,0.000,0.000,0.027,1.000,0.000,0.000,0.000,0.000,12.560
