Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
18.00,28.00,217.00,7.00,187.00,6.70,69.00,3.80,2.50,148.00,8.20,3.00,0.107,4.00,0.143,2.00,4.00,0.00,3.00,5.00,0.16,1.00,7.00,1.00,3.60,1.00,3.60,52.00,7.80,6.86,12.10,85.00,17.00,6.67,6.67,5.83,1.00,7.00,7.00,7.00,0.00,1.00,6.00,6.00,1.00,1.00,12.38
17.00,21.00,266.00,9.00,214.00,10.20,165.00,9.70,7.90,101.00,5.90,1.00,0.048,3.00,0.143,1.00,4.00,2.00,0.00,3.00,0.12,4.00,12.30,3.00,14.30,0.00,0.00,60.00,12.70,15.52,15.60,158.30,8.00,4.55,11.73,14.45,5.00,59.00,26.00,11.80,0.00,2.00,24.00,4.80,35.00,7.00,28.54
22.00,30.00,292.00,13.00,328.00,10.90,228.00,10.40,7.60,64.00,2.90,3.00,0.100,3.00,0.100,1.00,6.00,4.00,4.00,9.00,0.24,7.00,5.30,3.00,10.00,0.00,0.00,34.00,9.70,11.73,13.30,137.10,4.00,3.23,9.29,11.23,10.00,41.00,11.00,4.10,1.00,4.00,30.00,3.00,11.00,1.10,25.78
17.00,23.00,157.00,7.00,144.00,6.30,56.00,3.30,2.40,101.00,5.90,0.00,0.000,6.00,0.261,3.00,9.00,2.00,1.00,6.00,0.23,0.00,0.00,1.00,4.30,0.00,0.00,27.00,6.80,7.70,9.20,106.60,24.00,11.54,5.12,5.88,5.00,12.00,7.00,2.40,1.00,1.00,10.00,2.00,2.00,0.40,11.48
15.00,26.00,224.00,8.00,157.00,6.00,101.00,6.70,3.90,123.00,8.20,3.00,0.115,5.00,0.192,2.00,10.00,4.00,1.00,7.00,0.24,1.00,12.00,2.00,7.70,1.00,3.80,66.00,8.60,8.42,14.90,95.70,22.00,7.14,7.21,7.04,3.00,10.00,12.00,3.30,1.00,1.00,-2.00,-0.70,12.00,4.00,16.96
15.00,34.00,154.00,9.00,226.00,6.60,41.00,2.70,1.20,113.00,7.50,1.00,0.037,6.00,0.222,2.00,19.00,6.00,6.00,14.00,0.39,0.00,0.00,0.00,0.00,3.00,8.80,25.00,4.50,0.56,10.30,21.00,11.00,5.56,3.97,0.22,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.32
6.00,10.00,52.00,3.00,94.00,9.40,23.00,3.80,2.30,29.00,4.80,0.00,0.000,2.00,0.250,0.00,5.00,1.00,2.00,3.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,12.00,5.20,5.20,8.70,73.70,0.00,0.00,5.20,5.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.08
18.00,25.00,240.00,14.00,223.00,8.90,170.00,9.40,6.80,70.00,3.90,1.00,0.043,4.00,0.174,3.00,6.00,6.00,2.00,11.00,0.38,1.00,5.00,2.00,8.00,0.00,0.00,27.00,9.60,11.20,13.30,128.70,28.00,10.71,7.57,9.00,3.00,6.00,5.00,2.00,0.00,1.00,5.00,1.70,1.00,0.30,18.20
21.00,34.00,363.00,14.00,355.00,10.40,220.00,10.50,6.50,143.00,6.80,2.00,0.059,6.00,0.176,7.00,6.00,0.00,4.00,11.00,0.26,2.00,7.00,3.00,8.80,46.00,10.70,46.00,10.70,8.47,17.30,90.70,46.00,17.07,7.73,5.90,6.00,16.00,11.00,2.70,1.00,1.00,12.00,2.00,4.00,0.70,26.12
20.00,28.00,207.00,11.00,153.00,5.50,86.00,4.30,3.10,121.00,6.10,1.00,0.036,4.00,0.143,3.00,7.00,3.00,1.00,7.00,0.23,0.00,0.00,1.00,3.60,1.00,3.60,36.00,7.40,6.50,10.40,89.40,36.00,9.68,5.52,4.71,1.00,-1.00,0.00,-1.00,1.00,0.00,-1.00,-1.00,0.00,0.00,10.18
29.00,39.00,282.00,16.00,258.00,6.60,122.00,4.20,3.10,160.00,5.50,1.00,0.027,1.00,0.027,3.00,15.00,0.00,2.00,5.00,0.11,3.00,9.00,2.00,5.10,1.00,2.60,28.00,7.20,7.10,9.70,100.60,25.00,7.14,6.12,6.00,3.00,27.00,16.00,9.00,1.00,1.00,27.00,9.00,0.00,0.00,18.98
15.00,22.00,179.00,10.00,142.00,6.50,71.00,4.70,3.20,108.00,7.20,0.00,0.000,2.00,0.105,1.00,6.00,4.00,1.00,6.00,0.23,3.00,7.30,1.00,4.50,0.00,0.00,31.00,8.10,9.05,11.90,108.00,12.00,4.35,7.26,8.13,12.00,39.00,11.00,3.30,0.00,4.00,25.00,2.10,14.00,1.20,15.06
24.00,37.00,184.00,11.00,258.00,7.00,120.00,5.00,3.20,64.00,2.70,2.00,0.059,3.00,0.088,0.00,3.00,5.00,3.00,8.00,0.21,2.00,6.00,1.00,2.70,0.00,0.00,28.00,5.00,5.51,7.70,85.90,0.00,0.00,4.97,5.51,2.00,12.00,9.00,6.00,0.00,1.00,12.00,6.00,0.00,0.00,14.56
