Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
20.000,28.000,291.000,15.000,165.000,103.000,188.000,0.367,10.400,9.500,14.550,101.900,9.367,8.533,3.000,1.000,2.000,1.000,1.000,0.000,0.036,1.000,1.000,2.000,10.000,0.000,14.940
30.000,38.000,276.000,14.000,238.000,153.000,123.000,0.279,7.300,6.610,9.200,94.700,5.419,4.837,-1.000,0.000,-1.000,-1.000,0.000,0.000,0.026,1.000,1.000,5.000,43.000,1.000,11.940
28.000,51.000,379.000,18.000,482.000,239.000,140.000,0.182,7.400,8.220,13.536,91.900,6.685,7.426,7.000,1.000,7.000,3.500,0.000,1.000,0.039,2.000,0.000,3.000,18.000,1.000,27.860
16.000,29.000,180.000,6.000,320.000,117.000,63.000,0.265,6.200,6.210,11.250,73.900,4.781,4.781,21.000,2.000,12.000,2.400,9.000,0.000,0.000,0.000,0.000,3.000,27.000,1.000,7.300
30.000,39.000,392.000,19.000,322.000,223.000,169.000,0.140,10.100,11.460,13.067,137.000,8.833,10.143,1.000,0.000,1.000,0.500,0.000,0.000,0.128,5.000,1.000,3.000,21.000,0.000,34.780
24.000,35.000,269.000,16.000,276.000,168.000,101.000,0.238,7.700,8.830,11.208,110.300,6.658,7.711,22.000,1.000,20.000,3.300,2.000,0.000,0.057,2.000,0.000,3.000,16.000,0.000,20.960
31.000,45.000,370.000,19.000,374.000,162.000,208.000,0.096,8.200,7.560,11.935,97.500,7.417,6.792,22.000,1.000,20.000,4.000,2.000,0.000,0.067,3.000,2.000,3.000,14.000,0.000,27.000
27.000,41.000,334.000,16.000,411.000,266.000,68.000,0.233,8.100,9.610,12.370,115.300,7.465,8.860,2.000,2.000,2.000,1.000,0.000,0.000,0.073,3.000,0.000,2.000,13.000,1.000,23.560
19.000,33.000,223.000,9.000,253.000,123.000,100.000,0.171,6.800,5.390,11.737,65.600,5.108,3.892,36.000,3.000,23.000,3.800,13.000,0.000,0.000,0.000,1.000,4.000,34.000,0.000,11.520
34.000,56.000,428.000,21.000,488.000,237.000,191.000,0.233,7.600,9.070,12.588,108.300,7.136,8.492,6.000,0.000,4.000,2.000,2.000,0.000,0.071,4.000,0.000,3.000,7.000,2.000,29.720
23.000,36.000,205.000,9.000,219.000,78.000,127.000,0.244,5.700,4.440,8.913,67.500,4.525,3.400,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,4.000,24.000,0.000,7.300
21.000,36.000,218.000,9.000,367.000,138.000,80.000,0.182,6.100,6.060,10.381,75.900,5.050,5.050,29.000,2.000,29.000,7.300,0.000,1.000,0.000,0.000,0.000,4.000,16.000,1.000,15.620
11.000,19.000,118.000,7.000,139.000,66.000,52.000,0.190,6.200,7.260,10.727,93.700,5.333,6.286,29.000,4.000,23.000,2.600,6.000,1.000,0.053,1.000,0.000,2.000,6.000,1.000,15.620
