Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
13.000,30.000,161.000,13.000,30.000,161.000,50.000,0.316,5.400,2.370,12.385,32.800,3.971,1.324,12.000,1.000,12.000,3.000,0.000,1.000,0.000,0.000,2.000,4.000,26.000,0.000,11.640
27.000,39.000,293.000,13.000,329.000,139.000,154.000,0.233,7.500,5.720,10.852,78.300,6.643,4.976,12.000,1.000,10.000,5.000,2.000,0.000,0.026,1.000,2.000,3.000,14.000,1.000,12.920
29.000,38.000,311.000,11.000,270.000,117.000,194.000,0.244,8.200,7.000,10.724,88.800,6.857,5.786,25.000,1.000,10.000,1.300,15.000,0.000,0.000,0.000,1.000,4.000,23.000,1.000,11.940
21.000,35.000,238.000,9.000,336.000,116.000,122.000,0.139,6.800,5.510,11.333,68.500,6.306,5.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,11.000,1.000,6.520
28.000,39.000,331.000,15.000,169.000,78.000,253.000,0.205,8.500,7.330,11.821,86.600,7.829,6.732,22.000,3.000,22.000,3.700,0.000,0.000,0.000,0.000,1.000,2.000,10.000,0.000,14.440
24.000,36.000,325.000,15.000,218.000,71.000,254.000,0.100,9.000,7.500,13.542,97.600,8.568,7.081,29.000,1.000,18.000,6.000,11.000,0.000,0.111,4.000,3.000,1.000,8.000,0.000,28.900
16.000,26.000,164.000,8.000,162.000,59.000,105.000,0.061,6.300,6.310,10.250,79.600,6.308,6.308,75.000,4.000,60.000,6.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.060
20.000,32.000,279.000,12.000,245.000,156.000,123.000,0.184,8.700,9.970,13.950,111.300,7.314,8.457,49.000,1.000,46.000,11.500,3.000,0.000,0.063,2.000,0.000,3.000,23.000,0.000,24.060
16.000,26.000,171.000,8.000,211.000,65.000,106.000,0.172,6.600,5.620,10.688,77.600,6.148,5.222,9.000,1.000,4.000,1.000,5.000,0.000,0.038,1.000,1.000,1.000,5.000,0.000,10.740
23.000,38.000,306.000,12.000,429.000,242.000,64.000,0.220,8.100,6.870,13.304,75.100,7.000,5.902,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,3.000,19.000,2.000,7.240
30.000,46.000,395.000,17.000,459.000,182.000,213.000,0.220,8.600,9.460,13.167,106.700,7.694,8.510,8.000,0.000,8.000,8.000,0.000,0.000,0.043,2.000,0.000,3.000,18.000,0.000,24.600
14.000,24.000,183.000,9.000,199.000,105.000,78.000,0.231,7.600,9.290,13.071,110.200,6.385,7.923,3.000,2.000,0.000,0.000,3.000,0.000,0.083,2.000,0.000,2.000,17.000,0.000,15.620
