Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points,,,,,,,,,,,,,,,,,,,,,
26.000,42.000,138.000,6.000,266.000,70.000,68.000,0.265,3.300,1.140,5.308,47.500,3.000,0.955,35.000,3.000,34.000,6.800,1.000,1.000,0.000,0.000,2.000,2.000,6.000,0.000,13.020,,,,,,,,,,,,,,,,,,,,,
15.000,27.000,149.000,9.000,146.000,65.000,84.000,0.438,5.500,6.260,9.933,83.700,4.167,4.833,6.000,0.000,2.000,2.000,2.000,0.000,0.037,1.000,0.000,3.000,24.000,0.000,10.560,,,,,,,,,,,,,,,,,,,,,
13.000,19.000,107.000,4.000,102.000,61.000,46.000,0.458,5.600,5.630,8.231,82.600,2.917,2.917,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,37.000,2.000,0.280,,,,,,,,,,,,,,,,,,,,,
7.000,13.000,79.000,4.000,104.000,31.000,48.000,0.200,6.100,6.080,11.286,72.300,5.000,5.000,6.000,0.000,6.000,6.000,0.000,0.000,0.000,0.000,0.000,1.000,9.000,0.000,3.760,,,,,,,,,,,,,,,,,,,,,
18.000,18.000,292.000,11.000,74.000,74.000,218.000,0.333,16.200,18.440,16.222,155.800,12.667,14.571,-2.000,0.000,-2.000,-1.000,0.000,0.000,0.111,2.000,0.000,3.000,26.000,0.000,19.480,,,,,,,,,,,,,,,,,,,,,
23.000,34.000,257.000,14.000,174.000,138.000,119.000,0.308,7.600,8.740,11.174,109.600,6.622,7.703,38.000,3.000,20.000,1.800,18.000,0.000,0.059,2.000,0.000,3.000,12.000,1.000,20.080,,,,,,,,,,,,,,,,,,,,,
18.000,28.000,255.000,10.000,208.000,128.000,127.000,0.129,9.100,11.250,14.167,129.300,9.107,11.250,19.000,2.000,16.000,4.000,3.000,0.000,0.107,3.000,0.000,0.000,0.000,0.000,24.100,,,,,,,,,,,,,,,,,,,,,
24.000,35.000,232.000,12.000,259.000,130.000,102.000,0.237,6.600,4.630,9.667,72.600,5.263,3.421,-1.000,0.000,-1.000,-1.000,0.000,0.000,0.029,1.000,2.000,3.000,32.000,1.000,9.180,,,,,,,,,,,,,,,,,,,,,
24.000,34.000,283.000,12.000,232.000,124.000,159.000,0.027,8.300,8.180,11.792,102.900,8.029,7.886,25.000,4.000,11.000,1.600,14.000,0.000,0.059,2.000,1.000,1.000,2.000,0.000,20.820,,,,,,,,,,,,,,,,,,,,,
25.000,44.000,298.000,13.000,438.000,190.000,108.000,0.205,6.800,6.660,11.920,83.300,6.773,6.659,0.000,0.000,0.000,0.000,0.000,0.000,0.045,2.000,1.000,0.000,0.000,0.000,18.920,,,,,,,,,,,,,,,,,,,,,
21.000,28.000,159.000,10.000,153.000,106.000,53.000,0.171,5.700,4.790,7.571,85.300,4.867,4.033,40.000,3.000,34.000,6.800,6.000,1.000,0.036,1.000,1.000,2.000,13.000,0.000,19.360,,,,,,,,,,,,,,,,,,,,,
24.000,37.000,285.000,15.000,285.000,141.000,144.000,0.186,7.700,6.490,11.875,77.000,5.929,4.857,9.000,0.000,5.000,2.500,4.000,0.000,0.000,0.000,1.000,5.000,36.000,0.000,11.300,,,,,,,,,,,,,,,,,,,,,
21.000,39.000,185.000,12.000,305.000,63.000,122.000,0.214,4.700,4.620,8.810,73.100,4.122,4.000,6.000,1.000,6.000,3.000,0.000,0.000,0.051,2.000,1.000,2.000,16.000,0.000,15.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
