Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
26.00,42.00,138.00,6.00,266.00,6.30,70.00,2.70,1.70,68.00,2.60,2.00,0.048,9.00,0.214,2.00,10.00,4.00,7.00,13.00,0.27,5.00,7.00,0.00,0.00,2.00,4.80,25.00,3.30,1.14,5.30,47.50,6.00,4.55,3.00,0.95,5.00,35.00,23.00,7.00,0.00,3.00,34.00,6.80,1.00,0.20,13.02
15.00,27.00,149.00,9.00,146.00,5.40,65.00,4.30,2.40,84.00,5.60,2.00,0.083,5.00,0.208,3.00,7.00,7.00,4.00,14.00,0.44,2.00,3.00,1.00,3.70,0.00,0.00,35.00,5.50,6.26,9.90,83.70,24.00,10.00,4.17,4.83,2.00,6.00,5.00,3.00,0.00,0.00,4.00,2.00,2.00,1.00,10.56
13.00,19.00,107.00,4.00,102.00,5.40,61.00,4.70,3.20,46.00,3.50,1.00,0.056,2.00,0.111,5.00,6.00,2.00,4.00,11.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,22.00,5.60,5.63,8.20,82.60,37.00,20.83,2.92,2.92,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,4.28
7.00,13.00,79.00,4.00,104.00,8.00,31.00,4.40,2.40,48.00,6.90,1.00,0.077,3.00,0.231,1.00,0.00,0.00,2.00,3.00,0.20,1.00,6.00,0.00,0.00,0.00,0.00,30.00,6.10,6.08,11.30,72.30,9.00,7.14,5.00,5.00,1.00,6.00,6.00,6.00,0.00,0.00,6.00,6.00,0.00,0.00,3.76
18.00,18.00,292.00,11.00,74.00,4.10,74.00,4.10,4.10,218.00,12.10,0.00,0.000,0.00,0.000,3.00,10.00,3.00,1.00,7.00,0.33,0.00,0.00,2.00,11.10,0.00,0.00,70.00,16.20,18.44,16.20,155.80,26.00,14.29,12.67,14.57,2.00,-2.00,-1.00,-1.00,0.00,0.00,-2.00,-1.00,0.00,0.00,27.18
23.00,34.00,257.00,14.00,174.00,5.10,138.00,6.00,4.10,119.00,5.20,3.00,0.097,4.00,0.129,3.00,15.00,5.00,4.00,12.00,0.31,2.00,3.00,2.00,5.90,0.00,0.00,41.00,7.60,8.74,11.20,109.60,12.00,8.11,6.62,7.70,11.00,38.00,11.00,3.50,1.00,3.00,20.00,1.80,18.00,1.60,22.08
18.00,28.00,255.00,10.00,208.00,7.40,128.00,7.10,4.60,127.00,7.10,2.00,0.074,3.00,0.111,0.00,4.00,0.00,4.00,4.00,0.13,3.00,6.70,3.00,10.70,0.00,0.00,76.00,9.10,11.25,14.20,129.30,0.00,0.00,9.11,11.25,4.00,19.00,10.00,4.80,0.00,2.00,16.00,4.00,3.00,0.80,24.10
24.00,35.00,232.00,12.00,259.00,7.40,130.00,5.40,3.70,102.00,4.30,2.00,0.057,6.00,0.171,3.00,6.00,0.00,6.00,9.00,0.24,0.00,0.00,1.00,2.90,2.00,5.70,26.00,6.60,4.63,9.70,72.60,32.00,7.89,5.26,3.42,1.00,-1.00,0.00,-1.00,1.00,0.00,-1.00,-1.00,0.00,0.00,9.18
24.00,34.00,283.00,12.00,232.00,6.80,124.00,5.20,3.60,159.00,6.60,1.00,0.031,4.00,0.125,1.00,6.00,0.00,0.00,1.00,0.03,2.00,3.00,2.00,5.90,1.00,2.90,35.00,8.30,8.18,11.80,102.90,2.00,2.86,8.03,7.89,7.00,25.00,9.00,3.60,1.00,4.00,11.00,1.60,14.00,2.00,21.82
25.00,44.00,298.00,13.00,438.00,10.00,190.00,7.60,4.30,108.00,4.30,1.00,0.024,9.00,0.214,0.00,8.00,2.00,7.00,9.00,0.21,0.00,0.00,2.00,4.50,1.00,2.30,39.00,6.80,6.66,11.90,83.30,0.00,0.00,6.77,6.66,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,18.92
21.00,28.00,159.00,10.00,153.00,5.50,106.00,5.00,3.80,53.00,2.50,0.00,0.000,2.00,0.071,2.00,14.00,2.00,2.00,6.00,0.17,5.00,8.00,1.00,3.60,1.00,3.60,22.00,5.70,4.79,7.60,85.30,13.00,6.67,4.87,4.03,5.00,40.00,13.00,8.00,0.00,3.00,34.00,6.80,6.00,1.20,19.36
24.00,37.00,285.00,15.00,285.00,7.70,141.00,5.90,3.80,144.00,6.00,0.00,0.000,5.00,0.147,5.00,7.00,2.00,1.00,8.00,0.19,1.00,6.00,0.00,0.00,1.00,2.70,30.00,7.70,6.49,11.90,77.00,36.00,11.90,5.93,4.86,2.00,9.00,6.00,4.50,0.00,0.00,5.00,2.50,4.00,2.00,11.30
21.00,39.00,185.00,12.00,305.00,7.80,63.00,3.00,1.60,122.00,5.80,3.00,0.079,11.00,0.289,2.00,10.00,3.00,4.00,9.00,0.21,1.00,7.00,2.00,5.10,1.00,2.60,24.00,4.70,4.62,8.80,73.10,16.00,4.88,4.12,4.00,2.00,6.00,7.00,3.00,0.00,1.00,6.00,3.00,0.00,0.00,15.00
