Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points,,,,,,,,,,,,,,,,,,,,,
16.000,26.000,155.000,8.000,139.000,82.000,73.000,0.321,6.000,3.270,9.688,59.000,4.893,2.393,0.000,0.000,0.000,0.000,0.000,0.000,0.038,1.000,2.000,2.000,18.000,0.000,8.200,,,,,,,,,,,,,,,,,,,,,
20.000,35.000,246.000,8.000,325.000,119.000,127.000,0.205,7.000,4.460,12.300,55.200,6.243,3.811,25.000,2.000,24.000,6.000,1.000,0.000,0.000,0.000,2.000,2.000,15.000,0.000,10.340,,,,,,,,,,,,,,,,,,,,,
12.000,18.000,125.000,6.000,163.000,67.000,58.000,0.300,6.900,8.060,10.417,105.100,5.450,6.450,0.000,0.000,0.000,0.000,0.000,0.000,0.056,1.000,0.000,2.000,16.000,1.000,7.000,,,,,,,,,,,,,,,,,,,,,
16.000,26.000,168.000,10.000,272.000,94.000,74.000,0.207,6.500,8.000,10.500,105.900,5.500,6.929,3.000,0.000,3.000,1.500,0.000,0.000,0.077,2.000,0.000,2.000,14.000,0.000,15.020,,,,,,,,,,,,,,,,,,,,,
3.000,4.000,71.000,3.000,56.000,48.000,23.000,0.000,17.800,17.750,23.667,116.700,17.750,17.750,24.000,2.000,17.000,5.700,7.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,3.240,,,,,,,,,,,,,,,,,,,,,
29.000,42.000,352.000,14.000,286.000,184.000,168.000,0.222,8.400,7.190,12.138,90.600,7.636,6.500,3.000,0.000,3.000,3.000,0.000,0.000,0.048,2.000,2.000,2.000,16.000,1.000,18.380,,,,,,,,,,,,,,,,,,,,,
27.000,40.000,227.000,11.000,238.000,82.000,145.000,0.098,5.700,5.050,8.407,79.900,5.317,4.707,0.000,0.000,0.000,0.000,0.000,0.000,0.025,1.000,1.000,1.000,9.000,0.000,12.080,,,,,,,,,,,,,,,,,,,,,
24.000,39.000,276.000,13.000,203.000,90.000,186.000,0.200,7.100,5.280,11.500,70.000,6.725,4.975,0.000,0.000,0.000,0.000,0.000,0.000,0.026,1.000,2.000,1.000,7.000,0.000,13.040,,,,,,,,,,,,,,,,,,,,,
24.000,38.000,264.000,10.000,334.000,158.000,106.000,0.349,6.900,5.760,11.000,72.700,5.643,4.571,1.000,1.000,-1.000,-0.300,2.000,0.000,0.000,0.000,1.000,4.000,27.000,1.000,7.660,,,,,,,,,,,,,,,,,,,,,
17.000,34.000,202.000,7.000,216.000,115.000,87.000,0.211,5.900,5.940,11.882,68.500,4.919,4.919,5.000,0.000,4.000,1.300,1.000,0.000,0.000,0.000,0.000,3.000,20.000,0.000,8.580,,,,,,,,,,,,,,,,,,,,,
16.000,33.000,207.000,9.000,307.000,97.000,110.000,0.286,6.300,5.520,12.938,66.100,5.857,5.143,46.000,2.000,43.000,10.800,3.000,0.000,0.030,1.000,1.000,2.000,2.000,0.000,15.880,,,,,,,,,,,,,,,,,,,,,
18.000,27.000,219.000,8.000,227.000,175.000,44.000,0.207,8.100,6.440,12.167,76.000,7.821,6.214,7.000,3.000,5.000,1.700,2.000,1.000,0.000,0.000,1.000,1.000,0.000,1.000,12.460,,,,,,,,,,,,,,,,,,,,,
28.000,38.000,309.000,16.000,226.000,144.000,165.000,0.409,8.100,8.530,11.036,112.700,6.714,7.071,9.000,0.000,8.000,4.000,1.000,0.000,0.079,3.000,1.000,4.000,27.000,2.000,20.260,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
