Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
16.00,26.00,155.00,8.00,139.00,5.30,82.00,5.10,3.20,73.00,4.60,0.00,0.000,4.00,0.174,2.00,3.00,2.00,5.00,9.00,0.32,0.00,0.00,1.00,3.80,2.00,7.70,20.00,6.00,3.27,9.70,59.00,18.00,7.14,4.89,2.39,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.20
20.00,35.00,246.00,8.00,325.00,9.30,119.00,6.00,3.40,127.00,6.40,2.00,0.059,9.00,0.265,2.00,8.00,2.00,4.00,8.00,0.21,2.00,3.50,0.00,0.00,2.00,5.70,49.00,7.00,4.46,12.30,55.20,15.00,5.41,6.24,3.81,4.00,25.00,13.00,6.30,0.00,2.00,24.00,6.00,1.00,0.30,10.34
12.00,18.00,125.00,6.00,163.00,9.10,67.00,5.60,3.70,58.00,4.80,2.00,0.111,3.00,0.167,2.00,6.00,2.00,2.00,6.00,0.30,0.00,0.00,1.00,5.60,0.00,0.00,27.00,6.90,8.06,10.40,105.10,16.00,10.00,5.45,6.45,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,9.00
16.00,26.00,168.00,10.00,272.00,10.50,94.00,5.90,3.60,74.00,4.60,1.00,0.042,4.00,0.167,2.00,10.00,0.00,4.00,6.00,0.21,1.00,4.00,2.00,7.70,0.00,0.00,25.00,6.50,8.00,10.50,105.90,14.00,7.14,5.50,6.93,2.00,3.00,4.00,1.50,0.00,0.00,3.00,1.50,0.00,0.00,15.02
3.00,4.00,71.00,3.00,56.00,14.00,48.00,16.00,12.00,23.00,7.70,0.00,0.000,1.00,0.250,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,17.80,17.75,23.70,116.70,0.00,0.00,17.75,17.75,3.00,24.00,14.00,8.00,1.00,2.00,17.00,5.70,7.00,2.30,5.24
29.00,42.00,352.00,14.00,286.00,6.80,184.00,6.30,4.40,168.00,5.80,0.00,0.000,8.00,0.195,2.00,5.00,5.00,3.00,10.00,0.22,1.00,3.00,2.00,4.80,2.00,4.80,48.00,8.40,7.19,12.10,90.60,16.00,4.55,7.64,6.50,1.00,3.00,3.00,3.00,1.00,0.00,3.00,3.00,0.00,0.00,19.38
27.00,40.00,227.00,11.00,238.00,6.00,82.00,3.00,2.10,145.00,5.40,0.00,0.000,6.00,0.162,1.00,5.00,1.00,2.00,4.00,0.10,0.00,0.00,1.00,2.50,1.00,2.50,30.00,5.70,5.05,8.40,79.90,9.00,2.44,5.32,4.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.58
24.00,39.00,276.00,13.00,203.00,5.20,90.00,3.80,2.30,186.00,7.80,1.00,0.026,9.00,0.231,1.00,9.00,0.00,7.00,8.00,0.20,0.00,0.00,1.00,2.60,2.00,5.10,57.00,7.10,5.28,11.50,70.00,7.00,2.50,6.73,4.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.04
24.00,38.00,264.00,10.00,334.00,8.80,158.00,6.60,4.20,106.00,4.40,4.00,0.108,6.00,0.162,4.00,10.00,2.00,9.00,15.00,0.35,1.00,1.00,0.00,0.00,1.00,2.60,4.30,6.90,5.76,11.00,72.70,27.00,9.52,5.64,4.57,3.00,1.00,2.00,0.30,1.00,1.00,-1.00,-0.30,2.00,0.70,7.66
17.00,34.00,202.00,7.00,216.00,6.40,115.00,6.80,3.40,87.00,5.10,4.00,0.125,5.00,0.156,3.00,20.00,2.00,3.00,8.00,0.21,1.00,1.00,0.00,0.00,0.00,0.00,54.00,5.90,5.94,11.90,68.50,20.00,8.11,4.92,4.92,3.00,5.00,4.00,1.70,0.00,0.00,4.00,1.30,1.00,0.30,8.58
16.00,33.00,207.00,9.00,307.00,9.30,97.00,6.10,2.90,110.00,6.90,2.00,0.065,7.00,0.226,2.00,15.00,4.00,4.00,10.00,0.29,0.00,0.00,1.00,3.00,1.00,3.00,42.00,6.30,5.52,12.90,66.10,2.00,5.71,5.86,5.14,4.00,46.00,25.00,11.50,0.00,2.00,43.00,10.80,3.00,0.80,15.88
18.00,27.00,219.00,8.00,227.00,8.40,175.00,9.70,6.50,44.00,2.40,2.00,0.074,1.00,0.037,1.00,4.00,0.00,5.00,6.00,0.21,1.00,2.00,0.00,0.00,1.00,3.70,29.00,8.10,6.44,12.20,76.00,0.00,3.57,7.82,6.21,3.00,7.00,3.00,2.30,1.00,3.00,5.00,1.70,2.00,0.70,15.46
28.00,38.00,309.00,16.00,226.00,5.90,144.00,5.10,3.80,165.00,5.90,3.00,0.081,3.00,0.081,4.00,10.00,7.00,7.00,18.00,0.41,2.00,4.50,3.00,7.90,1.00,2.60,49.00,8.10,8.53,11.00,112.70,27.00,9.52,6.71,7.07,2.00,9.00,8.00,4.50,2.00,0.00,8.00,4.00,1.00,0.50,21.26
