Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
9.000,19.000,212.000,4.000,312.000,161.000,51.000,0.167,11.200,10.890,23.556,101.200,9.476,9.238,56.000,5.000,41.000,6.800,15.000,1.000,0.105,2.000,1.000,2.000,13.000,0.000,27.080
23.000,37.000,174.000,7.000,291.000,43.000,131.000,0.271,4.700,2.270,7.565,51.000,3.045,1.000,44.000,1.000,31.000,6.200,13.000,0.000,0.000,0.000,2.000,7.000,40.000,0.000,9.360
17.000,28.000,181.000,12.000,190.000,114.000,67.000,0.375,6.500,9.320,10.647,119.200,4.875,7.375,0.000,0.000,0.000,0.000,0.000,0.000,0.143,4.000,0.000,4.000,25.000,1.000,21.240
18.000,33.000,169.000,11.000,378.000,127.000,42.000,0.171,5.100,6.330,9.389,89.100,4.559,5.735,5.000,0.000,3.000,1.000,2.000,0.000,0.061,2.000,0.000,1.000,14.000,1.000,13.260
9.000,30.000,131.000,5.000,370.000,28.000,103.000,0.314,4.400,5.030,14.556,56.400,4.065,4.710,54.000,3.000,47.000,11.800,7.000,0.000,0.033,1.000,0.000,1.000,5.000,0.000,14.640
20.000,33.000,243.000,12.000,214.000,112.000,131.000,0.286,7.400,6.450,12.150,88.300,5.649,4.838,38.000,3.000,18.000,3.600,20.000,0.000,0.091,3.000,2.000,4.000,34.000,1.000,21.520
24.000,33.000,220.000,12.000,297.000,139.000,81.000,0.167,6.700,5.760,9.167,95.500,5.417,4.583,0.000,0.000,0.000,0.000,0.000,0.000,0.091,3.000,2.000,3.000,25.000,0.000,18.800
10.000,32.000,175.000,7.000,495.000,86.000,89.000,0.410,5.500,4.690,17.500,48.300,3.784,3.108,4.500,4.000,34.000,5.700,11.000,0.000,0.031,1.000,1.000,5.000,35.000,2.000,6.450
22.000,32.000,211.000,11.000,185.000,99.000,112.000,0.147,6.600,8.470,9.591,118.100,5.676,7.441,-1.000,0.000,-1.000,-1.000,0.000,0.000,0.094,3.000,0.000,2.000,18.000,0.000,20.340
15.000,30.000,240.000,11.000,286.000,111.000,129.000,0.290,8.000,1.830,16.000,59.700,8.000,1.833,2.000,1.000,2.000,2.000,0.000,0.000,0.067,2.000,5.000,0.000,0.000,0.000,12.800
32.000,55.000,354.000,17.000,346.000,152.000,202.000,0.197,6.400,5.980,11.063,75.900,5.333,4.917,2.000,0.000,0.000,0.000,2.000,0.000,0.018,1.000,1.000,5.000,34.000,2.000,13.360
18.000,24.000,278.000,8.000,187.000,132.000,146.000,0.273,11.600,11.380,15.444,123.300,7.406,7.250,10.000,3.000,9.000,1.100,1.000,0.000,0.083,2.000,1.000,8.000,41.000,1.000,17.120
20.000,32.000,235.000,12.000,274.000,92.000,143.000,0.088,7.300,8.590,11.750,105.600,7.344,8.594,6.000,0.000,4.000,1.300,2.000,0.000,0.063,2.000,0.000,0.000,0.000,0.000,18.000
