Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
9.00,19.00,212.00,4.00,312.00,16.40,161.00,17.90,8.50,51.00,5.70,0.00,0.000,5.00,0.263,2.00,2.00,2.00,0.00,4.00,0.17,3.00,10.70,2.00,10.50,1.00,5.30,60.00,11.20,10.89,23.60,101.20,13.00,9.52,9.48,9.48,6.00,56.00,19.00,9.30,0.00,5.00,41.00,6.80,12.50,1.00,27.08
23.00,37.00,174.00,7.00,291.00,7.90,43.00,1.90,1.20,131.00,5.70,2.00,0.059,8.00,0.235,7.00,15.00,3.00,3.00,13.00,0.27,4.00,11.00,0.00,0.00,2.00,5.40,27.00,4.70,2.27,7.60,51.00,40.00,15.91,3.05,1.00,5.00,44.00,24.00,8.80,0.00,1.00,31.00,6.20,13.00,2.60,9.36
17.00,28.00,181.00,12.00,190.00,6.80,114.00,6.70,4.10,67.00,3.90,2.00,0.080,3.00,0.120,4.00,6.00,5.00,3.00,12.00,0.38,0.00,0.00,4.00,14.30,0.00,0.00,28.00,6.50,9.32,10.60,119.20,25.00,12.50,4.88,7.38,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,23.24
18.00,33.00,169.00,11.00,378.00,11.50,127.00,7.10,3.80,42.00,2.30,2.00,0.063,7.00,0.219,1.00,13.00,3.00,2.00,6.00,0.17,1.00,6.00,2.00,6.10,0.00,0.00,32.00,5.10,6.33,9.40,89.10,14.00,2.94,4.56,5.74,3.00,5.00,6.00,1.70,1.00,0.00,3.00,1.00,2.00,0.70,14.76
9.00,30.00,131.00,5.00,370.00,12.30,28.00,3.10,0.90,103.00,11.40,4.00,0.138,12.00,0.414,1.00,10.00,2.00,8.00,11.00,0.31,4.00,13.50,1.00,3.30,0.00,0.00,49.00,4.40,5.03,14.60,56.40,5.00,3.23,4.06,4.71,4.00,54.00,19.00,13.50,0.00,3.00,47.00,11.80,7.00,1.80,14.64
20.00,33.00,243.00,12.00,214.00,6.50,112.00,5.60,3.40,131.00,6.60,1.00,0.032,7.00,0.226,4.00,11.00,4.00,4.00,12.00,0.29,5.00,7.60,3.00,9.10,2.00,6.10,40.00,7.40,6.45,12.20,88.30,34.00,10.81,5.65,4.84,5.00,38.00,15.00,7.60,1.00,3.00,18.00,3.60,20.00,4.00,22.52
24.00,33.00,220.00,12.00,297.00,9.00,139.00,5.80,4.20,81.00,3.40,2.00,0.061,5.00,0.152,3.00,12.00,0.00,3.00,6.00,0.17,0.00,0.00,3.00,9.10,2.00,6.10,30.00,6.70,5.76,9.20,95.50,25.00,8.33,5.42,4.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.80
10.00,32.00,175.00,7.00,495.00,15.50,86.00,8.60,2.70,89.00,8.90,2.00,0.065,10.00,0.323,5.00,11.00,7.00,4.00,16.00,0.41,2.00,18.50,1.00,3.10,1.00,3.10,69.00,5.50,4.69,17.50,48.30,35.00,13.51,3.78,3.11,6.00,45.00,26.00,7.50,2.00,4.00,34.00,5.70,11.00,1.80,12.50
22.00,32.00,211.00,11.00,185.00,5.80,99.00,4.50,3.10,112.00,5.10,2.00,0.063,4.00,0.125,2.00,13.00,1.00,2.00,5.00,0.15,0.00,0.00,3.00,9.40,0.00,0.00,37.00,6.60,8.47,9.60,118.10,18.00,5.88,5.68,7.44,1.00,-1.00,0.00,-1.00,0.00,0.00,-1.00,-1.00,0.00,0.00,20.34
15.00,30.00,240.00,11.00,286.00,9.50,111.00,7.40,3.70,129.00,8.60,1.00,0.040,2.00,0.080,0.00,4.00,4.00,5.00,9.00,0.29,1.00,2.00,2.00,6.70,5.00,16.70,37.00,8.00,1.83,16.00,59.70,0.00,0.00,8.00,1.83,1.00,2.00,2.00,2.00,0.00,1.00,2.00,2.00,0.00,0.00,12.80
