Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points,,,,,,,,,,,,,,,,,,,,,
14.000,29.000,93.000,5.000,182.000,45.000,48.000,0.242,3.200,3.210,6.643,55.700,2.065,2.065,15.000,1.000,12.000,2.400,3.000,0.000,0.000,0.000,0.000,2.000,29.000,1.000,3.220,,,,,,,,,,,,,,,,,,,,,
18.000,30.000,176.000,9.000,167.000,80.000,96.000,0.121,5.900,7.200,9.778,98.700,5.125,6.375,1.000,0.000,1.000,0.500,0.000,0.000,0.067,2.000,0.000,2.000,12.000,0.000,15.140,,,,,,,,,,,,,,,,,,,,,
13.000,19.000,202.000,6.000,134.000,57.000,145.000,0.120,10.600,11.680,15.538,120.900,8.636,9.545,73.000,4.000,52.000,8.700,21.000,1.000,0.053,1.000,0.000,3.000,12.000,0.000,25.380,,,,,,,,,,,,,,,,,,,,,
14.000,22.000,96.000,4.000,176.000,41.000,55.000,0.231,4.400,4.360,6.857,73.300,3.250,3.250,40.000,3.000,34.000,4.300,6.000,1.000,0.000,0.000,0.000,2.000,18.000,1.000,11.840,,,,,,,,,,,,,,,,,,,,,
22.000,38.000,189.000,11.000,329.000,89.000,100.000,0.128,5.000,4.840,8.591,77.600,4.974,4.842,1.000,0.000,0.000,0.000,1.000,0.000,0.053,2.000,1.000,0.000,0.000,0.000,14.660,,,,,,,,,,,,,,,,,,,,,
21.000,33.000,323.000,14.000,297.000,151.000,172.000,0.114,9.800,11.000,15.381,116.100,9.265,10.441,1.000,0.000,-1.000,-0.300,2.000,0.000,0.061,2.000,0.000,1.000,8.000,0.000,21.020,,,,,,,,,,,,,,,,,,,,,
12.000,15.000,85.000,8.000,50.000,16.000,69.000,0.263,5.700,9.670,7.083,129.900,2.737,5.895,1.000,0.000,1.000,1.000,0.000,0.000,0.200,3.000,0.000,4.000,33.000,2.000,11.500,,,,,,,,,,,,,,,,,,,,,
29.000,41.000,206.000,10.000,301.000,72.000,134.000,0.250,5.000,3.320,7.103,69.800,4.111,2.556,95.000,5.000,85.000,10.600,10.000,0.000,0.024,1.000,2.000,4.000,21.000,2.000,15.740,,,,,,,,,,,,,,,,,,,,,
14.000,18.000,164.000,8.000,113.000,71.000,93.000,0.087,9.100,10.220,11.714,123.100,9.111,10.222,32.000,4.000,9.000,1.000,23.000,1.000,0.056,1.000,0.000,0.000,0.000,0.000,19.760,,,,,,,,,,,,,,,,,,,,,
20.000,32.000,246.000,12.000,304.000,138.000,108.000,0.162,7.700,8.940,12.300,107.000,6.941,8.118,18.000,4.000,12.000,1.500,6.000,1.000,0.063,2.000,0.000,2.000,10.000,1.000,23.640,,,,,,,,,,,,,,,,,,,,,
18.000,24.000,278.000,11.000,271.000,156.000,91.000,0.225,7.500,5.970,15.444,78.700,7.406,7.250,18.000,0.000,17.000,5.700,1.000,0.000,0.083,2.000,1.000,8.000,41.000,1.000,17.920,,,,,,,,,,,,,,,,,,,,,
25.000,30.000,206.000,12.000,160.000,85.000,121.000,0.790,6.900,7.370,8.240,114.700,6.125,6.594,34.000,2.000,26.000,2.900,8.000,1.000,0.100,3.000,1.000,2.000,10.000,1.000,26.640,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
