Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
14.00,29.00,93.00,5.00,182.00,6.30,45.00,3.20,1.60,48.00,3.40,1.00,0.037,9.00,0.333,2.00,9.00,4.00,2.00,8.00,0.24,2.00,8.00,0.00,0.00,0.00,0.00,13.00,3.20,3.21,6.60,55.70,29.00,6.45,2.06,2.06,5.00,15.00,11.00,3.00,1.00,1.00,12.00,2.40,3.00,0.60,7.22
18.00,30.00,176.00,9.00,167.00,5.60,80.00,4.40,2.70,96.00,5.30,3.00,0.103,7.00,0.241,2.00,8.00,1.00,1.00,4.00,0.12,1.00,2.00,2.00,6.70,0.00,0.00,26.00,5.90,7.20,9.80,98.70,12.00,6.25,5.13,6.38,2.00,1.00,2.00,0.50,0.00,0.00,1.00,0.50,0.00,0.00,15.14
13.00,19.00,202.00,6.00,134.00,7.10,57.00,4.40,3.00,145.00,11.20,2.00,0.105,4.00,0.211,3.00,6.00,0.00,0.00,3.00,0.12,3.00,10.70,1.00,5.30,0.00,0.00,37.00,10.60,11.68,15.50,120.90,12.00,13.64,8.64,9.55,6.00,73.00,29.00,12.20,0.00,4.00,52.00,8.70,21.00,3.50,25.38
14.00,22.00,96.00,4.00,176.00,8.00,41.00,2.90,1.90,55.00,3.90,1.00,0.048,5.00,0.238,2.00,0.00,1.00,3.00,6.00,0.23,2.00,10.50,0.00,0.00,0.00,0.00,18.00,4.40,4.36,6.90,73.30,18.00,8.33,3.25,3.25,8.00,40.00,20.00,5.00,1.00,3.00,34.00,4.30,6.00,0.80,11.84
22.00,38.00,189.00,11.00,329.00,8.70,89.00,4.00,2.30,100.00,4.50,1.00,0.028,11.00,0.306,0.00,12.00,3.00,2.00,5.00,0.13,1.00,1.00,2.00,5.30,1.00,2.60,22.00,5.00,4.84,8.60,77.60,0.00,0.00,4.97,4.84,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,14.66
21.00,33.00,323.00,14.00,297.00,9.00,151.00,7.20,4.60,172.00,8.20,1.00,0.031,4.00,0.125,1.00,10.00,0.00,3.00,4.00,0.11,1.00,7.00,2.00,6.10,0.00,0.00,57.00,9.80,11.00,15.40,116.10,8.00,2.94,9.26,10.44,3.00,1.00,7.00,0.30,0.00,0.00,-1.00,-0.30,2.00,0.70,22.02
12.00,15.00,85.00,8.00,50.00,3.30,16.00,1.30,1.10,69.00,5.80,0.00,0.000,1.00,0.071,4.00,5.00,0.00,1.00,5.00,0.26,0.00,0.00,3.00,20.00,0.00,0.00,24.00,5.70,9.67,7.10,129.90,33.00,21.05,2.74,5.89,1.00,1.00,1.00,1.00,2.00,0.00,1.00,1.00,0.00,0.00,15.50
29.00,41.00,206.00,10.00,301.00,7.30,72.00,2.50,1.80,134.00,4.60,1.00,0.026,3.00,0.077,4.00,9.00,5.00,4.00,13.00,0.25,7.00,13.60,1.00,2.40,2.00,4.90,21.00,5.00,3.32,7.10,69.80,21.00,8.89,4.11,2.56,8.00,95.00,26.00,11.90,2.00,5.00,85.00,10.60,10.00,1.30,17.74
14.00,18.00,164.00,8.00,113.00,6.30,71.00,5.10,3.90,93.00,6.60,1.00,0.056,0.00,0.000,0.00,1.00,0.00,2.00,2.00,0.09,5.00,5.80,1.00,5.60,0.00,0.00,37.00,9.10,10.22,11.70,123.10,0.00,0.00,9.11,10.22,9.00,32.00,8.00,3.60,0.00,4.00,9.00,1.00,23.00,2.60,19.76
20.00,32.00,246.00,12.00,304.00,9.50,138.00,6.90,4.30,108.00,5.40,3.00,0.100,5.00,0.167,2.00,7.00,2.00,2.00,6.00,0.16,3.00,4.70,2.00,6.30,0.00,0.00,47.00,7.70,8.94,12.30,107.00,10.00,5.88,6.94,8.12,8.00,18.00,6.00,2.30,1.00,4.00,12.00,1.50,6.00,0.80,23.64
20.00,33.00,247.00,11.00,271.00,8.20,156.00,7.80,4.70,91.00,4.60,1.00,0.032,5.00,0.161,4.00,6.00,3.00,2.00,9.00,0.23,3.00,6.00,2.00,6.10,2.00,6.10,56.00,7.50,5.97,12.40,78.70,27.00,10.81,5.95,4.59,3.00,18.00,7.00,6.00,0.00,0.00,17.00,5.70,1.00,0.30,17.68
25.00,30.00,206.00,12.00,160.00,5.30,85.00,3.40,2.80,121.00,4.80,0.00,0.000,4.00,0.133,2.00,8.00,1.00,0.00,3.00,0.08,6.00,4.20,3.00,10.00,1.00,3.30,25.00,6.90,7.37,8.20,114.70,10.00,6.25,6.13,6.59,9.00,34.00,12.00,3.80,1.00,2.00,26.00,2.90,8.00,0.90,28.64
