Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points,,,,,,,,,,,,,,,,,,,,,
22.000,42.000,186.000,8.000,218.000,103.000,83.000,0.388,4.400,2.290,8.455,44.300,3.532,1.617,15.000,2.000,12.000,2.000,3.000,0.000,0.000,0.000,2.000,5.000,20.000,0.000,6.940,,,,,,,,,,,,,,,,,,,,,
28.000,36.000,319.000,17.000,289.000,231.000,88.000,0.364,8.900,8.170,11.393,101.300,7.000,6.405,12.000,1.000,7.000,3.500,5.000,0.000,0.028,1.000,1.000,6.000,25.000,1.000,14.960,,,,,,,,,,,,,,,,,,,,,
20.000,31.000,215.000,11.000,204.000,106.000,109.000,0.211,6.900,4.680,10.750,68.600,4.943,2.943,12.000,0.000,9.000,3.000,3.000,0.000,0.032,1.000,2.000,4.000,42.000,0.000,11.800,,,,,,,,,,,,,,,,,,,,,
7.000,12.000,79.000,4.000,65.000,40.000,39.000,0.231,6.600,6.580,11.286,78.100,5.538,5.538,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,7.000,0.000,3.160,,,,,,,,,,,,,,,,,,,,,
32.000,54.000,389.000,19.000,557.000,234.000,155.000,0.339,7.200,6.190,12.156,83.000,6.891,5.891,6.000,1.000,0.000,0.000,6.000,0.000,0.074,4.000,3.000,1.000,10.000,0.000,29.160,,,,,,,,,,,,,,,,,,,,,
29.000,54.000,244.000,13.000,410.000,121.000,123.000,0.263,4.500,2.760,8.414,54.900,3.825,2.158,0.000,0.000,0.000,0.000,0.000,0.000,0.037,2.000,3.000,3.000,26.000,1.000,12.760,,,,,,,,,,,,,,,,,,,,,
22.000,25.000,280.000,15.000,176.000,135.000,145.000,0.310,11.200,12.800,12.727,140.000,8.517,9.897,-4.000,0.000,-4.000,-2.000,0.000,0.000,0.080,2.000,0.000,4.000,33.000,2.000,14.800,,,,,,,,,,,,,,,,,,,,,
25.000,34.000,279.000,16.000,250.000,151.000,128.000,0.118,8.200,9.240,11.160,124.500,8.206,9.235,-4.000,0.000,-4.000,-1.300,0.000,0.000,0.118,4.000,1.000,0.000,0.000,0.000,25.760,,,,,,,,,,,,,,,,,,,,,
16.000,27.000,179.000,9.000,211.000,114.000,65.000,0.300,6.600,4.960,11.188,63.700,5.300,3.800,-1.000,0.000,-1.000,-0.500,0.000,0.000,0.000,0.000,1.000,3.000,20.000,1.000,4.060,,,,,,,,,,,,,,,,,,,,,
14.000,22.000,111.000,5.000,183.000,59.000,52.000,0.148,5.000,0.950,7.929,38.300,3.480,-0.120,8.000,2.000,6.000,1.200,2.000,1.000,0.000,0.000,2.000,3.000,24.000,1.000,7.240,,,,,,,,,,,,,,,,,,,,,
17.000,31.000,295.000,8.000,342.000,159.000,136.000,0.342,9.500,8.710,17.353,84.700,7.250,6.556,18.000,2.000,16.000,2.300,2.000,0.000,0.032,1.000,1.000,5.000,34.000,0.000,16.600,,,,,,,,,,,,,,,,,,,,,
32.000,47.000,340.000,14.000,329.000,157.000,183.000,0.182,7.200,8.090,10.625,103.100,6.400,7.200,33.000,3.000,33.000,5.500,0.000,0.000,0.043,2.000,0.000,3.000,20.000,0.000,24.900,,,,,,,,,,,,,,,,,,,,,
31.000,45.000,260.000,13.000,287.000,160.000,100.000,0.098,5.800,4.220,8.387,72.500,5.478,3.957,48.000,2.000,46.000,6.600,2.000,0.000,0.022,1.000,2.000,1.000,8.000,1.000,15.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
