Cmp,Att,Yds,1D,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Yds,Sk%,NY/A,ANY/A,RAtt,RYds,RLng,RY/A,Fmb,1D,YBC,YBC/Att,YAC,YAC/Att,Fantasy Points
22.00,42.00,186.00,8.00,218.00,5.20,103.00,4.70,2.50,83.00,3.80,5.00,0.132,5.00,0.132,5.00,12.00,7.00,7.00,19.00,0.39,2.00,5.50,0.00,0.00,2.00,4.80,25.00,4.40,2.29,8.50,44.30,20.00,10.64,3.53,1.62,6.00,15.00,7.00,2.50,0.00,2.00,12.00,2.00,3.00,0.50,6.94
28.00,36.00,319.00,17.00,289.00,8.00,231.00,8.30,6.40,88.00,3.10,0.00,0.000,4.00,0.111,6.00,21.00,7.00,3.00,16.00,0.36,2.00,6.00,1.00,2.80,1.00,2.80,28.00,8.90,8.17,11.40,101.30,25.00,14.29,7.00,6.40,2.00,12.00,11.00,6.00,1.00,1.00,7.00,3.50,5.00,2.50,16.96
20.00,31.00,215.00,11.00,204.00,6.60,106.00,5.30,3.40,109.00,5.50,1.00,0.033,5.00,0.167,4.00,14.00,2.00,2.00,8.00,0.21,3.00,4.00,1.00,3.20,2.00,6.50,34.00,6.90,4.68,10.80,68.60,42.00,11.43,4.94,2.94,3.00,12.00,7.00,4.00,0.00,0.00,9.00,3.00,3.00,1.00,11.80
7.00,12.00,79.00,4.00,65.00,5.40,40.00,5.70,3.30,39.00,5.60,1.00,0.083,2.00,0.167,1.00,9.00,1.00,1.00,3.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,25.00,6.60,6.58,11.30,78.10,7.00,7.69,5.54,5.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.16
32.00,54.00,389.00,19.00,557.00,10.30,234.00,7.30,4.30,155.00,4.80,4.00,0.074,9.00,0.167,1.00,25.00,9.00,9.00,19.00,0.34,1.00,6.00,4.00,7.40,3.00,5.60,42.00,7.20,6.19,12.20,83.00,10.00,1.82,6.89,5.89,1.00,6.00,6.00,6.00,0.00,1.00,0.00,0.00,6.00,6.00,32.16
29.00,54.00,244.00,13.00,410.00,7.60,121.00,4.20,2.20,123.00,4.20,2.00,0.039,12.00,0.235,3.00,24.00,4.00,8.00,15.00,0.26,0.00,0.00,2.00,3.70,3.00,5.60,25.00,4.50,2.76,8.40,54.90,26.00,5.26,3.82,2.16,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,14.76
22.00,25.00,280.00,15.00,176.00,7.00,135.00,6.10,5.40,145.00,6.60,0.00,0.000,1.00,0.040,4.00,16.00,0.00,5.00,9.00,0.31,0.00,0.00,2.00,8.00,0.00,0.00,35.00,11.20,12.80,12.70,140.00,33.00,13.79,8.52,9.90,2.00,-4.00,0.00,-2.00,2.00,0.00,-4.00,-2.00,0.00,0.00,18.80
25.00,34.00,279.00,16.00,250.00,7.40,151.00,6.00,4.40,128.00,5.10,2.00,0.059,3.00,0.088,0.00,11.00,2.00,2.00,4.00,0.12,0.00,0.00,4.00,11.80,1.00,2.90,27.00,8.20,9.24,11.20,124.50,0.00,0.00,8.21,9.24,3.00,-4.00,0.00,-1.30,0.00,0.00,-4.00,-1.30,0.00,0.00,25.76
16.00,27.00,179.00,9.00,211.00,7.80,114.00,7.10,4.20,65.00,4.10,2.00,0.074,4.00,0.148,3.00,7.00,2.00,4.00,9.00,0.30,0.00,0.00,0.00,0.00,1.00,3.70,22.00,6.60,4.96,11.20,63.70,20.00,10.00,5.30,2.80,2.00,-1.00,0.00,-0.50,1.00,0.00,-1.00,-0.50,0.00,0.00,4.06
14.00,22.00,111.00,5.00,183.00,8.30,59.00,4.20,2.70,52.00,3.70,2.00,0.095,3.00,0.143,3.00,7.00,0.00,1.00,4.00,0.15,2.00,3.50,0.00,0.00,2.00,9.10,23.00,5.00,0.95,7.90,38.30,24.00,12.00,3.48,-0.12,5.00,8.00,5.00,1.60,1.00,2.00,6.00,1.20,2.00,0.40,7.24
17.00,31.00,295.00,8.00,342.00,11.00,159.00,9.40,5.10,136.00,8.00,2.00,0.069,9.00,0.310,5.00,10.00,4.00,4.00,13.00,0.34,2.00,6.00,1.00,3.20,1.00,3.20,98.00,9.50,8.71,17.40,84.70,34.00,13.89,7.25,6.56,7.00,18.00,10.00,2.60,0.00,2.00,16.00,2.30,2.00,0.30,16.60
32.00,47.00,340.00,14.00,329.00,7.00,157.00,4.90,3.30,183.00,5.70,3.00,0.065,9.00,0.196,3.00,19.00,5.00,2.00,10.00,0.18,5.00,5.80,2.00,4.30,0.00,0.00,40.00,7.20,8.09,10.60,103.10,20.00,6.00,6.40,7.20,6.00,33.00,10.00,5.50,0.00,3.00,33.00,5.50,0.00,0.00,27.90
31.00,45.00,260.00,13.00,287.00,6.40,160.00,5.20,3.60,100.00,3.20,1.00,0.023,5.00,0.116,1.00,20.00,1.00,3.00,5.00,0.10,5.00,7.40,1.00,2.20,2.00,4.40,22.00,5.80,4.22,8.40,72.50,8.00,2.17,5.48,3.96,7.00,48.00,19.00,6.90,1.00,2.00,46.00,6.60,2.00,0.30,17.20
